#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
P68,2017-04-01 00:53,-116.0056,39.6014,39.90,30.00,67.45,330.00,8.00,0.00,29.99,1014.90,M,M,M,M,M,M,M,M,M,M,M,KP68 010053Z AUTO 33008KT 04/M01 A2999 RMK AO1 SLP149 T00441011
P68,2017-04-01 01:53,-116.0056,39.6014,39.90,30.00,67.45,340.00,13.00,0.00,30.01,1015.40,M,M,M,M,M,M,M,M,M,M,M,KP68 010153Z AUTO 34013KT 04/M01 A3001 RMK AO1 SLP154 T00441011
P68,2017-04-01 02:53,-116.0056,39.6014,39.90,30.90,69.96,330.00,12.00,0.00,30.04,1016.10,M,M,M,M,M,M,M,M,M,M,M,KP68 010253Z AUTO 33012KT 04/M01 A3004 RMK AO1 SLP161 T00441006 53016
P68,2017-04-01 03:53,-116.0056,39.6014,39.90,30.90,69.96,340.00,11.00,0.00,30.07,1017.20,M,M,M,M,M,M,M,M,M,M,M,KP68 010353Z AUTO 34011KT 04/M01 A3007 RMK AO1 SLP172 T00441006
P68,2017-04-01 04:53,-116.0056,39.6014,39.00,30.00,69.85,50.00,5.00,0.00,30.09,1018.00,M,M,M,M,M,M,M,M,M,M,M,KP68 010453Z AUTO 05005KT 04/M01 A3009 RMK AO1 SLP180 T00391011
P68,2017-04-01 05:53,-116.0056,39.6014,37.90,30.00,72.93,330.00,7.00,0.00,30.10,1018.30,M,M,M,M,M,M,M,M,M,M,M,KP68 010553Z AUTO 33007KT 03/M01 A3010 RMK AO1 SLP183 T00331011 10044 20033 51017
P68,2017-04-01 06:53,-116.0056,39.6014,37.90,30.00,72.93,340.00,3.00,0.00,30.11,1018.20,M,M,M,M,M,M,M,M,M,M,M,KP68 010653Z AUTO 34003KT 03/M01 A3011 RMK AO1 SLP182 T00331011
P68,2017-04-01 07:53,-116.0056,39.6014,37.90,30.00,72.93,330.00,5.00,0.00,30.11,1018.50,M,M,M,M,M,M,M,M,M,M,M,KP68 010753Z AUTO 33005KT 03/M01 A3011 RMK AO1 SLP185 T00331011 400441017
P68,2017-04-01 08:53,-116.0056,39.6014,36.00,30.00,78.60,0.00,0.00,0.00,30.12,1018.90,M,M,M,M,M,M,M,M,M,M,M,KP68 010853Z AUTO 00000KT 02/M01 A3012 RMK AO1 SLP189 T00221011 53007
P68,2017-04-01 09:53,-116.0056,39.6014,35.10,28.90,77.88,0.00,0.00,0.00,30.13,1019.00,M,M,M,M,M,M,M,M,M,M,M,KP68 010953Z AUTO 00000KT 02/M02 A3013 RMK AO1 SLP190 T00171017
P68,2017-04-01 10:53,-116.0056,39.6014,30.00,26.10,85.21,0.00,0.00,0.00,30.13,1019.80,M,M,M,M,M,M,M,M,M,M,M,KP68 011053Z AUTO 00000KT M01/M03 A3013 RMK AO1 SLP198 T10111033
P68,2017-04-01 11:53,-116.0056,39.6014,28.90,26.10,89.12,190.00,4.00,0.00,30.14,1020.00,M,M,M,M,M,M,M,M,M,M,M,KP68 011153Z AUTO 19004KT M02/M03 A3014 RMK AO1 SLP200 70001 T10171033 10033 21017 51005
P68,2017-04-01 12:53,-116.0056,39.6014,28.00,25.00,88.33,210.00,5.00,0.00,30.15,1020.80,M,M,M,M,M,M,M,M,M,M,M,KP68 011253Z AUTO 21005KT M02/M04 A3015 RMK AO1 SLP208 T10221039
