#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PAAK,2017-04-01 00:00,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,SCT,OVC,OVC,M,4300.00,5000.00,5500.00,M,M,PAAK 010000Z AUTO /////KT 10SM SCT043 OVC050 OVC055 RMK MADISHF
PAAK,2017-04-01 00:05,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,FEW,BKN,OVC,M,3600.00,4800.00,5000.00,M,M,PAAK 010005Z AUTO /////KT 10SM FEW036 BKN048 OVC050 RMK MADISHF
PAAK,2017-04-01 00:10,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,FEW,SCT,OVC,M,2900.00,4300.00,5000.00,M,M,PAAK 010010Z AUTO /////KT 10SM FEW029 SCT043 OVC050 RMK MADISHF
PAAK,2017-04-01 00:15,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,FEW,SCT,OVC,M,2900.00,4300.00,5000.00,M,M,PAAK 010015Z AUTO /////KT 10SM FEW029 SCT043 OVC050 RMK MADISHF
PAAK,2017-04-01 00:16,-174.2062,52.2206,33.80,19.40,55.14,350.00,12.00,0.00,29.69,M,10.00,M,FEW,SCT,OVC,M,2900.00,4300.00,5000.00,M,M,PAAK 010016Z 35012KT 10SM FEW029 SCT043 OVC050 01/M07 A2969 RMK AO1
PAAK,2017-04-01 00:20,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,FEW,OVC,M,M,2900.00,5000.00,M,M,M,PAAK 010020Z AUTO /////KT 10SM FEW029 OVC050 RMK MADISHF
PAAK,2017-04-01 00:25,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,16.00,FEW,OVC,OVC,M,2900.00,5000.00,5000.00,M,M,PAAK 010025Z AUTO /////G16KT 10SM FEW029 OVC050 OVC050 RMK MADISHF
PAAK,2017-04-01 00:35,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,FEW,OVC,M,M,2900.00,5000.00,M,M,M,PAAK 010035Z AUTO /////KT 10SM FEW029 OVC050 RMK MADISHF
PAAK,2017-04-01 00:36,-174.2062,52.2206,35.60,17.60,47.51,310.00,10.00,0.00,29.69,M,10.00,M,FEW,OVC,M,M,2900.00,5000.00,M,M,M,PAAK 010036Z 31010KT 10SM FEW029 OVC050 02/M08 A2969 RMK AO1
PAAK,2017-04-01 00:40,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,PAAK 010040Z AUTO /////KT 10SM OVC050 RMK MADISHF
PAAK,2017-04-01 00:45,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,PAAK 010045Z AUTO /////KT 10SM OVC050 RMK MADISHF
PAAK,2017-04-01 00:50,-174.2062,52.2206,M,M,M,330.00,6.00,M,M,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,PAAK 010050Z AUTO 33006KT 10SM OVC050 RMK MADISHF
PAAK,2017-04-01 00:55,-174.2062,52.2206,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,PAAK 010055Z AUTO /////KT 10SM OVC050 RMK MADISHF
