#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PADK,2017-04-01 00:00,-176.6460,51.8780,M,M,M,360.00,8.00,M,29.77,M,10.00,M,FEW,BKN,OVC,M,3300.00,4800.00,6000.00,M,M,PADK 010000Z AUTO 36008KT 10SM FEW033 BKN048 OVC060 A2977 RMK MADISHF
PADK,2017-04-01 00:05,-176.6460,51.8780,M,M,M,10.00,9.00,M,29.77,M,10.00,M,FEW,SCT,BKN,M,3300.00,3900.00,4800.00,M,M,PADK 010005Z AUTO 01009KT 10SM FEW033 SCT039 BKN048 A2977 RMK MADISHF
PADK,2017-04-01 00:10,-176.6460,51.8780,M,M,M,360.00,7.00,M,29.77,M,10.00,M,FEW,SCT,OVC,M,3300.00,4600.00,5500.00,M,M,PADK 010010Z AUTO 36007KT 10SM FEW033 SCT046 OVC055 A2977 RMK MADISHF
PADK,2017-04-01 00:15,-176.6460,51.8780,M,M,M,10.00,10.00,M,29.77,M,10.00,M,FEW,BKN,OVC,M,3300.00,5000.00,5500.00,M,M,PADK 010015Z AUTO 01010KT 10SM FEW033 BKN050 OVC055 A2977 RMK MADISHF
PADK,2017-04-01 00:16,-176.6460,51.8780,33.80,17.60,51.04,360.00,10.00,0.00,29.77,M,10.00,M,FEW,BKN,OVC,M,3300.00,5000.00,5500.00,M,M,PADK 010016Z AUTO 36010KT 10SM FEW033 BKN050 OVC055 01/M08 A2977 RMK AO1
PADK,2017-04-01 00:20,-176.6460,51.8780,M,M,M,10.00,10.00,M,29.77,M,10.00,M,FEW,SCT,OVC,M,3000.00,5000.00,5500.00,M,M,PADK 010020Z AUTO 01010KT 10SM FEW030 SCT050 OVC055 A2977 RMK MADISHF
PADK,2017-04-01 00:25,-176.6460,51.8780,M,M,M,10.00,9.00,M,29.77,M,10.00,M,FEW,OVC,M,M,3500.00,5000.00,M,M,M,PADK 010025Z AUTO 01009KT 10SM FEW035 OVC050 A2977 RMK MADISHF
PADK,2017-04-01 00:30,-176.6460,51.8780,M,M,M,10.00,8.00,M,29.77,M,10.00,M,FEW,OVC,M,M,4200.00,5000.00,M,M,M,PADK 010030Z AUTO 01008KT 10SM FEW042 OVC050 A2977 RMK MADISHF
PADK,2017-04-01 00:35,-176.6460,51.8780,M,M,M,20.00,8.00,M,29.78,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,PADK 010035Z AUTO 02008KT 10SM OVC060 A2978 RMK MADISHF
PADK,2017-04-01 00:36,-176.6460,51.8780,33.80,17.60,51.04,20.00,8.00,0.00,29.78,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,PADK 010036Z AUTO 02008KT 10SM OVC060 01/M08 A2978 RMK AO1
PADK,2017-04-01 00:40,-176.6460,51.8780,M,M,M,30.00,9.00,M,29.78,M,10.00,M,FEW,OVC,M,M,2800.00,6000.00,M,M,M,PADK 010040Z AUTO 03009KT 10SM FEW028 OVC060 A2978 RMK MADISHF
PADK,2017-04-01 00:45,-176.6460,51.8780,M,M,M,30.00,7.00,M,29.78,M,9.00,M,FEW,SCT,OVC,M,3000.00,4100.00,6000.00,M,M,PADK 010045Z AUTO 03007KT 9SM FEW030 SCT041 OVC060 A2978 RMK MADISHF
PADK,2017-04-01 00:50,-176.6460,51.8780,M,M,M,40.00,7.00,M,29.78,M,7.00,M,FEW,SCT,BKN,M,2400.00,3000.00,5000.00,M,M,PADK 010050Z AUTO 04007KT 7SM FEW024 SCT030 BKN050 A2978 RMK MADISHF
PADK,2017-04-01 00:56,-176.6460,51.8780,32.00,21.20,63.99,20.00,7.00,0.00,29.78,M,4.00,M,FEW,SCT,BKN,M,2400.00,3200.00,3900.00,M,M,PADK 010056Z AUTO 02007KT 4SM FEW024 SCT032 BKN039 00/M06 A2978 RMK AO1
PADK,2017-04-01 01:00,-176.6460,51.8780,M,M,M,20.00,5.00,M,29.78,M,3.00,M,FEW,SCT,BKN,M,1400.00,2400.00,3200.00,M,M,PADK 010100Z AUTO 02005KT 3SM FEW014 SCT024 BKN032 A2978 RMK MADISHF
PADK,2017-04-01 01:05,-176.6460,51.8780,M,M,M,20.00,5.00,M,29.78,M,3.00,M,SCT,BKN,OVC,M,1400.00,2300.00,5000.00,M,M,PADK 010105Z AUTO 02005KT 3SM SCT014 BKN023 OVC050 A2978 RMK MADISHF
PADK,2017-04-01 01:10,-176.6460,51.8780,M,M,M,30.00,5.00,M,29.78,M,5.00,M,FEW,SCT,BKN,M,1400.00,2200.00,3200.00,M,M,PADK 010110Z AUTO 03005KT 5SM FEW014 SCT022 BKN032 A2978 RMK MADISHF
PADK,2017-04-01 01:15,-176.6460,51.8780,M,M,M,40.00,6.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,1400.00,2400.00,3000.00,M,M,PADK 010115Z AUTO 04006KT 10SM FEW014 SCT024 BKN030 A2978 RMK MADISHF
PADK,2017-04-01 01:16,-176.6460,51.8780,33.80,19.40,55.14,40.00,6.00,0.00,29.78,M,10.00,M,FEW,SCT,BKN,M,1400.00,2600.00,3600.00,M,M,PADK 010116Z AUTO 04006KT 10SM FEW014 SCT026 BKN036 01/M07 A2978 RMK AO1
PADK,2017-04-01 01:20,-176.6460,51.8780,M,M,M,40.00,4.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,1400.00,2600.00,3600.00,M,M,PADK 010120Z AUTO 04004KT 10SM FEW014 SCT026 BKN036 A2978 RMK MADISHF
PADK,2017-04-01 01:25,-176.6460,51.8780,M,M,M,30.00,7.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,1400.00,2600.00,3600.00,M,M,PADK 010125Z AUTO 03007KT 10SM FEW014 SCT026 BKN036 A2978 RMK MADISHF
PADK,2017-04-01 01:30,-176.6460,51.8780,M,M,M,30.00,6.00,M,29.78,M,10.00,M,SCT,BKN,OVC,M,2800.00,3800.00,5000.00,M,M,PADK 010130Z AUTO 03006KT 10SM SCT028 BKN038 OVC050 A2978 RMK MADISHF
PADK,2017-04-01 01:36,-176.6460,51.8780,33.80,19.40,55.14,20.00,7.00,0.00,29.78,M,10.00,M,SCT,BKN,OVC,M,2800.00,3800.00,6000.00,M,M,PADK 010136Z AUTO 02007KT 10SM SCT028 BKN038 OVC060 01/M07 A2978 RMK AO1
PADK,2017-04-01 01:40,-176.6460,51.8780,M,M,M,10.00,5.00,M,29.78,M,10.00,M,SCT,BKN,OVC,M,2800.00,3500.00,6000.00,M,M,PADK 010140Z AUTO 01005KT 10SM SCT028 BKN035 OVC060 A2978 RMK MADISHF
PADK,2017-04-01 01:45,-176.6460,51.8780,M,M,M,10.00,8.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,2200.00,3000.00,3700.00,M,M,PADK 010145Z AUTO 01008KT 10SM FEW022 SCT030 BKN037 A2978 RMK MADISHF
PADK,2017-04-01 01:50,-176.6460,51.8780,M,M,M,10.00,6.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,2200.00,2600.00,3100.00,M,M,PADK 010150Z AUTO 01006KT 10SM FEW022 SCT026 BKN031 A2978 RMK MADISHF
PADK,2017-04-01 01:56,-176.6460,51.8780,33.80,21.20,59.53,20.00,7.00,0.00,29.78,M,9.00,M,FEW,BKN,OVC,M,2200.00,2800.00,3800.00,M,M,PADK 010156Z AUTO 02007KT 9SM FEW022 BKN028 OVC038 01/M06 A2978 RMK AO1
PADK,2017-04-01 02:00,-176.6460,51.8780,M,M,M,30.00,6.00,M,29.78,M,9.00,M,FEW,BKN,OVC,M,2200.00,2800.00,4200.00,M,M,PADK 010200Z AUTO 03006KT 9SM FEW022 BKN028 OVC042 A2978 RMK MADISHF
PADK,2017-04-01 02:05,-176.6460,51.8780,M,M,M,10.00,6.00,M,29.78,M,10.00,M,FEW,SCT,BKN,M,2200.00,2800.00,3999.00,M,M,PADK 010205Z AUTO 01006KT 10SM FEW022 SCT028 BKN039 A2978 RMK MADISHF
PADK,2017-04-01 02:10,-176.6460,51.8780,M,M,M,30.00,6.00,M,29.78,M,10.00,M,FEW,SCT,OVC,M,2200.00,2800.00,3999.00,M,M,PADK 010210Z AUTO 03006KT 10SM FEW022 SCT028 OVC039 A2978 RMK MADISHF
PADK,2017-04-01 02:15,-176.6460,51.8780,M,M,M,30.00,6.00,M,29.79,M,10.00,M,SCT,BKN,OVC,M,2800.00,3500.00,3999.00,M,M,PADK 010215Z AUTO 03006KT 10SM SCT028 BKN035 OVC039 A2979 RMK MADISHF
PADK,2017-04-01 02:16,-176.6460,51.8780,33.80,19.40,55.14,40.00,5.00,0.00,29.79,M,10.00,M,BKN,BKN,OVC,M,2800.00,3500.00,4000.00,M,M,PADK 010216Z AUTO 04005KT 10SM BKN028 BKN035 OVC040 01/M07 A2979 RMK AO1
PADK,2017-04-01 02:20,-176.6460,51.8780,M,M,M,40.00,6.00,M,29.79,M,10.00,M,SCT,BKN,OVC,M,2800.00,3300.00,3999.00,M,M,PADK 010220Z AUTO 04006KT 10SM SCT028 BKN033 OVC039 A2979 RMK MADISHF
PADK,2017-04-01 02:30,-176.6460,51.8780,M,M,M,40.00,6.00,M,29.78,M,10.00,M,SCT,OVC,M,M,3000.00,3999.00,M,M,M,PADK 010230Z AUTO 04006KT 10SM SCT030 OVC039 A2978 RMK MADISHF
PADK,2017-04-01 02:35,-176.6460,51.8780,M,M,M,30.00,5.00,M,29.78,M,10.00,M,SCT,BKN,OVC,M,3000.00,3500.00,3999.00,M,M,PADK 010235Z AUTO 03005KT 10SM SCT030 BKN035 OVC039 A2978 RMK MADISHF
PADK,2017-04-01 02:36,-176.6460,51.8780,33.80,21.20,59.53,10.00,5.00,0.00,29.78,M,10.00,M,SCT,BKN,OVC,M,3000.00,3500.00,4000.00,M,M,PADK 010236Z AUTO 01005KT 10SM SCT030 BKN035 OVC040 01/M06 A2978 RMK AO1
PADK,2017-04-01 02:40,-176.6460,51.8780,M,M,M,20.00,5.00,M,29.78,M,10.00,M,FEW,BKN,OVC,M,2700.00,3500.00,4200.00,M,M,PADK 010240Z AUTO 02005KT 10SM FEW027 BKN035 OVC042 A2978 RMK MADISHF
PADK,2017-04-01 02:45,-176.6460,51.8780,M,M,M,360.00,6.00,M,29.78,M,10.00,M,SCT,BKN,OVC,M,3000.00,3500.00,6500.00,M,M,PADK 010245Z AUTO 36006KT 10SM SCT030 BKN035 OVC065 A2978 RMK MADISHF
