#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PAFM,2017-04-01 00:00,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010000Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:05,-157.8575,67.1063,M,M,M,M,M,M,29.49,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010005Z AUTO /////KT 10SM CLR A2949 RMK MADISHF
PAFM,2017-04-01 00:10,-157.8575,67.1063,M,M,M,M,M,M,29.49,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010010Z AUTO /////KT 10SM CLR A2949 RMK MADISHF
PAFM,2017-04-01 00:20,-157.8575,67.1063,M,M,M,M,M,M,29.49,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010020Z AUTO /////KT 10SM CLR A2949 RMK MADISHF
PAFM,2017-04-01 00:25,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010025Z AUTO 02012KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:30,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010030Z AUTO 02012KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:35,-157.8575,67.1063,M,M,M,20.00,13.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010035Z AUTO 02013KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:40,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010040Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:45,-157.8575,67.1063,M,M,M,20.00,11.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010045Z AUTO 02011KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:50,-157.8575,67.1063,M,M,M,20.00,9.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010050Z AUTO 02009KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:55,-157.8575,67.1063,M,M,M,10.00,10.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010055Z AUTO 01010KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 00:56,-157.8575,67.1063,19.90,5.00,51.77,10.00,10.00,0.00,29.48,999.70,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010056Z AUTO 01010KT 10SM CLR M07/M15 A2948 RMK AO2 SLP997 T10671150 FZRANO
PAFM,2017-04-01 01:00,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010100Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:05,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010105Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:10,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,PAFM 010110Z AUTO /////G17KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:15,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010115Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:20,-157.8575,67.1063,M,M,M,20.00,11.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010120Z AUTO 02011KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:25,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010125Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:30,-157.8575,67.1063,M,M,M,20.00,10.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010130Z AUTO 02010KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:35,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010135Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:40,-157.8575,67.1063,M,M,M,20.00,13.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010140Z AUTO 02013KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:45,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010145Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:50,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010150Z AUTO 02012KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:55,-157.8575,67.1063,M,M,M,M,M,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010155Z AUTO /////KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 01:56,-157.8575,67.1063,19.00,5.00,53.80,20.00,10.00,0.00,29.48,999.70,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010156Z AUTO 02010KT 10SM CLR M07/M15 A2948 RMK AO2 SLP997 T10721150 FZRANO
PAFM,2017-04-01 02:05,-157.8575,67.1063,M,M,M,20.00,10.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010205Z AUTO 02010KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 02:10,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010210Z AUTO 02012KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 02:15,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010215Z AUTO 02012KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:20,-157.8575,67.1063,M,M,M,20.00,11.00,M,29.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010220Z AUTO 02011KT 10SM CLR A2948 RMK MADISHF
PAFM,2017-04-01 02:25,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010225Z AUTO 02012KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:30,-157.8575,67.1063,M,M,M,10.00,11.00,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010230Z AUTO 01011KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:35,-157.8575,67.1063,M,M,M,M,M,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010235Z AUTO /////KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:40,-157.8575,67.1063,M,M,M,20.00,11.00,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010240Z AUTO 02011KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:45,-157.8575,67.1063,M,M,M,20.00,12.00,M,29.47,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,PAFM 010245Z AUTO 02012G17KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:50,-157.8575,67.1063,M,M,M,M,M,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010250Z AUTO /////KT 10SM CLR A2947 RMK MADISHF
PAFM,2017-04-01 02:55,-157.8575,67.1063,M,M,M,M,M,M,29.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PAFM 010255Z AUTO /////KT 10SM CLR A2947 RMK MADISHF
