#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PANC,2017-04-01 00:00,-150.0261,61.1697,M,M,M,290.00,3.00,M,29.23,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010000Z AUTO 29003KT 10SM FEW019 BKN110 A2923 RMK  ACSL E MADISHF
PANC,2017-04-01 00:05,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010005Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:10,-150.0261,61.1697,M,M,M,280.00,3.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010010Z AUTO 28003KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:15,-150.0261,61.1697,M,M,M,280.00,4.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010015Z AUTO 28004KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:20,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010020Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:25,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010025Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:30,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010030Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:35,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010035Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:40,-150.0261,61.1697,M,M,M,270.00,3.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010040Z AUTO 27003KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:45,-150.0261,61.1697,M,M,M,280.00,3.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010045Z AUTO 28003KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:50,-150.0261,61.1697,M,M,M,0.00,0.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010050Z AUTO 00000KT 10SM FEW019 BKN110 A2922 RMK  ACSL E MADISHF
PANC,2017-04-01 00:53,-150.0261,61.1697,35.10,30.90,84.49,310.00,3.00,0.00,29.22,989.60,10.00,M,FEW,BKN,OVC,M,2000.00,11000.00,20000.00,M,M,PANC 010053Z 31003KT 10SM FEW020 BKN110 OVC200 02/M01 A2922 RMK AO2 SLP896 VIRGA SW-NW ACSL SE T00171006
PANC,2017-04-01 00:55,-150.0261,61.1697,M,M,M,320.00,4.00,M,29.22,M,10.00,M,FEW,BKN,M,M,1999.00,11000.00,M,M,M,PANC 010055Z AUTO 32004KT 10SM FEW019 BKN110 A2922 RMK  VIRGA SW-NW ACSL SE MADISHF
