#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PANI,2017-04-01 00:00,-159.5430,61.5816,M,M,M,340.00,6.00,M,29.14,M,3.00,M,SCT,BKN,OVC,M,1900.00,3600.00,5000.00,M,M,PANI 010000Z AUTO 34006KT 3SM SCT019 BKN036 OVC050 A2914 RMK MADISHF
PANI,2017-04-01 00:05,-159.5430,61.5816,M,M,M,350.00,5.00,M,29.14,M,4.00,M,SCT,BKN,OVC,M,1900.00,3999.00,5000.00,M,M,PANI 010005Z AUTO 35005KT 4SM SCT019 BKN039 OVC050 A2914 RMK MADISHF
PANI,2017-04-01 00:10,-159.5430,61.5816,M,M,M,340.00,6.00,M,29.13,M,2.00,M,SCT,BKN,OVC,M,1699.00,3700.00,4400.00,M,M,PANI 010010Z AUTO 34006KT 2SM SCT016 BKN037 OVC044 A2913 RMK MADISHF
PANI,2017-04-01 00:15,-159.5430,61.5816,M,M,M,350.00,5.00,M,29.13,M,1.50,M,SCT,OVC,M,M,2500.00,3700.00,M,M,M,PANI 010015Z AUTO 35005KT 1 1/2SM SCT025 OVC037 A2913 RMK MADISHF
PANI,2017-04-01 00:16,-159.5430,61.5816,24.80,21.20,85.96,350.00,6.00,0.00,29.13,M,1.50,M,BKN,OVC,M,M,3700.00,4500.00,M,M,M,PANI 010016Z AUTO 35006KT 1 1/2SM BKN037 OVC045 M04/M06 A2913 RMK AO1
PANI,2017-04-01 00:20,-159.5430,61.5816,M,M,M,330.00,6.00,M,29.13,M,1.50,M,BKN,OVC,M,M,3399.00,4200.00,M,M,M,PANI 010020Z AUTO 33006KT 1 1/2SM BKN033 OVC042 A2913 RMK MADISHF
PANI,2017-04-01 00:25,-159.5430,61.5816,M,M,M,340.00,6.00,M,29.13,M,1.50,M,BKN,OVC,M,M,3600.00,4700.00,M,M,M,PANI 010025Z AUTO 34006KT 1 1/2SM BKN036 OVC047 A2913 RMK MADISHF
PANI,2017-04-01 00:30,-159.5430,61.5816,M,M,M,340.00,5.00,M,29.13,M,2.50,M,SCT,OVC,M,M,3399.00,4100.00,M,M,M,PANI 010030Z AUTO 34005KT 2 1/2SM SCT033 OVC041 A2913 RMK MADISHF
PANI,2017-04-01 00:35,-159.5430,61.5816,M,M,M,340.00,8.00,M,29.13,M,3.00,M,SCT,OVC,M,M,3500.00,4300.00,M,M,M,PANI 010035Z AUTO 34008KT 3SM SCT035 OVC043 A2913 RMK MADISHF
PANI,2017-04-01 00:36,-159.5430,61.5816,24.80,21.20,85.96,340.00,6.00,0.00,29.13,M,3.00,M,SCT,OVC,M,M,3500.00,4300.00,M,M,M,PANI 010036Z AUTO 34006KT 3SM SCT035 OVC043 M04/M06 A2913 RMK AO1
PANI,2017-04-01 00:40,-159.5430,61.5816,M,M,M,350.00,6.00,M,29.13,M,3.00,M,SCT,OVC,M,M,3500.00,4300.00,M,M,M,PANI 010040Z AUTO 35006KT 3SM SCT035 OVC043 A2913 RMK MADISHF
PANI,2017-04-01 00:45,-159.5430,61.5816,M,M,M,360.00,6.00,M,29.13,M,3.00,M,OVC,M,M,M,3999.00,M,M,M,M,PANI 010045Z AUTO 36006KT 3SM OVC039 A2913 RMK MADISHF
PANI,2017-04-01 00:50,-159.5430,61.5816,M,M,M,360.00,5.00,M,29.13,M,3.00,M,OVC,M,M,M,3999.00,M,M,M,M,PANI 010050Z AUTO 36005KT 3SM OVC039 A2913 RMK MADISHF
PANI,2017-04-01 00:55,-159.5430,61.5816,M,M,M,350.00,6.00,M,29.13,M,3.00,M,BKN,OVC,M,M,3700.00,4300.00,M,M,M,PANI 010055Z AUTO 35006KT 3SM BKN037 OVC043 A2913 RMK MADISHF
PANI,2017-04-01 00:56,-159.5430,61.5816,26.60,21.20,79.77,350.00,6.00,0.00,29.13,M,3.00,M,BKN,OVC,M,M,3700.00,4300.00,M,M,M,PANI 010056Z AUTO 35006KT 3SM BKN037 OVC043 M03/M06 A2913 RMK AO1
PANI,2017-04-01 01:00,-159.5430,61.5816,M,M,M,350.00,5.00,M,29.13,M,2.00,M,BKN,OVC,M,M,3500.00,4300.00,M,M,M,PANI 010100Z AUTO 35005KT 2SM BKN035 OVC043 A2913 RMK MADISHF
PANI,2017-04-01 01:05,-159.5430,61.5816,M,M,M,350.00,5.00,M,29.13,M,1.25,M,BKN,OVC,M,M,3500.00,4300.00,M,M,M,PANI 010105Z AUTO 35005KT 1 1/2SM BKN035 OVC043 A2913 RMK MADISHF
PANI,2017-04-01 01:10,-159.5430,61.5816,M,M,M,360.00,5.00,M,29.13,M,1.50,M,SCT,OVC,M,M,2900.00,3700.00,M,M,M,PANI 010110Z AUTO 36005KT 1 1/2SM SCT029 OVC037 A2913 RMK MADISHF
PANI,2017-04-01 01:15,-159.5430,61.5816,M,M,M,360.00,6.00,M,29.13,M,1.50,M,SCT,OVC,M,M,2700.00,3700.00,M,M,M,PANI 010115Z AUTO 36006KT 1 1/2SM SCT027 OVC037 A2913 RMK MADISHF
PANI,2017-04-01 01:16,-159.5430,61.5816,26.60,23.00,86.07,360.00,5.00,0.00,29.13,M,1.50,M,SCT,BKN,OVC,M,2700.00,3400.00,4000.00,M,M,PANI 010116Z AUTO 36005KT 1 1/2SM SCT027 BKN034 OVC040 M03/M05 A2913 RMK AO1
PANI,2017-04-01 01:20,-159.5430,61.5816,M,M,M,350.00,7.00,M,29.13,M,1.75,M,SCT,BKN,OVC,M,2700.00,3300.00,4200.00,M,M,PANI 010120Z AUTO 35007KT 2SM SCT027 BKN033 OVC042 A2913 RMK MADISHF
PANI,2017-04-01 01:25,-159.5430,61.5816,M,M,M,350.00,6.00,M,29.12,M,3.00,M,FEW,SCT,BKN,M,2700.00,3399.00,4200.00,M,M,PANI 010125Z AUTO 35006KT 3SM FEW027 SCT033 BKN042 A2912 RMK MADISHF
PANI,2017-04-01 01:30,-159.5430,61.5816,M,M,M,350.00,6.00,M,29.13,M,5.00,M,FEW,SCT,OVC,M,2800.00,4200.00,5000.00,M,M,PANI 010130Z AUTO 35006KT 5SM FEW028 SCT042 OVC050 A2913 RMK MADISHF
