#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PANT,2017-04-01 00:00,-131.5722,55.0424,M,M,M,170.00,9.00,M,29.89,M,2.00,17.00,OVC,M,M,M,200.00,M,M,M,-RA BR,PANT 010000Z AUTO 17009G17KT 2SM -RA BR OVC002 A2989 RMK MADISHF
PANT,2017-04-01 00:05,-131.5722,55.0424,M,M,M,160.00,9.00,0.01,29.89,M,1.00,17.00,OVC,M,M,M,200.00,M,M,M,-RA BR,PANT 010005Z AUTO 16009G17KT 1SM -RA BR OVC002 A2989 RMK P0001 MADISHF
PANT,2017-04-01 00:07,-131.5722,55.0424,46.90,44.10,89.92,170.00,7.00,0.01,29.90,M,1.00,18.00,VV ,M,M,M,200.00,M,M,M,-RA BR,PANT 010007Z AUTO 17007G18KT 1SM -RA BR VV002 08/07 A2990 RMK AO2 P0001 T00830067 TSNO
PANT,2017-04-01 00:10,-131.5722,55.0424,M,M,M,180.00,9.00,0.01,29.90,M,0.75,M,VV ,M,M,M,200.00,M,M,M,-RA BR,PANT 010010Z AUTO 18009KT 1SM -RA BR VV002 A2990 RMK P0001 WND 16V22  MADISHF
PANT,2017-04-01 00:15,-131.5722,55.0424,M,M,M,180.00,8.00,0.01,29.90,M,1.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,PANT 010015Z AUTO 18008KT 1SM -RA BR OVC002 A2990 RMK P0001 MADISHF
PANT,2017-04-01 00:20,-131.5722,55.0424,M,M,M,160.00,10.00,0.02,29.89,M,1.25,15.00,OVC,M,M,M,200.00,M,M,M,RA BR,PANT 010020Z AUTO 16010G15KT 1 1/2SM RA BR OVC002 A2989 RMK P0002 MADISHF
PANT,2017-04-01 00:25,-131.5722,55.0424,M,M,M,180.00,8.00,0.05,29.89,M,1.50,M,OVC,M,M,M,200.00,M,M,M,RA BR,PANT 010025Z AUTO 18008KT 1 1/2SM RA BR OVC002 A2989 RMK P0005 MADISHF
PANT,2017-04-01 00:30,-131.5722,55.0424,M,M,M,170.00,10.00,0.05,29.89,M,2.50,M,OVC,M,M,M,300.00,M,M,M,-RA BR,PANT 010030Z AUTO 17010KT 2 1/2SM -RA BR OVC003 A2989 RMK P0005 MADISHF
PANT,2017-04-01 00:31,-131.5722,55.0424,46.90,44.10,89.92,170.00,9.00,0.05,29.89,M,3.00,17.00,OVC,M,M,M,300.00,M,M,M,-RA BR,PANT 010031Z AUTO 17009G17KT 3SM -RA BR OVC003 08/07 A2989 RMK AO2 P0005 T00830067 TSNO
PANT,2017-04-01 00:35,-131.5722,55.0424,M,M,M,170.00,7.00,0.05,29.89,M,3.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,PANT 010035Z AUTO 17007KT 3SM -RA BR OVC003 A2989 RMK P0005 MADISHF
PANT,2017-04-01 00:40,-131.5722,55.0424,M,M,M,160.00,10.00,0.06,29.89,M,2.00,M,OVC,M,M,M,300.00,M,M,M,RA BR,PANT 010040Z AUTO 16010KT 2SM RA BR OVC003 A2989 RMK P0006 MADISHF
PANT,2017-04-01 00:41,-131.5722,55.0424,46.90,44.10,89.92,180.00,8.00,0.06,29.89,M,1.75,18.00,OVC,M,M,M,300.00,M,M,M,RA BR,PANT 010041Z AUTO 18008G18KT 1 3/4SM RA BR OVC003 08/07 A2989 RMK AO2 P0006 T00830067 TSNO
PANT,2017-04-01 00:45,-131.5722,55.0424,M,M,M,180.00,9.00,0.07,29.89,M,1.50,M,OVC,M,M,M,300.00,M,M,M,RA BR,PANT 010045Z AUTO 18009KT 1 1/2SM RA BR OVC003 A2989 RMK P0007 WND 15V21  MADISHF
PANT,2017-04-01 00:50,-131.5722,55.0424,M,M,M,170.00,8.00,0.09,29.89,M,0.75,M,OVC,M,M,M,300.00,M,M,M,-RA BR,PANT 010050Z AUTO 17008KT 1SM -RA BR OVC003 A2989 RMK P0009 MADISHF
PANT,2017-04-01 00:53,-131.5722,55.0424,46.90,44.10,89.92,180.00,8.00,0.09,29.89,1012.20,0.50,17.00,VV ,M,M,M,200.00,M,M,M,-RA FG,PANT 010053Z AUTO 18008G17KT 1/2SM -RA FG VV002 08/07 A2989 RMK AO2 SLP122 P0009 T00830067 TSNO
PANT,2017-04-01 00:55,-131.5722,55.0424,M,M,M,170.00,10.00,M,29.89,M,0.50,17.00,VV ,M,M,M,200.00,M,M,M,-RA FG,PANT 010055Z AUTO 17010G17KT 1/2SM -RA FG VV002 A2989 RMK MADISHF
PANT,2017-04-01 01:05,-131.5722,55.0424,M,M,M,170.00,10.00,M,29.89,M,0.50,M,VV ,M,M,M,200.00,M,M,M,FG,PANT 010105Z AUTO 17010KT 1/2SM FG VV002 A2989 RMK MADISHF
PANT,2017-04-01 01:10,-131.5722,55.0424,M,M,M,180.00,9.00,M,29.89,M,0.25,14.00,VV ,M,M,M,200.00,M,M,M,FG,PANT 010110Z AUTO 18009G14KT 1/4SM FG VV002 A2989 RMK MADISHF
PANT,2017-04-01 01:15,-131.5722,55.0424,M,M,M,180.00,7.00,M,29.88,M,0.50,M,VV ,M,M,M,200.00,M,M,M,FG,PANT 010115Z AUTO 18007KT 1/2SM FG VV002 A2988 RMK WND 11V23  MADISHF
PANT,2017-04-01 01:20,-131.5722,55.0424,M,M,M,170.00,9.00,M,29.88,M,0.50,14.00,VV ,M,M,M,200.00,M,M,M,FG,PANT 010120Z AUTO 17009G14KT 1/2SM FG VV002 A2988 RMK MADISHF
PANT,2017-04-01 01:25,-131.5722,55.0424,M,M,M,170.00,9.00,M,29.88,M,0.50,M,VV ,M,M,M,200.00,M,M,M,FG,PANT 010125Z AUTO 17009KT 1/2SM FG VV002 A2988 RMK MADISHF
PANT,2017-04-01 01:30,-131.5722,55.0424,M,M,M,160.00,9.00,M,29.88,M,0.50,14.00,VV ,M,M,M,200.00,M,M,M,FG,PANT 010130Z AUTO 16009G14KT 1/2SM FG VV002 A2988 RMK MADISHF
PANT,2017-04-01 01:35,-131.5722,55.0424,M,M,M,170.00,9.00,M,29.88,M,0.50,M,VV ,M,M,M,200.00,M,M,M,FG,PANT 010135Z AUTO 17009KT 1/2SM FG VV002 A2988 RMK MADISHF
PANT,2017-04-01 01:40,-131.5722,55.0424,M,M,M,180.00,10.00,M,29.89,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,PANT 010140Z AUTO 18010KT 1/2SM -RA FG VV002 A2989 RMK MADISHF
PANT,2017-04-01 01:45,-131.5722,55.0424,M,M,M,180.00,10.00,M,29.88,M,1.00,M,VV ,M,M,M,200.00,M,M,M,-RA BR,PANT 010145Z AUTO 18010KT 1SM -RA BR VV002 A2988 RMK MADISHF
PANT,2017-04-01 01:48,-131.5722,55.0424,46.40,42.80,87.19,180.00,8.00,0.01,29.88,M,2.00,16.00,OVC,M,M,M,200.00,M,M,M,-RA BR,PANT 010148Z AUTO 18008G16KT 130V210 2SM -RA BR OVC002 08/06 A2988 RMK AO2 RAE0057B38 P0001 TSNO
