#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHJH,2017-04-01 00:50,-156.6748,20.9630,80.60,64.40,57.84,60.00,15.00,0.00,30.04,M,15.00,23.00,FEW,M,M,M,3000.00,M,M,M,M,PHJH 010050Z 06015G23KT 15SM FEW030 27/18 A3004
PHJH,2017-04-01 01:45,-156.6748,20.9630,77.00,64.40,65.12,50.00,15.00,0.00,30.03,M,15.00,22.00,FEW,SCT,M,M,3000.00,6000.00,M,M,M,PHJH 010145Z 05015G22KT 15SM FEW030 SCT060 25/18 A3003 RMK LAST
PHJH,2017-04-01 16:00,-156.6748,20.9630,71.60,62.60,73.27,330.00,6.00,0.00,30.10,M,10.00,M,FEW,SCT,M,M,3500.00,4500.00,M,M,M,PHJH 011600Z 33006KT 10SM FEW035 SCT045 22/17 A3010
PHJH,2017-04-01 16:45,-156.6748,20.9630,71.60,62.60,73.27,340.00,6.00,0.00,30.11,M,15.00,M,SCT,M,M,M,4000.00,M,M,M,M,PHJH 011645Z 34006KT 15SM SCT040 22/17 A3011
PHJH,2017-04-01 17:45,-156.6748,20.9630,75.20,60.80,60.90,10.00,7.00,0.00,30.12,M,15.00,M,SCT,M,M,M,4000.00,M,M,M,M,PHJH 011745Z 01007KT 15SM SCT040 24/16 A3012
PHJH,2017-04-01 18:45,-156.6748,20.9630,78.80,60.80,54.05,40.00,10.00,0.00,30.14,M,15.00,M,SCT,SCT,M,M,3500.00,4500.00,M,M,M,PHJH 011845Z 04010KT 15SM SCT035 SCT045 26/16 A3014
PHJH,2017-04-01 19:45,-156.6748,20.9630,80.60,62.60,54.30,60.00,12.00,0.00,30.12,M,15.00,23.00,SCT,SCT,M,M,3500.00,4500.00,M,M,M,PHJH 011945Z 06012G23KT 15SM SCT035 SCT045 27/17 A3012
PHJH,2017-04-01 20:45,-156.6748,20.9630,80.60,62.60,54.30,50.00,14.00,0.00,30.12,M,15.00,24.00,SCT,SCT,M,M,3500.00,4500.00,M,M,M,PHJH 012045Z 05014G24KT 15SM SCT035 SCT045 27/17 A3012
PHJH,2017-04-01 21:45,-156.6748,20.9630,80.60,62.60,54.30,60.00,18.00,0.00,30.12,M,15.00,29.00,SCT,M,M,M,4000.00,M,M,M,M,PHJH 012145Z 06018G29KT 15SM SCT040 27/17 A3012
PHJH,2017-04-01 22:45,-156.6748,20.9630,80.60,60.80,50.95,70.00,22.00,0.00,30.09,M,15.00,32.00,SCT,M,M,M,4000.00,M,M,M,M,PHJH 012245Z 07022G32KT 15SM SCT040 27/16 A3009
PHJH,2017-04-01 23:45,-156.6748,20.9630,80.60,62.60,54.30,60.00,22.00,0.00,30.07,M,15.00,33.00,SCT,M,M,M,3500.00,M,M,M,M,PHJH 012345Z 06022G33KT 15SM SCT035 27/17 A3007
