#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHJR,2017-04-01 00:00,-158.0703,21.3073,M,M,M,130.00,11.00,M,30.07,M,10.00,M,BKN,M,M,M,5000.00,M,M,M,M,PHJR 010000Z AUTO 13011KT 10SM BKN050 A3007 RMK MADISHF
PHJR,2017-04-01 00:05,-158.0703,21.3073,M,M,M,120.00,12.00,M,30.07,M,10.00,M,FEW,BKN,M,M,4200.00,5000.00,M,M,M,PHJR 010005Z AUTO 12012KT 10SM FEW042 BKN050 A3007 RMK MADISHF
PHJR,2017-04-01 00:10,-158.0703,21.3073,M,M,M,130.00,11.00,M,30.06,M,10.00,M,FEW,BKN,M,M,4200.00,5000.00,M,M,M,PHJR 010010Z AUTO 13011KT 10SM FEW042 BKN050 A3006 RMK MADISHF
PHJR,2017-04-01 00:15,-158.0703,21.3073,M,M,M,130.00,9.00,M,30.06,M,10.00,15.00,FEW,BKN,BKN,M,4200.00,5000.00,6500.00,M,M,PHJR 010015Z AUTO 13009G15KT 10SM FEW042 BKN050 BKN065 A3006 RMK MADISHF
PHJR,2017-04-01 00:20,-158.0703,21.3073,M,M,M,130.00,10.00,M,30.06,M,10.00,15.00,BKN,BKN,M,M,5000.00,6000.00,M,M,M,PHJR 010020Z AUTO 13010G15KT 10SM BKN050 BKN060 A3006 RMK MADISHF
PHJR,2017-04-01 00:25,-158.0703,21.3073,M,M,M,120.00,10.00,M,30.06,M,10.00,M,BKN,BKN,M,M,5000.00,6000.00,M,M,M,PHJR 010025Z AUTO 12010KT 10SM BKN050 BKN060 A3006 RMK WND 09V15  MADISHF
PHJR,2017-04-01 00:30,-158.0703,21.3073,M,M,M,130.00,12.00,M,30.06,M,10.00,17.00,BKN,M,M,M,5000.00,M,M,M,M,PHJR 010030Z AUTO 13012G17KT 10SM BKN050 A3006 RMK MADISHF
PHJR,2017-04-01 00:35,-158.0703,21.3073,M,M,M,120.00,11.00,M,30.05,M,10.00,16.00,BKN,BKN,M,M,5000.00,6000.00,M,M,M,PHJR 010035Z AUTO 12011G16KT 10SM BKN050 BKN060 A3005 RMK MADISHF
PHJR,2017-04-01 00:40,-158.0703,21.3073,M,M,M,120.00,12.00,M,30.05,M,10.00,17.00,BKN,M,M,M,5000.00,M,M,M,M,PHJR 010040Z AUTO 12012G17KT 10SM BKN050 A3005 RMK MADISHF
PHJR,2017-04-01 00:45,-158.0703,21.3073,M,M,M,130.00,10.00,M,30.05,M,10.00,15.00,BKN,M,M,M,5000.00,M,M,M,M,PHJR 010045Z AUTO 13010G15KT 10SM BKN050 A3005 RMK MADISHF
PHJR,2017-04-01 00:50,-158.0703,21.3073,M,M,M,130.00,10.00,M,30.05,M,10.00,M,BKN,BKN,M,M,5000.00,6000.00,M,M,M,PHJR 010050Z AUTO 13010KT 10SM BKN050 BKN060 A3005 RMK MADISHF
