#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHKO,2017-04-01 00:00,-156.0456,19.7388,M,M,M,240.00,11.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010000Z AUTO 24011KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:05,-156.0456,19.7388,M,M,M,230.00,10.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010005Z AUTO 23010KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:10,-156.0456,19.7388,M,M,M,230.00,10.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010010Z AUTO 23010KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:15,-156.0456,19.7388,M,M,M,230.00,10.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010015Z AUTO 23010KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:20,-156.0456,19.7388,M,M,M,230.00,10.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010020Z AUTO 23010KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:25,-156.0456,19.7388,M,M,M,240.00,9.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010025Z AUTO 24009KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:30,-156.0456,19.7388,M,M,M,230.00,10.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010030Z AUTO 23010KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:35,-156.0456,19.7388,M,M,M,250.00,8.00,M,30.00,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010035Z AUTO 25008KT 10SM SCT055 A3000 RMK MADISHF
PHKO,2017-04-01 00:40,-156.0456,19.7388,M,M,M,240.00,9.00,M,30.01,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010040Z AUTO 24009KT 10SM SCT055 A3001 RMK MADISHF
PHKO,2017-04-01 00:45,-156.0456,19.7388,M,M,M,250.00,9.00,M,30.00,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,PHKO 010045Z AUTO 25009KT 10SM SCT055 A3000 RMK MADISHF
