#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHMK,2017-04-01 00:00,-157.0963,21.1529,M,M,M,30.00,11.00,M,30.05,M,10.00,M,FEW,M,M,M,4700.00,M,M,M,M,PHMK 010000Z AUTO 03011KT 10SM FEW047 A3005 RMK MADISHF
PHMK,2017-04-01 00:04,-157.0963,21.1529,84.00,64.90,52.71,40.00,13.00,0.00,30.05,M,10.00,19.00,SCT,SCT,M,M,4700.00,5500.00,M,M,M,PHMK 010004Z 04013G19KT 10SM SCT047 SCT055 29/18 A3005 RMK AO2 T02890183
PHMK,2017-04-01 00:05,-157.0963,21.1529,M,M,M,30.00,11.00,M,30.05,M,10.00,M,SCT,M,M,M,4700.00,M,M,M,M,PHMK 010005Z AUTO 03011KT 10SM SCT047 A3005 RMK MADISHF
PHMK,2017-04-01 00:10,-157.0963,21.1529,M,M,M,20.00,13.00,M,30.05,M,10.00,M,SCT,M,M,M,4700.00,M,M,M,M,PHMK 010010Z AUTO 02013KT 10SM SCT047 A3005 RMK MADISHF
PHMK,2017-04-01 00:15,-157.0963,21.1529,M,M,M,50.00,14.00,M,30.05,M,10.00,M,FEW,M,M,M,4900.00,M,M,M,M,PHMK 010015Z AUTO 05014KT 10SM FEW049 A3005 RMK MADISHF
PHMK,2017-04-01 00:20,-157.0963,21.1529,M,M,M,40.00,11.00,M,30.05,M,10.00,M,FEW,SCT,M,M,4700.00,5500.00,M,M,M,PHMK 010020Z AUTO 04011KT 10SM FEW047 SCT055 A3005 RMK MADISHF
PHMK,2017-04-01 00:25,-157.0963,21.1529,M,M,M,50.00,13.00,M,30.05,M,10.00,18.00,FEW,FEW,M,M,4900.00,6000.00,M,M,M,PHMK 010025Z AUTO 05013G18KT 10SM FEW049 FEW060 A3005 RMK MADISHF
PHMK,2017-04-01 00:30,-157.0963,21.1529,M,M,M,30.00,14.00,M,30.04,M,10.00,19.00,FEW,M,M,M,4900.00,M,M,M,M,PHMK 010030Z AUTO 03014G19KT 10SM FEW049 A3004 RMK MADISHF
PHMK,2017-04-01 00:35,-157.0963,21.1529,M,M,M,20.00,9.00,M,30.04,M,10.00,M,FEW,M,M,M,5500.00,M,M,M,M,PHMK 010035Z AUTO 02009KT 10SM FEW055 A3004 RMK MADISHF
PHMK,2017-04-01 00:40,-157.0963,21.1529,M,M,M,40.00,10.00,M,30.04,M,10.00,M,FEW,M,M,M,5500.00,M,M,M,M,PHMK 010040Z AUTO 04010KT 10SM FEW055 A3004 RMK MADISHF
PHMK,2017-04-01 00:45,-157.0963,21.1529,M,M,M,40.00,13.00,M,30.04,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,PHMK 010045Z AUTO 04013G19KT 10SM CLR A3004 RMK MADISHF
PHMK,2017-04-01 00:50,-157.0963,21.1529,M,M,M,50.00,13.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PHMK 010050Z AUTO 05013KT 10SM CLR A3004 RMK MADISHF
PHMK,2017-04-01 00:54,-157.0963,21.1529,84.00,64.90,52.71,50.00,13.00,0.00,30.04,1017.20,10.00,20.00,CLR,M,M,M,M,M,M,M,M,PHMK 010054Z 05013G20KT 10SM CLR 29/18 A3004 RMK AO2 SLP172 T02890183
PHMK,2017-04-01 00:55,-157.0963,21.1529,M,M,M,50.00,10.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PHMK 010055Z AUTO 05010KT 10SM CLR A3004 RMK MADISHF
PHMK,2017-04-01 01:00,-157.0963,21.1529,M,M,M,40.00,8.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PHMK 010100Z AUTO 04008KT 10SM CLR A3003 RMK MADISHF
PHMK,2017-04-01 01:05,-157.0963,21.1529,M,M,M,30.00,12.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,PHMK 010105Z AUTO 03012KT 10SM CLR A3003 RMK MADISHF
