#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHSF,2017-04-01 00:56,-155.5538,19.7600,68.90,37.60,31.69,160.00,7.00,0.00,30.32,1016.20,10.00,M,CLR,M,M,M,M,M,M,M,M,PHSF 010056Z AUTO 16007KT 10SM CLR 21/03 A3032 RMK AO2 SLP162 T02050031 $
PHSF,2017-04-01 01:56,-155.5538,19.7600,61.90,52.90,72.31,260.00,12.00,0.00,30.32,1016.70,10.00,M,FEW,SCT,M,M,1900.00,7500.00,M,M,M,PHSF 010156Z AUTO 26012KT 10SM FEW019 SCT075 17/12 A3032 RMK AO2 SLP167 T01660116 $
PHSF,2017-04-01 02:56,-155.5538,19.7600,62.40,48.00,59.23,170.00,9.00,0.00,30.32,1017.10,10.00,M,FEW,M,M,M,2000.00,M,M,M,M,PHSF 010256Z AUTO 17009KT 10SM FEW020 17/09 A3032 RMK AO2 SLP171 T01690089 56002 $
PHSF,2017-04-01 03:56,-155.5538,19.7600,58.50,48.60,69.58,140.00,9.00,0.00,30.32,1017.50,10.00,18.00,FEW,SCT,M,M,3800.00,12000.00,M,M,M,PHSF 010356Z AUTO 14009G18KT 10SM FEW038 SCT120 15/09 A3032 RMK AO2 SLP175 T01470092 $
PHSF,2017-04-01 04:56,-155.5538,19.7600,56.30,48.40,74.76,160.00,8.00,0.00,30.34,1017.80,10.00,17.00,FEW,SCT,M,M,4500.00,11000.00,M,M,M,PHSF 010456Z AUTO 16008G17KT 10SM FEW045 SCT110 14/09 A3034 RMK AO2 SLP178 T01350091 $
PHSF,2017-04-01 05:56,-155.5538,19.7600,52.90,48.20,84.00,210.00,3.00,0.00,30.37,1018.40,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,PHSF 010556Z AUTO 21003KT 10SM FEW100 12/09 A3037 RMK AO2 SLP184 T01160090 10214 20113 53012 $
PHSF,2017-04-01 06:56,-155.5538,19.7600,50.70,45.70,82.91,140.00,4.00,0.00,30.38,1018.80,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,PHSF 010656Z AUTO 14004KT 10SM FEW095 10/08 A3038 RMK AO2 SLP188 T01040076 $
PHSF,2017-04-01 07:56,-155.5538,19.7600,48.20,43.70,84.33,130.00,3.00,0.00,30.38,1018.30,10.00,M,CLR,M,M,M,M,M,M,M,M,PHSF 010756Z AUTO 13003KT 10SM CLR 09/07 A3038 RMK AO2 SLP183 T00900065 $
PHSF,2017-04-01 08:56,-155.5538,19.7600,52.20,46.60,81.15,140.00,5.00,0.00,30.39,1017.80,10.00,M,CLR,M,M,M,M,M,M,M,M,PHSF 010856Z AUTO 14005KT 10SM CLR 11/08 A3039 RMK AO2 SLP178 T01120081 50007 $
PHSF,2017-04-01 09:56,-155.5538,19.7600,49.80,37.80,63.20,130.00,4.00,0.00,30.38,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,PHSF 010956Z AUTO 13004KT 10SM CLR 10/03 A3038 RMK AO2 SLP171 T00990032 402200041 $
