#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PHTO,2017-04-01 00:00,-155.0485,19.7203,M,M,M,90.00,12.00,M,30.07,M,10.00,M,BKN,OVC,M,M,5500.00,7000.00,M,M,M,PHTO 010000Z AUTO 09012KT 10SM BKN055 OVC070 A3007 RMK MADISHF
PHTO,2017-04-01 00:05,-155.0485,19.7203,M,M,M,90.00,13.00,M,30.07,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,PHTO 010005Z AUTO 09013KT 10SM OVC055 A3007 RMK MADISHF
PHTO,2017-04-01 00:10,-155.0485,19.7203,M,M,M,110.00,12.00,M,30.07,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,PHTO 010010Z AUTO 11012KT 10SM OVC055 A3007 RMK MADISHF
PHTO,2017-04-01 00:15,-155.0485,19.7203,M,M,M,100.00,10.00,M,30.07,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,PHTO 010015Z AUTO 10010KT 10SM OVC060 A3007 RMK MADISHF
PHTO,2017-04-01 00:20,-155.0485,19.7203,M,M,M,120.00,9.00,M,30.07,M,10.00,M,BKN,OVC,M,M,6000.00,7000.00,M,M,M,PHTO 010020Z AUTO 12009KT 10SM BKN060 OVC070 A3007 RMK MADISHF
PHTO,2017-04-01 00:25,-155.0485,19.7203,M,M,M,90.00,12.00,M,30.07,M,10.00,M,SCT,OVC,M,M,5500.00,7000.00,M,M,M,PHTO 010025Z AUTO 09012KT 10SM SCT055 OVC070 A3007 RMK MADISHF
PHTO,2017-04-01 00:30,-155.0485,19.7203,M,M,M,90.00,10.00,M,30.07,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,PHTO 010030Z AUTO 09010KT 10SM OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 00:35,-155.0485,19.7203,M,M,M,90.00,9.00,M,30.07,M,10.00,M,FEW,OVC,M,M,2600.00,6500.00,M,M,M,PHTO 010035Z AUTO 09009KT 10SM FEW026 OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 00:40,-155.0485,19.7203,M,M,M,80.00,10.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2600.00,6500.00,7999.00,M,M,PHTO 010040Z AUTO 08010KT 10SM FEW026 BKN065 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 00:45,-155.0485,19.7203,M,M,M,90.00,8.00,M,30.06,M,10.00,M,FEW,OVC,M,M,2600.00,7000.00,M,M,M,PHTO 010045Z AUTO 09008KT 10SM FEW026 OVC070 A3006 RMK MADISHF
PHTO,2017-04-01 00:50,-155.0485,19.7203,M,M,M,110.00,9.00,M,30.06,M,10.00,M,SCT,BKN,OVC,M,2500.00,6500.00,7999.00,M,M,PHTO 010050Z AUTO 11009KT 10SM SCT025 BKN065 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 00:53,-155.0485,19.7203,78.10,66.00,66.39,90.00,8.00,0.00,30.06,1017.80,10.00,M,SCT,BKN,OVC,M,2500.00,6500.00,8000.00,M,M,PHTO 010053Z 09008KT 10SM SCT025 BKN065 OVC080 26/19 A3006 RMK AO2 SLP178 T02560189
PHTO,2017-04-01 00:55,-155.0485,19.7203,M,M,M,100.00,7.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2500.00,6500.00,7999.00,M,M,PHTO 010055Z AUTO 10007KT 10SM FEW025 BKN065 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:00,-155.0485,19.7203,M,M,M,110.00,9.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2500.00,6500.00,7999.00,M,M,PHTO 010100Z AUTO 11009KT 10SM FEW025 BKN065 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:05,-155.0485,19.7203,M,M,M,100.00,11.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2700.00,6500.00,7999.00,M,M,PHTO 010105Z AUTO 10011KT 10SM FEW027 BKN065 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:10,-155.0485,19.7203,M,M,M,110.00,9.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2700.00,6000.00,7999.00,M,M,PHTO 010110Z AUTO 11009KT 10SM FEW027 BKN060 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:15,-155.0485,19.7203,M,M,M,110.00,11.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2800.00,7000.00,7999.00,M,M,PHTO 010115Z AUTO 11011KT 10SM FEW028 BKN070 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:20,-155.0485,19.7203,M,M,M,110.00,10.00,M,30.06,M,10.00,15.00,FEW,BKN,OVC,M,2800.00,7000.00,7999.00,M,M,PHTO 010120Z AUTO 11010G15KT 10SM FEW028 BKN070 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:25,-155.0485,19.7203,M,M,M,100.00,11.00,M,30.06,M,10.00,M,FEW,BKN,OVC,M,2800.00,7000.00,7999.00,M,M,PHTO 010125Z AUTO 10011KT 10SM FEW028 BKN070 OVC079 A3006 RMK MADISHF
PHTO,2017-04-01 01:30,-155.0485,19.7203,M,M,M,100.00,10.00,M,30.06,M,10.00,M,FEW,OVC,M,M,2800.00,7500.00,M,M,M,PHTO 010130Z AUTO 10010KT 10SM FEW028 OVC075 A3006 RMK MADISHF
PHTO,2017-04-01 01:35,-155.0485,19.7203,M,M,M,120.00,12.00,M,30.06,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,PHTO 010135Z AUTO 12012KT 10SM OVC075 A3006 RMK MADISHF
PHTO,2017-04-01 01:40,-155.0485,19.7203,M,M,M,100.00,9.00,M,30.06,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,PHTO 010140Z AUTO 10009KT 10SM OVC075 A3006 RMK MADISHF
PHTO,2017-04-01 01:45,-155.0485,19.7203,M,M,M,90.00,9.00,M,30.06,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,PHTO 010145Z AUTO 09009KT 10SM BKN075 A3006 RMK MADISHF
PHTO,2017-04-01 01:50,-155.0485,19.7203,M,M,M,110.00,10.00,M,30.06,M,10.00,M,FEW,SCT,BKN,M,2500.00,3500.00,7500.00,M,M,PHTO 010150Z AUTO 11010KT 10SM FEW025 SCT035 BKN075 A3006 RMK MADISHF
PHTO,2017-04-01 01:53,-155.0485,19.7203,79.00,66.00,64.45,100.00,9.00,0.00,30.07,1017.90,10.00,M,FEW,SCT,BKN,M,2500.00,3500.00,7500.00,M,M,PHTO 010153Z 10009KT 10SM FEW025 SCT035 BKN075 26/19 A3007 RMK AO2 SLP179 T02610189
PHTO,2017-04-01 01:55,-155.0485,19.7203,M,M,M,100.00,10.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,3100.00,6000.00,7500.00,M,M,PHTO 010155Z AUTO 10010KT 10SM FEW031 SCT060 BKN075 A3007 RMK MADISHF
PHTO,2017-04-01 02:00,-155.0485,19.7203,M,M,M,110.00,7.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,2700.00,3700.00,7500.00,M,M,PHTO 010200Z AUTO 11007KT 10SM FEW027 SCT037 BKN075 A3007 RMK MADISHF
PHTO,2017-04-01 02:05,-155.0485,19.7203,M,M,M,100.00,11.00,M,30.07,M,10.00,M,SCT,BKN,BKN,M,2900.00,3600.00,4400.00,M,M,PHTO 010205Z AUTO 10011KT 10SM SCT029 BKN036 BKN044 A3007 RMK MADISHF
PHTO,2017-04-01 02:10,-155.0485,19.7203,M,M,M,110.00,9.00,M,30.07,M,10.00,M,FEW,SCT,SCT,M,2900.00,3600.00,4400.00,M,M,PHTO 010210Z AUTO 11009KT 10SM FEW029 SCT036 SCT044 A3007 RMK MADISHF
PHTO,2017-04-01 02:15,-155.0485,19.7203,M,M,M,120.00,9.00,M,30.07,M,10.00,M,FEW,SCT,M,M,2900.00,3900.00,M,M,M,PHTO 010215Z AUTO 12009KT 10SM FEW029 SCT039 A3007 RMK MADISHF
PHTO,2017-04-01 02:20,-155.0485,19.7203,M,M,M,100.00,9.00,M,30.07,M,10.00,M,FEW,SCT,M,M,2900.00,3900.00,M,M,M,PHTO 010220Z AUTO 10009KT 10SM FEW029 SCT039 A3007 RMK MADISHF
PHTO,2017-04-01 02:25,-155.0485,19.7203,M,M,M,110.00,9.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,2700.00,3600.00,6500.00,M,M,PHTO 010225Z AUTO 11009KT 10SM FEW027 SCT036 BKN065 A3007 RMK MADISHF
PHTO,2017-04-01 02:30,-155.0485,19.7203,M,M,M,100.00,8.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,2700.00,4400.00,6500.00,M,M,PHTO 010230Z AUTO 10008KT 10SM FEW027 SCT044 BKN065 A3007 RMK MADISHF
PHTO,2017-04-01 02:35,-155.0485,19.7203,M,M,M,80.00,10.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,2500.00,3900.00,6500.00,M,M,PHTO 010235Z AUTO 08010KT 10SM FEW025 SCT039 BKN065 A3007 RMK MADISHF
PHTO,2017-04-01 02:40,-155.0485,19.7203,M,M,M,100.00,10.00,M,30.07,M,10.00,M,FEW,SCT,BKN,M,2500.00,3900.00,6500.00,M,M,PHTO 010240Z AUTO 10010KT 10SM FEW025 SCT039 BKN065 A3007 RMK MADISHF
PHTO,2017-04-01 02:45,-155.0485,19.7203,M,M,M,100.00,9.00,M,30.07,M,10.00,M,FEW,SCT,OVC,M,2600.00,3900.00,6500.00,M,M,PHTO 010245Z AUTO 10009KT 10SM FEW026 SCT039 OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 02:50,-155.0485,19.7203,M,M,M,90.00,8.00,M,30.07,M,8.00,M,FEW,FEW,OVC,M,2600.00,3900.00,6500.00,M,M,PHTO 010250Z AUTO 09008KT 8SM FEW026 FEW039 OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 02:53,-155.0485,19.7203,77.00,66.90,71.03,100.00,8.00,0.00,30.07,1018.00,8.00,M,FEW,OVC,M,M,3900.00,6500.00,M,M,M,PHTO 010253Z 10008KT 8SM FEW039 OVC065 25/19 A3007 RMK AO2 SLP180 T02500194 55002
PHTO,2017-04-01 02:55,-155.0485,19.7203,M,M,M,100.00,6.00,M,30.07,M,8.00,M,FEW,OVC,M,M,3900.00,6500.00,M,M,M,PHTO 010255Z AUTO 10006KT 8SM FEW039 OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 03:00,-155.0485,19.7203,M,M,M,90.00,9.00,M,30.07,M,10.00,M,FEW,OVC,M,M,3800.00,7000.00,M,M,M,PHTO 010300Z AUTO 09009KT 10SM FEW038 OVC070 A3007 RMK MADISHF
PHTO,2017-04-01 03:05,-155.0485,19.7203,M,M,M,90.00,9.00,M,30.07,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,PHTO 010305Z AUTO 09009KT 10SM BKN070 A3007 RMK MADISHF
PHTO,2017-04-01 03:10,-155.0485,19.7203,M,M,M,100.00,7.00,M,30.07,M,10.00,M,FEW,BKN,M,M,4300.00,7000.00,M,M,M,PHTO 010310Z AUTO 10007KT 10SM FEW043 BKN070 A3007 RMK MADISHF
PHTO,2017-04-01 03:15,-155.0485,19.7203,M,M,M,90.00,6.00,M,30.07,M,10.00,M,SCT,BKN,M,M,4300.00,7000.00,M,M,M,PHTO 010315Z AUTO 09006KT 10SM SCT043 BKN070 A3007 RMK MADISHF
PHTO,2017-04-01 03:20,-155.0485,19.7203,M,M,M,100.00,8.00,M,30.07,M,10.00,M,BKN,BKN,M,M,4300.00,7000.00,M,M,M,PHTO 010320Z AUTO 10008KT 10SM BKN043 BKN070 A3007 RMK MADISHF
PHTO,2017-04-01 03:25,-155.0485,19.7203,M,M,M,100.00,8.00,M,30.07,M,10.00,M,BKN,BKN,M,M,4500.00,7000.00,M,M,M,PHTO 010325Z AUTO 10008KT 10SM BKN045 BKN070 A3007 RMK MADISHF
PHTO,2017-04-01 03:30,-155.0485,19.7203,M,M,M,110.00,8.00,M,30.07,M,10.00,M,BKN,M,M,M,4500.00,M,M,M,M,PHTO 010330Z AUTO 11008KT 10SM BKN045 A3007 RMK MADISHF
PHTO,2017-04-01 03:35,-155.0485,19.7203,M,M,M,110.00,7.00,M,30.07,M,10.00,M,FEW,OVC,M,M,2500.00,4600.00,M,M,M,PHTO 010335Z AUTO 11007KT 10SM FEW025 OVC046 A3007 RMK MADISHF
PHTO,2017-04-01 03:40,-155.0485,19.7203,M,M,M,100.00,6.00,M,30.07,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,PHTO 010340Z AUTO 10006KT 10SM OVC045 A3007 RMK MADISHF
PHTO,2017-04-01 03:45,-155.0485,19.7203,M,M,M,100.00,6.00,M,30.07,M,10.00,M,FEW,BKN,OVC,M,2600.00,3999.00,4800.00,M,M,PHTO 010345Z AUTO 10006KT 10SM FEW026 BKN039 OVC048 A3007 RMK MADISHF
PHTO,2017-04-01 03:50,-155.0485,19.7203,M,M,M,100.00,5.00,M,30.07,M,10.00,M,FEW,BKN,OVC,M,2600.00,3999.00,4800.00,M,M,PHTO 010350Z AUTO 10005KT 10SM FEW026 BKN039 OVC048 A3007 RMK MADISHF
PHTO,2017-04-01 03:53,-155.0485,19.7203,75.90,66.90,73.68,110.00,6.00,0.00,30.07,1018.20,10.00,M,FEW,BKN,OVC,M,3200.00,4000.00,4800.00,M,M,PHTO 010353Z 11006KT 10SM FEW032 BKN040 OVC048 24/19 A3007 RMK AO2 SLP182 T02440194
PHTO,2017-04-01 03:55,-155.0485,19.7203,M,M,M,100.00,5.00,M,30.07,M,10.00,M,FEW,OVC,M,M,3200.00,4400.00,M,M,M,PHTO 010355Z AUTO 10005KT 10SM FEW032 OVC044 A3007 RMK MADISHF
PHTO,2017-04-01 04:00,-155.0485,19.7203,M,M,M,100.00,5.00,M,30.07,M,10.00,M,FEW,BKN,BKN,M,3300.00,4100.00,4700.00,M,M,PHTO 010400Z AUTO 10005KT 10SM FEW033 BKN041 BKN047 A3007 RMK MADISHF
PHTO,2017-04-01 04:05,-155.0485,19.7203,M,M,M,100.00,4.00,M,30.07,M,10.00,M,FEW,BKN,OVC,M,2900.00,3800.00,6500.00,M,M,PHTO 010405Z AUTO 10004KT 10SM FEW029 BKN038 OVC065 A3007 RMK MADISHF
PHTO,2017-04-01 04:10,-155.0485,19.7203,M,M,M,100.00,3.00,M,30.08,M,10.00,M,FEW,BKN,OVC,M,2600.00,3800.00,4800.00,M,M,PHTO 010410Z AUTO 10003KT 10SM FEW026 BKN038 OVC048 A3008 RMK MADISHF
PHTO,2017-04-01 04:15,-155.0485,19.7203,M,M,M,110.00,4.00,M,30.08,M,10.00,M,SCT,BKN,OVC,M,2600.00,3999.00,4800.00,M,M,PHTO 010415Z AUTO 11004KT 10SM SCT026 BKN039 OVC048 A3008 RMK MADISHF
PHTO,2017-04-01 04:20,-155.0485,19.7203,M,M,M,130.00,7.00,M,30.08,M,7.00,M,SCT,BKN,OVC,M,2600.00,3900.00,4700.00,M,-RA,PHTO 010420Z AUTO 13007KT 7SM -RA SCT026 BKN039 OVC047 A3008 RMK MADISHF
PHTO,2017-04-01 04:25,-155.0485,19.7203,M,M,M,170.00,6.00,M,30.08,M,6.00,M,SCT,BKN,OVC,M,2600.00,3900.00,4700.00,M,-RA,PHTO 010425Z AUTO 17006KT 6SM -RA SCT026 BKN039 OVC047 A3008 RMK MADISHF
PHTO,2017-04-01 04:30,-155.0485,19.7203,M,M,M,180.00,5.00,M,30.08,M,7.00,M,SCT,BKN,OVC,M,2600.00,3900.00,4700.00,M,-RA,PHTO 010430Z AUTO 18005KT 7SM -RA SCT026 BKN039 OVC047 A3008 RMK MADISHF
PHTO,2017-04-01 04:35,-155.0485,19.7203,M,M,M,190.00,5.00,M,30.08,M,10.00,M,BKN,BKN,OVC,M,2600.00,3399.00,4500.00,M,-RA,PHTO 010435Z AUTO 19005KT 10SM -RA BKN026 BKN033 OVC045 A3008 RMK MADISHF
PHTO,2017-04-01 04:40,-155.0485,19.7203,M,M,M,180.00,4.00,M,30.08,M,10.00,M,BKN,BKN,OVC,M,2800.00,3800.00,5500.00,M,M,PHTO 010440Z AUTO 18004KT 10SM BKN028 BKN038 OVC055 A3008 RMK MADISHF
PHTO,2017-04-01 04:45,-155.0485,19.7203,73.00,68.00,84.34,200.00,3.00,0.00,30.08,M,10.00,M,BKN,BKN,OVC,M,2800.00,3800.00,7000.00,M,M,PHTO 010445Z 20003KT 10SM BKN028 BKN038 OVC070 23/20 A3008 RMK AO2 RAB19E40 P0000 T02280200
PHTO,2017-04-01 04:50,-155.0485,19.7203,M,M,M,190.00,3.00,M,30.09,M,10.00,M,SCT,BKN,OVC,M,2800.00,3800.00,7000.00,M,M,PHTO 010450Z AUTO 19003KT 10SM SCT028 BKN038 OVC070 A3009 RMK MADISHF
PHTO,2017-04-01 04:53,-155.0485,19.7203,73.00,69.10,87.59,0.00,0.00,0.00,30.09,1018.70,10.00,M,FEW,BKN,OVC,M,2300.00,3100.00,6000.00,M,-RA,PHTO 010453Z 00000KT 10SM -RA FEW023 BKN031 OVC060 23/21 A3009 RMK AO2 RAB19E40B53 SLP187 P0000 T02280206
PHTO,2017-04-01 04:55,-155.0485,19.7203,M,M,M,0.00,0.00,M,30.09,M,8.00,M,SCT,BKN,OVC,M,2300.00,2900.00,6000.00,M,-RA,PHTO 010455Z AUTO 00000KT 8SM -RA SCT023 BKN029 OVC060 A3009 RMK MADISHF
PHTO,2017-04-01 05:00,-155.0485,19.7203,M,M,M,130.00,4.00,M,30.09,M,5.00,M,BKN,BKN,OVC,M,2300.00,2800.00,3999.00,M,-RA BR,PHTO 010500Z AUTO 13004KT 5SM -RA BR BKN023 BKN028 OVC039 A3009 RMK VRB04KT  MADISHF
PHTO,2017-04-01 05:04,-155.0485,19.7203,73.00,68.00,84.34,180.00,3.00,0.02,30.09,M,5.00,M,BKN,BKN,OVC,M,2300.00,2800.00,3800.00,M,-RA,PHTO 010504Z 18003KT 5SM -RA BKN023 BKN028 OVC038 23/20 A3009 RMK AO2 P0002 T02280200
PHTO,2017-04-01 05:05,-155.0485,19.7203,M,M,M,190.00,3.00,0.02,30.09,M,6.00,M,BKN,BKN,OVC,M,2300.00,2800.00,4200.00,M,-RA,PHTO 010505Z AUTO 19003KT 6SM -RA BKN023 BKN028 OVC042 A3009 RMK P0002 MADISHF
PHTO,2017-04-01 05:10,-155.0485,19.7203,M,M,M,0.00,0.00,0.02,30.10,M,10.00,M,SCT,BKN,OVC,M,2200.00,2800.00,3800.00,M,-RA,PHTO 010510Z AUTO 00000KT 10SM -RA SCT022 BKN028 OVC038 A3010 RMK P0002 MADISHF
PHTO,2017-04-01 05:15,-155.0485,19.7203,M,M,M,130.00,3.00,0.02,30.10,M,10.00,M,SCT,BKN,OVC,M,2200.00,3800.00,6500.00,M,M,PHTO 010515Z AUTO 13003KT 10SM SCT022 BKN038 OVC065 A3010 RMK P0002 MADISHF
PHTO,2017-04-01 05:20,-155.0485,19.7203,73.00,68.00,84.34,110.00,5.00,0.02,30.10,M,10.00,M,SCT,BKN,OVC,M,2200.00,3800.00,7000.00,M,M,PHTO 010520Z 11005KT 10SM SCT022 BKN038 OVC070 23/20 A3010 RMK AO2 RAE12 P0002 T02280200
