#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PMU,2017-04-01 00:15,-89.8929,34.3635,69.60,45.10,41.34,260.00,3.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010015Z AUTO 26003KT 10SM CLR 21/07 A2990 RMK AO2 T02090073
PMU,2017-04-01 00:35,-89.8929,34.3635,68.20,45.90,44.71,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010035Z AUTO 00000KT 10SM CLR 20/08 A2990 RMK AO2 T02010077
PMU,2017-04-01 00:55,-89.8929,34.3635,62.60,49.60,62.44,350.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010055Z AUTO 35003KT 10SM CLR 17/10 A2992 RMK AO2 T01700098
PMU,2017-04-01 01:15,-89.8929,34.3635,59.20,50.50,72.84,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010115Z AUTO 00000KT 10SM CLR 15/10 A2992 RMK AO2 T01510103
PMU,2017-04-01 01:35,-89.8929,34.3635,59.00,50.20,72.55,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010135Z AUTO 00000KT 10SM CLR 15/10 A2993 RMK AO2 T01500101
PMU,2017-04-01 01:55,-89.8929,34.3635,57.70,51.10,78.60,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010155Z AUTO 00000KT 10SM CLR 14/11 A2994 RMK AO2 T01430106
PMU,2017-04-01 02:15,-89.8929,34.3635,56.30,51.60,84.21,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010215Z AUTO 00000KT 10SM CLR 14/11 A2995 RMK AO2 T01350109
PMU,2017-04-01 02:35,-89.8929,34.3635,54.90,51.10,86.98,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010235Z AUTO 00000KT 10SM CLR 13/11 A2995 RMK AO2 T01270106
PMU,2017-04-01 02:55,-89.8929,34.3635,54.30,51.30,89.56,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010255Z AUTO 00000KT 10SM CLR 12/11 A2996 RMK AO2 T01240107
PMU,2017-04-01 03:15,-89.8929,34.3635,53.60,51.10,91.21,70.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010315Z AUTO 07003KT 10SM CLR 12/11 A2996 RMK AO2 T01200106
PMU,2017-04-01 03:35,-89.8929,34.3635,54.00,50.40,87.58,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010335Z AUTO 00000KT 10SM CLR 12/10 A2996 RMK AO2 T01220102
PMU,2017-04-01 03:55,-89.8929,34.3635,54.10,50.90,88.89,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010355Z AUTO 00000KT 10SM CLR 12/11 A2997 RMK AO2 T01230105
PMU,2017-04-01 04:15,-89.8929,34.3635,54.00,50.40,87.58,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010415Z AUTO 00000KT 10SM CLR 12/10 A2997 RMK AO2 T01220102
PMU,2017-04-01 04:35,-89.8929,34.3635,52.20,49.80,91.50,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010435Z AUTO 00000KT 10SM CLR 11/10 A2998 RMK AO2 T01120099
PMU,2017-04-01 04:55,-89.8929,34.3635,51.10,48.90,92.14,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010455Z AUTO 00000KT 10SM CLR 11/09 A2998 RMK AO2 T01060094
PMU,2017-04-01 05:15,-89.8929,34.3635,52.50,50.40,92.53,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010515Z AUTO 00000KT 10SM CLR 11/10 A2998 RMK AO2 T01140102
PMU,2017-04-01 05:35,-89.8929,34.3635,52.50,49.80,90.49,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010535Z AUTO 00000KT 10SM CLR 11/10 A2999 RMK AO2 T01140099
PMU,2017-04-01 05:55,-89.8929,34.3635,53.80,49.30,84.68,0.00,0.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010555Z AUTO 00000KT 10SM CLR 12/10 A3000 RMK AO2 T01210096 10216 20106 402300065
PMU,2017-04-01 06:15,-89.8929,34.3635,52.70,49.10,87.51,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010615Z AUTO 00000KT 10SM CLR 12/10 A3001 RMK AO2 T01150095
PMU,2017-04-01 06:35,-89.8929,34.3635,51.80,49.50,91.82,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010635Z AUTO 00000KT 10SM CLR 11/10 A3001 RMK AO2 T01100097
PMU,2017-04-01 06:55,-89.8929,34.3635,52.50,50.20,91.85,50.00,3.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010655Z AUTO 05003KT 10SM CLR 11/10 A3001 RMK AO2 T01140101
PMU,2017-04-01 07:15,-89.8929,34.3635,54.90,50.00,83.50,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010715Z AUTO 00000KT 10SM CLR 13/10 A3002 RMK AO2 T01270100
PMU,2017-04-01 07:35,-89.8929,34.3635,55.00,49.60,81.97,70.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010735Z AUTO 07003KT 10SM CLR 13/10 A3003 RMK AO2 T01280098
PMU,2017-04-01 07:55,-89.8929,34.3635,55.40,49.60,80.78,60.00,4.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010755Z AUTO 06004KT 10SM CLR 13/10 A3003 RMK AO2 T01300098
PMU,2017-04-01 08:15,-89.8929,34.3635,54.50,49.30,82.54,60.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010815Z AUTO 06003KT 10SM CLR 13/10 A3003 RMK AO2 T01250096
PMU,2017-04-01 08:35,-89.8929,34.3635,53.80,49.30,84.68,80.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPMU 010835Z AUTO 08004KT 10SM CLR 12/10 A3004 RMK AO2 T01210096
