#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PSM,2017-04-01 00:16,-70.8233,43.0779,32.00,30.20,92.97,60.00,5.00,0.00,30.08,M,0.75,M,BKN,BKN,OVC,M,300.00,700.00,1500.00,M,-SN BR,KPSM 010016Z 06005KT 3/4SM R16/P6000FT -SN BR BKN003 BKN007 OVC015 00/M01 A3008 RMK AO2A
PSM,2017-04-01 00:58,-70.8233,43.0779,32.70,30.90,92.99,70.00,8.00,0.02,30.08,1019.10,0.75,M,BKN,OVC,M,M,300.00,1100.00,M,M,-SN BR,KPSM 010058Z 07008KT 3/4SM R16/P6000FT -SN BR BKN003 OVC011 00/M01 A3008 RMK AO2A SLP191 P0002 T00041006
PSM,2017-04-01 01:58,-70.8233,43.0779,32.50,31.10,94.51,70.00,6.00,0.02,30.07,1018.60,0.75,M,BKN,OVC,M,M,300.00,800.00,M,M,-SN BR,KPSM 010158Z 07006KT 3/4SM R16/P6000FT -SN BR BKN003 OVC008 00/M00 A3007 RMK A02A SLP186 P0002 T00031005 0214
PSM,2017-04-01 02:25,-70.8233,43.0779,32.00,32.00,100.00,70.00,9.00,0.00,30.04,M,0.50,M,OVC,M,M,M,300.00,M,M,M,SN FG,KPSM 010225Z 07009KT 1/2SM R16/5500FT SN FG OVC003 00/M00 A3004 RMK AO2A PRESFR
PSM,2017-04-01 02:58,-70.8233,43.0779,32.50,31.30,95.28,80.00,10.00,0.11,30.03,1017.40,0.50,M,OVC,M,M,M,300.00,M,M,M,SN FG,KPSM 010258Z 08010KT 1/2SM R16/P6000FT SN FG OVC003 00/M00 A3003 RMK AO2A SLP174 P0011 60015 T00031004
PSM,2017-04-01 03:58,-70.8233,43.0779,32.70,31.50,95.28,80.00,12.00,0.08,30.00,1016.30,0.75,M,BKN,OVC,M,M,300.00,800.00,M,M,-SN BR,KPSM 010358Z 08012KT 3/4SM R16/P6000FT -SN BR BKN003 OVC008 00/M00 A3000 RMK AO2A SLP163 P0008 T00041003
PSM,2017-04-01 04:58,-70.8233,43.0779,32.50,31.50,96.05,70.00,9.00,0.08,30.00,1016.30,0.75,M,BKN,OVC,M,M,300.00,800.00,M,M,-SN BR,KPSM 010458Z 07009KT 3/4SM R16/P6000FT -SN BR BKN003 OVC008 00/00 A3000 RMK AO2A SLP163 P0008 T00031003 400370003
PSM,2017-04-01 05:58,-70.8233,43.0779,32.50,31.50,96.05,70.00,9.00,0.10,29.97,1015.20,0.62,M,BKN,OVC,M,M,300.00,600.00,M,M,-SN BR,KPSM 010558Z 07009KT 5/8SM R16/P6000FT -SN BR BKN003 OVC006 00/M00 A2997 RMK AO2A SLP152 P0010 60041 4/004 T00031003 10005 20003 56024
PSM,2017-04-01 06:58,-70.8233,43.0779,32.70,31.60,95.67,60.00,9.00,0.07,29.95,1014.50,0.75,M,BKN,OVC,M,M,300.00,700.00,M,M,-SN BR,KPSM 010658Z 06009KT 3/4SM R16/P6000FT -SN BR BKN003 OVC007 00/M00 A2995 RMK AO2A SLP145 P0007 T00041002
PSM,2017-04-01 07:58,-70.8233,43.0779,32.70,31.60,95.67,60.00,12.00,0.04,29.92,1013.40,0.75,M,BKN,OVC,M,M,300.00,800.00,M,M,-SN BR,KPSM 010758Z 06012KT 3/4SM R16/P6000FT -SN BR BKN003 OVC008 00/M00 A2992 RMK AO2A SLP134 P0004 T00041002
