#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PVD,2017-04-01 00:00,-71.4325,41.7219,M,M,M,80.00,9.00,0.01,30.01,M,5.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-RA -PL BR,KPVD 010000Z AUTO 08009KT 5SM -RA -PL BR BKN009 OVC014 A3001 RMK P0001 MADISHF
PVD,2017-04-01 00:05,-71.4325,41.7219,M,M,M,70.00,11.00,0.02,30.01,M,5.00,M,OVC,M,M,M,900.00,M,M,M,-RA -PL BR,KPVD 010005Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3001 RMK P0002 MADISHF
PVD,2017-04-01 00:10,-71.4325,41.7219,M,M,M,70.00,10.00,0.02,30.01,M,5.00,M,OVC,M,M,M,900.00,M,M,M,-RA -PL BR,KPVD 010010Z AUTO 07010KT 5SM -RA -PL BR OVC009 A3001 RMK P0002 MADISHF
PVD,2017-04-01 00:15,-71.4325,41.7219,M,M,M,70.00,11.00,0.03,30.01,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010015Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3001 RMK P0003 MADISHF
PVD,2017-04-01 00:20,-71.4325,41.7219,M,M,M,70.00,10.00,0.03,30.01,M,4.00,M,OVC,M,M,M,900.00,M,M,M,-RA -PL BR,KPVD 010020Z AUTO 07010KT 4SM -RA -PL BR OVC009 A3001 RMK P0003 MADISHF
PVD,2017-04-01 00:25,-71.4325,41.7219,M,M,M,80.00,10.00,0.04,30.01,M,4.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010025Z AUTO 08010KT 4SM -RA -PL BR OVC009 A3001 RMK P0004 MADISHF
PVD,2017-04-01 00:28,-71.4325,41.7219,34.00,30.90,88.27,80.00,11.00,0.05,30.01,M,5.00,M,OVC,M,M,M,1000.00,M,M,M,-PLRA BR,KPVD 010028Z 08011KT 5SM -PLRA BR OVC010 01/M01 A3001 RMK AO2 P0005 T00111006
PVD,2017-04-01 00:30,-71.4325,41.7219,M,M,M,80.00,9.00,0.05,30.01,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010030Z AUTO 08009KT 5SM -RA -PL BR OVC009 A3001 RMK P0005 MADISHF
PVD,2017-04-01 00:35,-71.4325,41.7219,M,M,M,70.00,11.00,0.06,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010035Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3000 RMK P0006 MADISHF
PVD,2017-04-01 00:40,-71.4325,41.7219,M,M,M,70.00,11.00,0.06,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010040Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3000 RMK P0006 MADISHF
PVD,2017-04-01 00:45,-71.4325,41.7219,M,M,M,70.00,10.00,0.07,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010045Z AUTO 07010KT 5SM -RA -PL BR OVC009 A3000 RMK P0007 MADISHF
PVD,2017-04-01 00:50,-71.4325,41.7219,M,M,M,70.00,11.00,0.07,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010050Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3000 RMK P0007 MADISHF
PVD,2017-04-01 00:51,-71.4325,41.7219,35.10,32.00,88.33,70.00,12.00,0.08,30.00,1015.90,5.00,M,OVC,M,M,M,1000.00,M,M,M,-PLRA BR,KPVD 010051Z 07012KT 5SM -PLRA BR OVC010 02/00 A3000 RMK AO2 SLP159 P0008 T00170000
PVD,2017-04-01 00:55,-71.4325,41.7219,M,M,M,70.00,11.00,M,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010055Z AUTO 07011KT 5SM -RA -PL BR OVC009 A3000 RMK MADISHF
PVD,2017-04-01 01:00,-71.4325,41.7219,M,M,M,80.00,12.00,0.01,30.00,M,5.00,M,OVC,M,M,M,999.00,M,M,M,-RA -PL BR,KPVD 010100Z AUTO 08012KT 5SM -RA -PL BR OVC009 A3000 RMK P0001 MADISHF
PVD,2017-04-01 01:05,-71.4325,41.7219,M,M,M,70.00,11.00,0.02,30.00,M,5.00,M,BKN,OVC,M,M,1100.00,1600.00,M,M,-RA -PL BR,KPVD 010105Z AUTO 07011KT 5SM -RA -PL BR BKN011 OVC016 A3000 RMK P0002 MADISHF
PVD,2017-04-01 01:10,-71.4325,41.7219,M,M,M,70.00,12.00,0.02,29.99,M,6.00,M,OVC,M,M,M,1100.00,M,M,M,-RA -PL BR,KPVD 010110Z AUTO 07012KT 6SM -RA -PL BR OVC011 A2999 RMK P0002 MADISHF
PVD,2017-04-01 01:15,-71.4325,41.7219,M,M,M,80.00,10.00,0.03,29.99,M,6.00,M,OVC,M,M,M,1100.00,M,M,M,-RA -PL BR,KPVD 010115Z AUTO 08010KT 6SM -RA -PL BR OVC011 A2999 RMK P0003 MADISHF
PVD,2017-04-01 01:20,-71.4325,41.7219,M,M,M,70.00,11.00,0.04,29.99,M,6.00,M,BKN,OVC,M,M,1100.00,1500.00,M,M,-RA -PL BR,KPVD 010120Z AUTO 07011KT 6SM -RA -PL BR BKN011 OVC015 A2999 RMK P0004 MADISHF
PVD,2017-04-01 01:25,-71.4325,41.7219,M,M,M,70.00,11.00,0.04,29.99,M,7.00,M,OVC,M,M,M,1300.00,M,M,M,-RA -PL,KPVD 010125Z AUTO 07011KT 7SM -RA -PL OVC013 A2999 RMK P0004 MADISHF
PVD,2017-04-01 01:30,-71.4325,41.7219,M,M,M,70.00,11.00,0.05,29.99,M,7.00,M,OVC,M,M,M,1300.00,M,M,M,-RA -PL,KPVD 010130Z AUTO 07011KT 7SM -RA -PL OVC013 A2999 RMK P0005 MADISHF
PVD,2017-04-01 01:35,-71.4325,41.7219,M,M,M,70.00,9.00,0.05,29.98,M,6.00,M,OVC,M,M,M,1100.00,M,M,M,-RA -PL BR,KPVD 010135Z AUTO 07009KT 6SM -RA -PL BR OVC011 A2998 RMK P0005 MADISHF
PVD,2017-04-01 01:40,-71.4325,41.7219,M,M,M,70.00,12.00,0.06,29.98,M,7.00,M,OVC,M,M,M,1100.00,M,M,M,-RA -PL,KPVD 010140Z AUTO 07012KT 7SM -RA -PL OVC011 A2998 RMK P0006 MADISHF
PVD,2017-04-01 01:45,-71.4325,41.7219,M,M,M,70.00,12.00,0.07,29.98,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA -PL BR,KPVD 010145Z AUTO 07012KT 6SM -RA -PL BR OVC012 A2998 RMK P0007 MADISHF
PVD,2017-04-01 01:50,-71.4325,41.7219,M,M,M,70.00,9.00,0.08,29.98,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA -PL BR,KPVD 010150Z AUTO 07009KT 6SM -RA -PL BR OVC012 A2998 RMK P0008 MADISHF
PVD,2017-04-01 01:51,-71.4325,41.7219,35.10,32.00,88.33,70.00,9.00,0.08,29.98,1015.10,6.00,17.00,OVC,M,M,M,1200.00,M,M,M,-PLRA BR,KPVD 010151Z 07009G17KT 6SM -PLRA BR OVC012 02/00 A2998 RMK AO2 SLP151 P0008 T00170000
PVD,2017-04-01 01:55,-71.4325,41.7219,M,M,M,60.00,9.00,M,29.98,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA -PL BR,KPVD 010155Z AUTO 06009KT 6SM -RA -PL BR OVC012 A2998 RMK MADISHF
PVD,2017-04-01 02:00,-71.4325,41.7219,M,M,M,60.00,10.00,M,29.97,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA -PL BR,KPVD 010200Z AUTO 06010KT 6SM -RA -PL BR OVC012 A2997 RMK MADISHF
