#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PWT,2017-04-01 00:00,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010000Z AUTO 00000KT 10SM CLR A3032 RMK MADISHF
PWT,2017-04-01 00:05,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010005Z AUTO 00000KT 10SM CLR A3031 RMK MADISHF
PWT,2017-04-01 00:10,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010010Z AUTO 00000KT 10SM CLR A3031 RMK MADISHF
PWT,2017-04-01 00:15,-122.7648,47.4903,53.60,39.20,58.02,0.00,0.00,0.00,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010015Z AUTO 00000KT 10SM CLR 12/04 A3031 RMK AO1
PWT,2017-04-01 00:20,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010020Z AUTO 00000KT 10SM CLR A3031 RMK MADISHF
PWT,2017-04-01 00:25,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.30,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010025Z AUTO 00000KT 10SM FEW085 A3030 RMK MADISHF
PWT,2017-04-01 00:30,-122.7648,47.4903,M,M,M,220.00,3.00,M,30.32,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010030Z AUTO 22003KT 10SM SCT085 A3032 RMK MADISHF
PWT,2017-04-01 00:35,-122.7648,47.4903,53.60,39.20,58.02,240.00,4.00,0.00,30.31,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010035Z AUTO 24004KT 10SM FEW085 12/04 A3031 RMK AO1
PWT,2017-04-01 00:40,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.31,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010040Z AUTO 00000KT 10SM FEW085 A3031 RMK MADISHF
PWT,2017-04-01 00:45,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.30,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010045Z AUTO 00000KT 10SM FEW085 A3030 RMK MADISHF
PWT,2017-04-01 00:50,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.30,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010050Z AUTO 00000KT 10SM FEW085 A3030 RMK MADISHF
PWT,2017-04-01 00:55,-122.7648,47.4903,53.60,39.20,58.02,0.00,0.00,0.00,30.30,M,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,KPWT 010055Z AUTO 00000KT 10SM FEW085 12/04 A3030 RMK AO1
PWT,2017-04-01 01:00,-122.7648,47.4903,M,M,M,250.00,3.00,M,30.30,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010100Z AUTO 25003KT 10SM SCT085 A3030 RMK MADISHF
PWT,2017-04-01 01:05,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010105Z AUTO 00000KT 10SM SCT085 A3029 RMK MADISHF
PWT,2017-04-01 01:10,-122.7648,47.4903,M,M,M,220.00,4.00,M,30.31,M,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,KPWT 010110Z AUTO 22004KT 10SM BKN085 A3031 RMK MADISHF
PWT,2017-04-01 01:15,-122.7648,47.4903,55.40,39.20,54.34,0.00,0.00,0.00,30.30,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010115Z AUTO 00000KT 10SM SCT085 13/04 A3030 RMK AO1
PWT,2017-04-01 01:20,-122.7648,47.4903,M,M,M,230.00,3.00,M,30.30,M,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,KPWT 010120Z AUTO 23003KT 10SM BKN085 A3030 RMK MADISHF
PWT,2017-04-01 01:25,-122.7648,47.4903,M,M,M,210.00,3.00,M,30.30,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,KPWT 010125Z AUTO 21003KT 10SM OVC085 A3030 RMK MADISHF
PWT,2017-04-01 01:30,-122.7648,47.4903,M,M,M,200.00,3.00,M,30.29,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,KPWT 010130Z AUTO 20003KT 10SM OVC085 A3029 RMK MADISHF
PWT,2017-04-01 01:35,-122.7648,47.4903,53.60,39.20,58.02,200.00,3.00,0.00,30.30,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,KPWT 010135Z AUTO 20003KT 10SM OVC085 12/04 A3030 RMK AO1
PWT,2017-04-01 01:40,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,KPWT 010140Z AUTO 00000KT 10SM BKN085 A3029 RMK MADISHF
PWT,2017-04-01 01:45,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010145Z AUTO 00000KT 10SM SCT085 A3029 RMK MADISHF
PWT,2017-04-01 01:50,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010150Z AUTO 00000KT 10SM SCT085 A3029 RMK MADISHF
PWT,2017-04-01 01:55,-122.7648,47.4903,51.80,41.00,66.48,0.00,0.00,0.00,30.28,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KPWT 010155Z AUTO 00000KT 10SM SCT085 11/05 A3028 RMK AO1
PWT,2017-04-01 02:00,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010200Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:05,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010205Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:10,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010210Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:15,-122.7648,47.4903,51.80,39.20,61.99,0.00,0.00,0.00,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010215Z AUTO 00000KT 10SM CLR 11/04 A3028 RMK AO1
PWT,2017-04-01 02:20,-122.7648,47.4903,M,M,M,130.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010220Z AUTO 13003KT 10SM CLR A3027 RMK MADISHF
PWT,2017-04-01 02:25,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010225Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:30,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010230Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:35,-122.7648,47.4903,51.80,42.80,71.26,0.00,0.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010235Z AUTO 00000KT 10SM CLR 11/06 A3027 RMK AO1
PWT,2017-04-01 02:40,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010240Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:45,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010245Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 02:50,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010250Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
PWT,2017-04-01 02:55,-122.7648,47.4903,50.00,42.80,76.18,0.00,0.00,0.00,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010255Z AUTO 00000KT 10SM CLR 10/06 A3028 RMK AO1 57017
PWT,2017-04-01 03:00,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010300Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 03:05,-122.7648,47.4903,M,M,M,130.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010305Z AUTO 13004KT 10SM CLR A3026 RMK MADISHF
PWT,2017-04-01 03:10,-122.7648,47.4903,M,M,M,130.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010310Z AUTO 13003KT 10SM CLR A3027 RMK MADISHF
PWT,2017-04-01 03:15,-122.7648,47.4903,48.20,42.80,81.47,130.00,4.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010315Z AUTO 13004KT 10SM CLR 09/06 A3027 RMK AO1
PWT,2017-04-01 03:20,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010320Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
PWT,2017-04-01 03:25,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010325Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
PWT,2017-04-01 03:30,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010330Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 03:35,-122.7648,47.4903,48.20,42.80,81.47,0.00,0.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010335Z AUTO 00000KT 10SM CLR 09/06 A3027 RMK AO1
PWT,2017-04-01 03:40,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010340Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 03:45,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPWT 010345Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
PWT,2017-04-01 03:50,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KPWT 010350Z AUTO 00000KT 10SM FEW110 A3028 RMK MADISHF
PWT,2017-04-01 03:55,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KPWT 010355Z AUTO 00000KT 10SM SCT120 A3028 RMK MADISHF
PWT,2017-04-01 04:00,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.27,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,KPWT 010400Z AUTO 00000KT 10SM BKN120 A3027 RMK MADISHF
PWT,2017-04-01 04:05,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KPWT 010405Z AUTO 00000KT 10SM SCT120 A3029 RMK MADISHF
PWT,2017-04-01 04:10,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.29,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,KPWT 010410Z AUTO 00000KT 10SM BKN120 A3029 RMK MADISHF
PWT,2017-04-01 04:15,-122.7648,47.4903,48.20,44.60,87.28,0.00,0.00,0.00,30.28,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KPWT 010415Z AUTO 00000KT 10SM SCT120 09/07 A3028 RMK AO1
PWT,2017-04-01 04:20,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.27,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KPWT 010420Z AUTO 00000KT 10SM BKN110 A3027 RMK MADISHF
PWT,2017-04-01 04:25,-122.7648,47.4903,M,M,M,0.00,0.00,M,30.28,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KPWT 010425Z AUTO 00000KT 10SM BKN110 A3028 RMK MADISHF
