#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
RCA,2017-04-01 00:58,-103.1036,44.1451,40.60,35.20,80.90,110.00,7.00,0.00,30.10,1021.80,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KRCA 010058Z AUTO 11007KT 10SM OVC025 05/02 A3010 RMK AO2 SLP218 T00480018
RCA,2017-04-01 01:58,-103.1036,44.1451,40.30,35.60,83.16,150.00,5.00,0.00,30.13,1022.90,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KRCA 010158Z AUTO 15005KT 10SM OVC022 05/02 A3013 RMK AO2 SLP229 T00460020
RCA,2017-04-01 02:20,-103.1036,44.1451,41.00,35.60,80.93,150.00,6.00,0.00,30.15,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KRCA 010220Z AUTO 15006KT 10SM OVC021 05/02 A3015 RMK AO2
RCA,2017-04-01 02:40,-103.1036,44.1451,41.00,35.60,80.93,170.00,3.00,0.00,30.15,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KRCA 010240Z AUTO 17003KT 10SM OVC022 05/02 A3015 RMK AO2
RCA,2017-04-01 02:58,-103.1036,44.1451,40.10,35.80,84.47,170.00,3.00,0.00,30.16,1023.60,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KRCA 010258Z AUTO 17003KT 10SM OVC023 05/02 A3016 RMK AO2 SLP236 T00450021
RCA,2017-04-01 03:43,-103.1036,44.1451,39.20,35.60,86.79,230.00,5.00,0.00,30.17,M,10.00,M,SCT,OVC,M,M,2500.00,11000.00,M,M,M,KRCA 010343Z AUTO 23005KT 10SM SCT025 OVC110 04/02 A3017 RMK AO2
RCA,2017-04-01 03:59,-103.1036,44.1451,39.40,35.60,86.12,220.00,4.00,0.00,30.17,1024.00,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KRCA 010359Z AUTO 22004KT 10SM OVC110 04/02 A3017 RMK AO2 SLP240 T00410020
RCA,2017-04-01 04:58,-103.1036,44.1451,39.20,35.80,87.49,220.00,6.00,0.00,30.17,1023.70,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KRCA 010458Z AUTO 22006KT 10SM OVC100 04/02 A3017 RMK AO2 SLP237 T00400021
RCA,2017-04-01 05:58,-103.1036,44.1451,38.80,36.10,89.93,200.00,6.00,0.00,30.17,1023.70,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KRCA 010558Z AUTO 20006KT 10SM BKN110 04/02 A3017 RMK AO2 SLP237 T00380023 10054 20037 50003
RCA,2017-04-01 06:58,-103.1036,44.1451,38.50,36.30,91.71,180.00,4.00,0.00,30.17,1023.70,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,KRCA 010658Z AUTO 18004KT 10SM BKN100 04/02 A3017 RMK AO2 SLP237 T00360024 400620001
