#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
RHP,2017-04-01 00:00,-83.8630,35.1952,55.80,46.20,70.08,0.00,0.00,0.00,29.87,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KRHP 010000Z AUTO 00000KT 10SM OVC045 13/08 A2987 RMK AO2 T01320079
RHP,2017-04-01 00:20,-83.8630,35.1952,54.70,46.90,74.89,280.00,3.00,0.00,29.88,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KRHP 010020Z AUTO 28003KT 10SM OVC045 13/08 A2988 RMK AO2 T01260083
RHP,2017-04-01 00:40,-83.8630,35.1952,54.70,47.10,75.46,0.00,0.00,0.00,29.89,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KRHP 010040Z AUTO 00000KT 10SM OVC045 13/08 A2989 RMK AO2 T01260084
RHP,2017-04-01 01:00,-83.8630,35.1952,53.80,47.70,79.76,0.00,0.00,0.00,29.90,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KRHP 010100Z AUTO 00000KT 10SM OVC045 12/09 A2990 RMK AO2 T01210087
RHP,2017-04-01 01:20,-83.8630,35.1952,53.60,48.20,81.87,0.00,0.00,0.00,29.91,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KRHP 010120Z AUTO 00000KT 10SM OVC043 12/09 A2991 RMK AO2 T01200090
RHP,2017-04-01 01:40,-83.8630,35.1952,53.10,48.40,84.01,0.00,0.00,0.00,29.91,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KRHP 010140Z AUTO 00000KT 10SM OVC041 12/09 A2991 RMK AO2 T01170091
RHP,2017-04-01 02:00,-83.8630,35.1952,53.40,48.00,81.85,0.00,0.00,0.00,29.92,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KRHP 010200Z AUTO 00000KT 10SM OVC041 12/09 A2992 RMK AO2 T01190089
RHP,2017-04-01 02:20,-83.8630,35.1952,52.90,49.10,86.87,0.00,0.00,0.00,29.92,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KRHP 010220Z AUTO 00000KT 10SM OVC041 12/10 A2992 RMK AO2 T01160095
RHP,2017-04-01 02:40,-83.8630,35.1952,52.90,48.40,84.63,0.00,0.00,0.00,29.93,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KRHP 010240Z AUTO 00000KT 10SM OVC041 12/09 A2993 RMK AO2 T01160091
RHP,2017-04-01 03:00,-83.8630,35.1952,53.40,47.10,79.13,300.00,3.00,0.00,29.93,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KRHP 010300Z AUTO 30003KT 10SM OVC041 12/08 A2993 RMK AO2 T01190084
RHP,2017-04-01 03:20,-83.8630,35.1952,53.40,47.10,79.13,310.00,3.00,0.00,29.93,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,KRHP 010320Z AUTO 31003KT 10SM OVC039 12/08 A2993 RMK AO2 T01190084
RHP,2017-04-01 03:40,-83.8630,35.1952,53.10,47.50,81.22,340.00,4.00,0.00,29.93,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,KRHP 010340Z AUTO 34004KT 10SM OVC039 12/09 A2993 RMK AO2 T01170086
RHP,2017-04-01 04:00,-83.8630,35.1952,52.30,47.80,84.59,0.00,0.00,0.00,29.93,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,KRHP 010400Z AUTO 00000KT 10SM OVC039 11/09 A2993 RMK AO2 T01130088
RHP,2017-04-01 04:20,-83.8630,35.1952,51.60,48.20,88.12,0.00,0.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,3900.00,4400.00,M,M,M,KRHP 010420Z AUTO 00000KT 10SM BKN039 OVC044 11/09 A2994 RMK AO2 T01090090
