#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
RQB,2017-04-01 00:14,-85.5041,43.7226,37.20,31.60,79.99,30.00,5.00,0.00,29.93,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KRQB 010014Z AUTO 03005KT 10SM OVC021 03/00 A2993 RMK AO2 T00291002
RQB,2017-04-01 00:34,-85.5041,43.7226,37.00,31.80,81.27,30.00,3.00,0.00,29.93,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KRQB 010034Z AUTO 03003KT 10SM OVC021 03/00 A2993 RMK AO2 T00281001
RQB,2017-04-01 00:54,-85.5041,43.7226,37.00,31.80,81.27,30.00,3.00,0.00,29.94,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KRQB 010054Z AUTO 03003KT 10SM OVC021 03/00 A2994 RMK AO2 T00281001
RQB,2017-04-01 01:14,-85.5041,43.7226,36.90,31.80,81.59,20.00,4.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,2100.00,4800.00,M,M,M,KRQB 010114Z AUTO 02004KT 10SM BKN021 OVC048 03/00 A2994 RMK AO2 T00271001
RQB,2017-04-01 01:34,-85.5041,43.7226,36.90,32.00,82.25,0.00,0.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,2300.00,4800.00,M,M,M,KRQB 010134Z AUTO 00000KT 10SM BKN023 OVC048 03/00 A2995 RMK AO2 T00270000
RQB,2017-04-01 01:54,-85.5041,43.7226,36.90,32.00,82.25,0.00,0.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,2300.00,4800.00,M,M,M,KRQB 010154Z AUTO 00000KT 10SM BKN023 OVC048 03/00 A2996 RMK AO2 T00270000
RQB,2017-04-01 02:15,-85.5041,43.7226,36.70,32.00,82.91,0.00,0.00,0.00,29.97,M,10.00,M,SCT,OVC,M,M,2300.00,4800.00,M,M,M,KRQB 010215Z AUTO 00000KT 10SM SCT023 OVC048 03/00 A2997 RMK AO2 T00260000
RQB,2017-04-01 02:34,-85.5041,43.7226,36.50,32.00,83.56,0.00,0.00,0.00,29.97,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KRQB 010234Z AUTO 00000KT 10SM OVC050 03/00 A2997 RMK AO2 T00250000
RQB,2017-04-01 02:54,-85.5041,43.7226,36.00,32.00,85.23,0.00,0.00,0.00,29.98,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,KRQB 010254Z AUTO 00000KT 10SM SCT050 02/00 A2998 RMK AO2 T00220000
RQB,2017-04-01 03:15,-85.5041,43.7226,35.60,31.60,85.21,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KRQB 010315Z AUTO 00000KT 10SM CLR 02/00 A2999 RMK AO2 T00201002
