#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
RYT,2017-04-01 00:06,-77.4300,39.7340,42.80,42.80,100.00,300.00,3.00,0.00,29.65,M,4.00,M,OVC,M,M,M,300.00,M,M,M,BR,KRYT 010006Z AUTO 30003KT 4SM BR OVC003 06/06 A2965 RMK AO2 TSNO $
RYT,2017-04-01 00:24,-77.4300,39.7340,42.80,42.80,100.00,210.00,3.00,0.00,29.67,M,2.50,M,OVC,M,M,M,300.00,M,M,M,BR,KRYT 010024Z AUTO 21003KT 2 1/2SM BR OVC003 06/06 A2967 RMK AO2 TSNO $
RYT,2017-04-01 00:53,-77.4300,39.7340,41.00,41.00,100.00,0.00,0.00,0.00,29.65,1004.80,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KRYT 010053Z AUTO 00000KT 1 1/2SM BR OVC003 05/05 A2965 RMK AO2 SLP048 T00500050 TSNO $
RYT,2017-04-01 01:08,-77.4300,39.7340,42.80,42.80,100.00,0.00,0.00,0.00,29.65,M,2.50,M,OVC,M,M,M,300.00,M,M,M,BR,KRYT 010108Z AUTO 00000KT 2 1/2SM BR OVC003 06/06 A2965 RMK AO2 RAB0055E02 P0000 TSNO $
RYT,2017-04-01 01:18,-77.4300,39.7340,42.80,42.80,100.00,0.00,0.00,0.00,29.66,M,4.00,M,OVC,M,M,M,300.00,M,M,M,BR,KRYT 010118Z AUTO 00000KT 4SM BR OVC003 06/06 A2966 RMK AO2 RAB0055E02 P0000 TSNO $
RYT,2017-04-01 01:53,-77.4300,39.7340,42.10,42.10,100.00,0.00,0.00,0.00,29.66,1005.10,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KRYT 010153Z AUTO 00000KT 5SM BR OVC005 06/06 A2966 RMK AO2 RAB0055E02 CIG 004V009 SLP051 P0000 T00560056 TSNO $
RYT,2017-04-01 02:21,-77.4300,39.7340,42.80,42.80,100.00,0.00,0.00,0.00,29.65,M,5.00,M,SCT,OVC,M,M,700.00,1300.00,M,M,BR,KRYT 010221Z AUTO 00000KT 5SM BR SCT007 OVC013 06/06 A2965 RMK AO2 TSNO $
RYT,2017-04-01 02:53,-77.4300,39.7340,41.00,41.00,100.00,260.00,3.00,0.00,29.65,1004.80,5.00,M,FEW,OVC,M,M,400.00,1200.00,M,M,BR,KRYT 010253Z AUTO 26003KT 5SM BR FEW004 OVC012 05/05 A2965 RMK AO2 SLP048 60000 T00500050 58003 TSNO $
RYT,2017-04-01 03:10,-77.4300,39.7340,41.00,41.00,100.00,0.00,0.00,0.00,29.65,M,4.00,M,BKN,OVC,M,M,500.00,1200.00,M,M,BR,KRYT 010310Z AUTO 00000KT 4SM BR BKN005 OVC012 05/05 A2965 RMK AO2 CIG 003V008 TSNO $
RYT,2017-04-01 05:11,-77.4300,39.7340,42.80,42.80,100.00,0.00,0.00,0.00,29.66,M,2.50,M,BKN,OVC,M,M,600.00,1200.00,M,M,-RA BR,KRYT 010511Z AUTO 00000KT 2 1/2SM -RA BR BKN006 OVC012 06/06 A2966 RMK AO2 RAB07 CIG 004V010 P0000 TSNO $
