#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
RZT,2017-04-01 00:15,-83.0231,39.4404,48.20,46.40,93.45,320.00,16.00,0.00,29.79,M,5.00,20.00,OVC,M,M,M,1100.00,M,M,M,RA,KRZT 010015Z AUTO 32016G20KT 5SM RA OVC011 09/08 A2979 RMK AO2
RZT,2017-04-01 00:35,-83.0231,39.4404,46.40,46.40,100.00,330.00,13.00,0.00,29.80,M,3.00,18.00,BKN,OVC,M,M,900.00,1400.00,M,M,DZ,KRZT 010035Z AUTO 33013G18KT 3SM DZ BKN009 OVC014 08/08 A2980 RMK AO2
RZT,2017-04-01 00:55,-83.0231,39.4404,46.40,46.40,100.00,330.00,12.00,0.00,29.82,M,5.00,18.00,BKN,OVC,M,M,900.00,1600.00,M,M,BR,KRZT 010055Z AUTO 33012G18KT 5SM BR BKN009 OVC016 08/08 A2982 RMK AO2
RZT,2017-04-01 01:16,-83.0231,39.4404,46.40,46.40,100.00,320.00,10.00,0.00,29.84,M,10.00,16.00,OVC,M,M,M,1100.00,M,M,M,M,KRZT 010116Z AUTO 32010G16KT 10SM OVC011 08/08 A2984 RMK AO2
RZT,2017-04-01 01:35,-83.0231,39.4404,46.40,46.40,100.00,330.00,8.00,0.00,29.85,M,3.00,M,BKN,OVC,M,M,900.00,1600.00,M,M,+RA,KRZT 010135Z AUTO 33008KT 3SM +RA BKN009 OVC016 08/08 A2985 RMK AO2
RZT,2017-04-01 01:55,-83.0231,39.4404,46.40,44.60,93.40,330.00,12.00,0.01,29.87,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,+RA,KRZT 010155Z AUTO 33012KT 5SM +RA OVC011 08/07 A2987 RMK AO2 P0001
RZT,2017-04-01 02:15,-83.0231,39.4404,46.40,44.60,93.40,340.00,12.00,0.00,29.87,M,10.00,17.00,OVC,M,M,M,1200.00,M,M,M,M,KRZT 010215Z AUTO 34012G17KT 10SM OVC012 08/07 A2987 RMK AO2
RZT,2017-04-01 02:35,-83.0231,39.4404,44.60,44.60,100.00,340.00,8.00,0.00,29.87,M,10.00,14.00,SCT,BKN,OVC,M,1200.00,2600.00,3000.00,M,M,KRZT 010235Z AUTO 34008G14KT 10SM SCT012 BKN026 OVC030 07/07 A2987 RMK AO2
RZT,2017-04-01 02:56,-83.0231,39.4404,44.60,42.80,93.35,340.00,9.00,0.00,29.88,M,10.00,15.00,SCT,BKN,OVC,M,1200.00,2400.00,3100.00,M,M,KRZT 010256Z AUTO 34009G15KT 10SM SCT012 BKN024 OVC031 07/06 A2988 RMK AO2
RZT,2017-04-01 03:15,-83.0231,39.4404,44.60,42.80,93.35,330.00,10.00,0.00,29.88,M,10.00,15.00,SCT,BKN,OVC,M,1200.00,1700.00,2400.00,M,M,KRZT 010315Z AUTO 33010G15KT 10SM SCT012 BKN017 OVC024 07/06 A2988 RMK AO2
RZT,2017-04-01 03:35,-83.0231,39.4404,44.60,42.80,93.35,340.00,8.00,0.00,29.89,M,10.00,19.00,SCT,OVC,M,M,1600.00,2100.00,M,M,M,KRZT 010335Z AUTO 34008G19KT 10SM SCT016 OVC021 07/06 A2989 RMK AO2
RZT,2017-04-01 03:55,-83.0231,39.4404,44.60,42.80,93.35,340.00,9.00,0.00,29.89,M,10.00,M,SCT,BKN,OVC,M,1700.00,2400.00,4400.00,M,M,KRZT 010355Z AUTO 34009KT 10SM SCT017 BKN024 OVC044 07/06 A2989 RMK AO2
RZT,2017-04-01 04:15,-83.0231,39.4404,44.60,42.80,93.35,330.00,8.00,0.00,29.90,M,10.00,M,BKN,BKN,OVC,M,1300.00,2000.00,4400.00,M,M,KRZT 010415Z AUTO 33008KT 10SM BKN013 BKN020 OVC044 07/06 A2990 RMK AO2
RZT,2017-04-01 04:35,-83.0231,39.4404,44.60,41.00,87.09,330.00,8.00,0.00,29.90,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KRZT 010435Z AUTO 33008KT 10SM OVC013 07/05 A2990 RMK AO2
RZT,2017-04-01 04:55,-83.0231,39.4404,44.60,41.00,87.09,340.00,8.00,0.00,29.91,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KRZT 010455Z AUTO 34008KT 10SM OVC013 07/05 A2991 RMK AO2
RZT,2017-04-01 05:15,-83.0231,39.4404,42.80,41.00,93.30,340.00,7.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,1300.00,2500.00,M,M,M,KRZT 010515Z AUTO 34007KT 10SM BKN013 OVC025 06/05 A2992 RMK AO2
RZT,2017-04-01 05:36,-83.0231,39.4404,42.80,41.00,93.30,340.00,10.00,0.00,29.93,M,10.00,M,SCT,OVC,M,M,1300.00,2300.00,M,M,M,KRZT 010536Z AUTO 34010KT 10SM SCT013 OVC023 06/05 A2993 RMK AO2
RZT,2017-04-01 05:55,-83.0231,39.4404,42.80,41.00,93.30,340.00,5.00,0.00,29.93,M,10.00,M,SCT,BKN,OVC,M,1300.00,1900.00,2300.00,M,M,KRZT 010555Z AUTO 34005KT 10SM SCT013 BKN019 OVC023 06/05 A2993 RMK AO2
RZT,2017-04-01 06:15,-83.0231,39.4404,42.80,41.00,93.30,340.00,7.00,0.00,29.94,M,10.00,M,SCT,OVC,M,M,1500.00,2300.00,M,M,M,KRZT 010615Z AUTO 34007KT 10SM SCT015 OVC023 06/05 A2994 RMK AO2 LTG DSNT E
RZT,2017-04-01 06:35,-83.0231,39.4404,42.80,41.00,93.30,340.00,6.00,0.00,29.95,M,10.00,M,BKN,BKN,OVC,M,1600.00,2200.00,3300.00,M,M,KRZT 010635Z AUTO 34006KT 10SM BKN016 BKN022 OVC033 06/05 A2995 RMK AO2
RZT,2017-04-01 06:55,-83.0231,39.4404,42.80,41.00,93.30,330.00,7.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,1600.00,2100.00,M,M,M,KRZT 010655Z AUTO 33007KT 10SM BKN016 OVC021 06/05 A2995 RMK AO2
RZT,2017-04-01 07:16,-83.0231,39.4404,42.80,41.00,93.30,330.00,9.00,0.00,29.96,M,10.00,14.00,SCT,OVC,M,M,1400.00,2000.00,M,M,M,KRZT 010716Z AUTO 33009G14KT 10SM SCT014 OVC020 06/05 A2996 RMK AO2
RZT,2017-04-01 07:35,-83.0231,39.4404,42.80,41.00,93.30,330.00,8.00,0.00,29.97,M,10.00,M,BKN,OVC,M,M,1400.00,2200.00,M,M,M,KRZT 010735Z AUTO 33008KT 10SM BKN014 OVC022 06/05 A2997 RMK AO2
RZT,2017-04-01 07:55,-83.0231,39.4404,42.80,41.00,93.30,330.00,11.00,0.00,29.98,M,5.00,14.00,BKN,OVC,M,M,1000.00,1500.00,M,M,BR,KRZT 010755Z AUTO 33011G14KT 5SM BR BKN010 OVC015 06/05 A2998 RMK AO2
RZT,2017-04-01 08:15,-83.0231,39.4404,41.00,41.00,100.00,350.00,10.00,0.00,29.98,M,4.00,M,OVC,M,M,M,1000.00,M,M,M,-DZ,KRZT 010815Z AUTO 35010KT 4SM -DZ OVC010 05/05 A2998 RMK AO2
RZT,2017-04-01 08:35,-83.0231,39.4404,41.00,41.00,100.00,350.00,9.00,0.00,29.99,M,5.00,M,SCT,BKN,OVC,M,900.00,1700.00,4400.00,M,BR,KRZT 010835Z AUTO 35009KT 5SM BR SCT009 BKN017 OVC044 05/05 A2999 RMK AO2
RZT,2017-04-01 08:55,-83.0231,39.4404,41.00,39.20,93.24,350.00,6.00,0.00,30.00,M,5.00,M,SCT,BKN,OVC,M,1000.00,1300.00,1900.00,M,BR,KRZT 010855Z AUTO 35006KT 5SM BR SCT010 BKN013 OVC019 05/04 A3000 RMK AO2
RZT,2017-04-01 09:15,-83.0231,39.4404,41.00,39.20,93.24,350.00,6.00,0.00,30.00,M,7.00,M,SCT,SCT,OVC,M,700.00,1200.00,1900.00,M,M,KRZT 010915Z AUTO 35006KT 7SM SCT007 SCT012 OVC019 05/04 A3000 RMK AO2
RZT,2017-04-01 09:35,-83.0231,39.4404,41.00,39.20,93.24,350.00,7.00,0.00,30.00,M,10.00,M,BKN,BKN,OVC,M,1900.00,3100.00,4300.00,M,M,KRZT 010935Z AUTO 35007KT 10SM BKN019 BKN031 OVC043 05/04 A3000 RMK AO2
RZT,2017-04-01 09:55,-83.0231,39.4404,41.00,37.40,86.89,350.00,5.00,0.00,30.00,M,10.00,M,SCT,BKN,OVC,M,1900.00,3100.00,4100.00,M,M,KRZT 010955Z AUTO 35005KT 10SM SCT019 BKN031 OVC041 05/03 A3000 RMK AO2
RZT,2017-04-01 10:15,-83.0231,39.4404,41.00,37.40,86.89,340.00,4.00,0.00,30.02,M,10.00,M,BKN,OVC,M,M,3100.00,4100.00,M,M,M,KRZT 011015Z AUTO 34004KT 10SM BKN031 OVC041 05/03 A3002 RMK AO2
RZT,2017-04-01 10:36,-83.0231,39.4404,41.00,37.40,86.89,340.00,5.00,0.00,30.02,M,10.00,M,SCT,SCT,OVC,M,2600.00,3100.00,3900.00,M,M,KRZT 011036Z AUTO 34005KT 10SM SCT026 SCT031 OVC039 05/03 A3002 RMK AO2
RZT,2017-04-01 10:55,-83.0231,39.4404,41.00,37.40,86.89,350.00,6.00,0.00,30.04,M,10.00,M,SCT,BKN,OVC,M,1500.00,2600.00,3900.00,M,M,KRZT 011055Z AUTO 35006KT 10SM SCT015 BKN026 OVC039 05/03 A3004 RMK AO2
RZT,2017-04-01 11:15,-83.0231,39.4404,41.00,37.40,86.89,330.00,8.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KRZT 011115Z AUTO 33008KT 10SM OVC018 05/03 A3006 RMK AO2
RZT,2017-04-01 11:35,-83.0231,39.4404,41.00,37.40,86.89,360.00,7.00,0.00,30.07,M,7.00,M,BKN,OVC,M,M,1500.00,2200.00,M,M,DZ,KRZT 011135Z AUTO 36007KT 7SM DZ BKN015 OVC022 05/03 A3007 RMK AO2
RZT,2017-04-01 11:55,-83.0231,39.4404,41.00,37.40,86.89,360.00,7.00,0.00,30.07,M,5.00,M,SCT,BKN,OVC,M,800.00,1400.00,2000.00,M,DZ,KRZT 011155Z AUTO 36007KT 5SM DZ SCT008 BKN014 OVC020 05/03 A3007 RMK AO2
RZT,2017-04-01 12:15,-83.0231,39.4404,39.20,37.40,93.19,10.00,7.00,0.00,30.09,M,4.00,M,SCT,OVC,M,M,800.00,1400.00,M,M,-DZ,KRZT 011215Z AUTO 01007KT 4SM -DZ SCT008 OVC014 04/03 A3009 RMK AO2
RZT,2017-04-01 12:35,-83.0231,39.4404,39.20,39.20,100.00,350.00,6.00,0.00,30.10,M,7.00,M,SCT,SCT,OVC,M,1000.00,1400.00,2200.00,M,M,KRZT 011235Z AUTO 35006KT 7SM SCT010 SCT014 OVC022 04/04 A3010 RMK AO2
RZT,2017-04-01 12:55,-83.0231,39.4404,39.20,37.40,93.19,360.00,6.00,0.00,30.11,M,3.00,M,SCT,BKN,OVC,M,1000.00,1500.00,2300.00,M,BR,KRZT 011255Z AUTO 36006KT 3SM BR SCT010 BKN015 OVC023 04/03 A3011 RMK AO2
RZT,2017-04-01 13:15,-83.0231,39.4404,39.20,39.20,100.00,360.00,4.00,0.00,30.12,M,5.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-DZ,KRZT 011315Z AUTO 36004KT 5SM -DZ BKN009 OVC014 04/04 A3012 RMK AO2
RZT,2017-04-01 13:36,-83.0231,39.4404,39.20,37.40,93.19,10.00,5.00,0.00,30.12,M,5.00,M,OVC,M,M,M,1200.00,M,M,M,BR,KRZT 011336Z AUTO 01005KT 5SM BR OVC012 04/03 A3012 RMK AO2
RZT,2017-04-01 13:55,-83.0231,39.4404,39.20,37.40,93.19,10.00,6.00,0.00,30.13,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,M,KRZT 011355Z AUTO 01006KT 7SM OVC012 04/03 A3013 RMK AO2
RZT,2017-04-01 14:15,-83.0231,39.4404,39.20,37.40,93.19,10.00,7.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KRZT 011415Z AUTO 01007KT 10SM OVC012 04/03 A3013 RMK AO2
