#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SKA,2017-04-01 00:58,-117.6558,47.6151,54.10,34.70,47.71,250.00,7.00,0.00,30.17,1023.10,10.00,M,FEW,M,M,M,4900.00,M,M,M,M,KSKA 010058Z AUTO 25007KT 10SM FEW049 12/02 A3017 RMK AO2 SLP231 T01230015
SKA,2017-04-01 01:58,-117.6558,47.6151,50.20,36.90,60.10,240.00,5.00,0.00,30.17,1023.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010158Z AUTO 24005KT 10SM CLR 10/03 A3017 RMK AO2 SLP231 T01010027
SKA,2017-04-01 02:43,-117.6558,47.6151,46.40,35.60,65.83,220.00,5.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010243Z 22005KT 10SM CLR 08/02 A3016
SKA,2017-04-01 02:58,-117.6558,47.6151,46.90,36.00,65.63,230.00,5.00,0.00,30.17,1023.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010258Z AUTO 23005KT 10SM CLR 08/02 A3017 RMK AO2 SLP233 T00830022 55002
SKA,2017-04-01 03:58,-117.6558,47.6151,45.00,36.10,70.81,220.00,6.00,0.00,30.18,1023.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010358Z AUTO 22006KT 10SM CLR 07/02 A3018 RMK AO2 SLP234 T00720023
SKA,2017-04-01 04:58,-117.6558,47.6151,43.20,36.10,75.84,210.00,5.00,0.00,30.17,1023.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010458Z AUTO 21005KT 10SM CLR 06/02 A3017 RMK AO2 UPB12E32 SLP231 P0000 T00620023
SKA,2017-04-01 05:58,-117.6558,47.6151,41.70,34.90,76.61,240.00,6.00,0.00,30.19,1023.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010558Z AUTO 24006KT 10SM CLR 05/02 A3019 RMK AO2 SLP236 60000 T00540016 10130 20054 50006
SKA,2017-04-01 06:58,-117.6558,47.6151,40.30,34.20,78.65,200.00,7.00,0.00,30.17,1022.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010658Z 20007KT 10SM CLR 05/01 A3017 RMK AO2A SLP227 T00460012
SKA,2017-04-01 07:58,-117.6558,47.6151,40.10,35.60,83.81,240.00,3.00,0.00,30.17,1022.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010758Z 24003KT 10SM CLR 05/02 A3017 RMK AO2A SLP227 T00450020
SKA,2017-04-01 08:58,-117.6558,47.6151,38.80,33.40,80.76,190.00,3.00,0.00,30.14,1021.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KSKA 010858Z 19003KT 10SM CLR 04/01 A3014 RMK AO2A SLP217 T00380008 56015
