#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SMQ,2017-04-01 00:00,-74.6694,40.6239,M,M,M,70.00,5.00,M,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010000Z AUTO 07005KT 3SM -RA BR OVC011 A2973 RMK VRB05G14KT  MADISHF
SMQ,2017-04-01 00:05,-74.6694,40.6239,M,M,M,60.00,6.00,M,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010005Z AUTO 06006KT 3SM -RA BR OVC011 A2973 RMK MADISHF
SMQ,2017-04-01 00:06,-74.6694,40.6239,41.00,37.90,88.62,70.00,6.00,0.00,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010006Z AUTO 07006KT 3SM -RA BR OVC011 05/03 A2973 RMK AO2 T00500033 PNO $
SMQ,2017-04-01 00:10,-74.6694,40.6239,M,M,M,70.00,6.00,M,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010010Z AUTO 07006KT 3SM -RA BR OVC011 A2973 RMK VRB06KT CIG 8V15  MADISHF
SMQ,2017-04-01 00:15,-74.6694,40.6239,M,M,M,50.00,6.00,M,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010015Z AUTO 05006KT 3SM -RA BR OVC011 A2973 RMK CIG 8V15  MADISHF
SMQ,2017-04-01 00:20,-74.6694,40.6239,M,M,M,60.00,6.00,M,29.73,M,3.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010020Z AUTO 06006KT 3SM -RA BR OVC011 A2973 RMK CIG 8V15  MADISHF
SMQ,2017-04-01 00:25,-74.6694,40.6239,M,M,M,30.00,5.00,M,29.72,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KSMQ 010025Z AUTO 03005KT 4SM -RA BR OVC011 A2972 RMK CIG 8V14  MADISHF
SMQ,2017-04-01 00:30,-74.6694,40.6239,M,M,M,0.00,0.00,M,29.73,M,4.00,M,OVC,M,M,M,999.00,M,M,M,-RA BR,KSMQ 010030Z AUTO 00000KT 4SM -RA BR OVC009 A2973 RMK CIG 8V13  MADISHF
SMQ,2017-04-01 00:35,-74.6694,40.6239,M,M,M,360.00,3.00,M,29.73,M,6.00,M,OVC,M,M,M,999.00,M,M,M,-RA BR,KSMQ 010035Z AUTO 36003KT 6SM -RA BR OVC009 A2973 RMK VRB03KT CIG 9V13  MADISHF
SMQ,2017-04-01 00:40,-74.6694,40.6239,M,M,M,50.00,6.00,M,29.72,M,8.00,M,OVC,M,M,M,999.00,M,M,M,M,KSMQ 010040Z AUTO 05006KT 8SM OVC009 A2972 RMK VRB06KT  MADISHF
SMQ,2017-04-01 00:45,-74.6694,40.6239,M,M,M,30.00,4.00,M,29.72,M,9.00,M,OVC,M,M,M,999.00,M,M,M,M,KSMQ 010045Z AUTO 03004KT 9SM OVC009 A2972 RMK VRB04KT  MADISHF
SMQ,2017-04-01 00:50,-74.6694,40.6239,M,M,M,0.00,0.00,M,29.72,M,9.00,M,OVC,M,M,M,999.00,M,M,M,M,KSMQ 010050Z AUTO 00000KT 9SM OVC009 A2972 RMK MADISHF
SMQ,2017-04-01 00:53,-74.6694,40.6239,39.90,37.90,92.48,M,M,0.00,29.72,1006.60,9.00,M,OVC,M,M,M,1000.00,M,M,M,M,KSMQ 010053Z AUTO 9SM OVC010 04/03 A2972 RMK AO2 RAE40 SLP066 T00440033 PNO $
SMQ,2017-04-01 00:55,-74.6694,40.6239,M,M,M,M,M,M,29.72,M,9.00,M,OVC,M,M,M,999.00,M,M,M,M,KSMQ 010055Z AUTO /////KT 9SM OVC009 A2972 RMK MADISHF
