#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SNC,2017-04-01 00:15,-72.5059,41.3839,35.60,33.80,93.08,90.00,9.00,0.00,29.90,M,4.00,15.00,BKN,OVC,M,M,700.00,1100.00,M,M,-RA,KSNC 010015Z AUTO 09009G15KT 4SM -RA BKN007 OVC011 02/01 A2990 RMK AO2
SNC,2017-04-01 00:35,-72.5059,41.3839,35.60,33.80,93.08,90.00,10.00,0.00,29.89,M,5.00,19.00,BKN,BKN,OVC,M,600.00,900.00,1300.00,M,-RA,KSNC 010035Z AUTO 09010G19KT 5SM -RA BKN006 BKN009 OVC013 02/01 A2989 RMK AO2
SNC,2017-04-01 00:55,-72.5059,41.3839,35.60,33.80,93.08,90.00,8.00,0.00,29.88,M,4.00,18.00,BKN,OVC,M,M,700.00,1200.00,M,M,-RA,KSNC 010055Z AUTO 09008G18KT 4SM -RA BKN007 OVC012 02/01 A2988 RMK AO2
SNC,2017-04-01 01:15,-72.5059,41.3839,35.60,33.80,93.08,90.00,12.00,0.00,29.87,M,4.00,18.00,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010115Z AUTO 09012G18KT 4SM -RA FEW001 BKN007 OVC011 02/01 A2987 RMK AO2
SNC,2017-04-01 01:35,-72.5059,41.3839,35.60,33.80,93.08,90.00,12.00,0.00,29.86,M,5.00,23.00,BKN,OVC,M,M,700.00,1200.00,M,M,-RA,KSNC 010135Z AUTO 09012G23KT 5SM -RA BKN007 OVC012 02/01 A2986 RMK AO2
SNC,2017-04-01 01:55,-72.5059,41.3839,35.60,33.80,93.08,70.00,13.00,0.00,29.85,M,4.00,21.00,BKN,OVC,M,M,800.00,1300.00,M,M,-RA,KSNC 010155Z AUTO 07013G21KT 4SM -RA BKN008 OVC013 02/01 A2985 RMK AO2
SNC,2017-04-01 02:15,-72.5059,41.3839,35.60,33.80,93.08,80.00,13.00,0.00,29.84,M,3.00,M,FEW,BKN,OVC,M,100.00,700.00,1200.00,M,-RA,KSNC 010215Z AUTO 08013KT 3SM -RA FEW001 BKN007 OVC012 02/01 A2984 RMK AO2
SNC,2017-04-01 02:35,-72.5059,41.3839,35.60,33.80,93.08,80.00,11.00,0.00,29.84,M,4.00,20.00,FEW,OVC,M,M,100.00,800.00,M,M,-RA,KSNC 010235Z AUTO 08011G20KT 050V120 4SM -RA FEW001 OVC008 02/01 A2984 RMK AO2
SNC,2017-04-01 02:55,-72.5059,41.3839,35.60,33.80,93.08,70.00,11.00,0.00,29.82,M,3.00,16.00,OVC,M,M,M,800.00,M,M,M,-RA,KSNC 010255Z AUTO 07011G16KT 3SM -RA OVC008 02/01 A2982 RMK AO2
SNC,2017-04-01 03:15,-72.5059,41.3839,33.80,33.80,100.00,70.00,9.00,0.00,29.81,M,3.00,18.00,FEW,BKN,OVC,M,100.00,600.00,1000.00,M,-RA,KSNC 010315Z AUTO 07009G18KT 3SM -RA FEW001 BKN006 OVC010 01/01 A2981 RMK AO2
SNC,2017-04-01 03:35,-72.5059,41.3839,33.80,33.80,100.00,70.00,12.00,0.00,29.79,M,2.00,22.00,FEW,BKN,OVC,M,100.00,600.00,1000.00,M,-RA,KSNC 010335Z AUTO 07012G22KT 2SM -RA FEW001 BKN006 OVC010 01/01 A2979 RMK AO2
SNC,2017-04-01 03:55,-72.5059,41.3839,35.60,33.80,93.08,70.00,11.00,0.00,29.78,M,2.50,18.00,FEW,OVC,M,M,100.00,700.00,M,M,-RA,KSNC 010355Z AUTO 07011G18KT 2 1/2SM -RA FEW001 OVC007 02/01 A2978 RMK AO2
SNC,2017-04-01 04:15,-72.5059,41.3839,35.60,33.80,93.08,60.00,12.00,0.00,29.78,M,1.75,17.00,SCT,OVC,M,M,100.00,700.00,M,M,-RA,KSNC 010415Z AUTO 06012G17KT 1 3/4SM -RA SCT001 OVC007 02/01 A2978 RMK AO2
SNC,2017-04-01 04:35,-72.5059,41.3839,35.60,33.80,93.08,70.00,12.00,0.00,29.77,M,2.50,17.00,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010435Z AUTO 07012G17KT 2 1/2SM -RA FEW001 BKN007 OVC011 02/01 A2977 RMK AO2
SNC,2017-04-01 04:55,-72.5059,41.3839,35.60,35.60,100.00,70.00,10.00,0.00,29.76,M,2.00,M,FEW,OVC,M,M,100.00,700.00,M,M,-RA,KSNC 010455Z AUTO 07010KT 2SM -RA FEW001 OVC007 02/02 A2976 RMK AO2
SNC,2017-04-01 05:15,-72.5059,41.3839,35.60,35.60,100.00,60.00,10.00,0.00,29.76,M,2.50,15.00,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010515Z AUTO 06010G15KT 2 1/2SM -RA FEW001 BKN007 OVC011 02/02 A2976 RMK AO2
SNC,2017-04-01 05:35,-72.5059,41.3839,35.60,35.60,100.00,50.00,9.00,0.00,29.75,M,2.00,19.00,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010535Z AUTO 05009G19KT 2SM -RA FEW001 BKN007 OVC011 02/02 A2975 RMK AO2
SNC,2017-04-01 05:55,-72.5059,41.3839,35.60,35.60,100.00,50.00,9.00,0.00,29.75,M,1.50,15.00,SCT,OVC,M,M,200.00,900.00,M,M,RA,KSNC 010555Z AUTO 05009G15KT 020V080 1 1/2SM RA SCT002 OVC009 02/02 A2975 RMK AO2
SNC,2017-04-01 06:15,-72.5059,41.3839,35.60,35.60,100.00,50.00,9.00,0.00,29.74,M,2.50,M,BKN,OVC,M,M,300.00,900.00,M,M,-RA,KSNC 010615Z AUTO 05009KT 2 1/2SM -RA BKN003 OVC009 02/02 A2974 RMK AO2
SNC,2017-04-01 06:35,-72.5059,41.3839,35.60,35.60,100.00,50.00,10.00,0.00,29.72,M,2.00,M,FEW,SCT,OVC,M,100.00,500.00,900.00,M,RA,KSNC 010635Z AUTO 05010KT 2SM RA FEW001 SCT005 OVC009 02/02 A2972 RMK AO2
SNC,2017-04-01 06:55,-72.5059,41.3839,35.60,35.60,100.00,50.00,13.00,0.00,29.71,M,3.00,M,FEW,SCT,OVC,M,100.00,600.00,1000.00,M,-RA,KSNC 010655Z AUTO 05013KT 3SM -RA FEW001 SCT006 OVC010 02/02 A2971 RMK AO2
SNC,2017-04-01 07:15,-72.5059,41.3839,35.60,35.60,100.00,40.00,9.00,0.00,29.70,M,3.00,16.00,FEW,BKN,OVC,M,100.00,600.00,1000.00,M,-RA,KSNC 010715Z AUTO 04009G16KT 3SM -RA FEW001 BKN006 OVC010 02/02 A2970 RMK AO2
SNC,2017-04-01 07:35,-72.5059,41.3839,35.60,35.60,100.00,40.00,11.00,0.00,29.69,M,3.00,M,FEW,OVC,M,M,100.00,700.00,M,M,-RA,KSNC 010735Z AUTO 04011KT 3SM -RA FEW001 OVC007 02/02 A2969 RMK AO2
SNC,2017-04-01 07:55,-72.5059,41.3839,35.60,35.60,100.00,40.00,10.00,0.00,29.68,M,2.50,17.00,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010755Z AUTO 04010G17KT 2 1/2SM -RA FEW001 BKN007 OVC011 02/02 A2968 RMK AO2
SNC,2017-04-01 08:15,-72.5059,41.3839,35.60,33.80,93.08,30.00,9.00,0.00,29.67,M,2.50,16.00,FEW,BKN,OVC,M,100.00,700.00,1200.00,M,-RA,KSNC 010815Z AUTO 03009G16KT 2 1/2SM -RA FEW001 BKN007 OVC012 02/01 A2967 RMK AO2
SNC,2017-04-01 08:35,-72.5059,41.3839,35.60,35.60,100.00,40.00,10.00,0.00,29.66,M,2.00,17.00,FEW,BKN,OVC,M,100.00,700.00,1200.00,M,-RA,KSNC 010835Z AUTO 04010G17KT 2SM -RA FEW001 BKN007 OVC012 02/02 A2966 RMK AO2
SNC,2017-04-01 08:55,-72.5059,41.3839,35.60,35.60,100.00,30.00,11.00,0.00,29.67,M,1.75,M,FEW,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 010855Z AUTO 03011KT 1 3/4SM -RA FEW001 BKN007 OVC011 02/02 A2967 RMK AO2
SNC,2017-04-01 09:15,-72.5059,41.3839,35.60,35.60,100.00,40.00,12.00,0.00,29.66,M,3.00,M,SCT,BKN,OVC,M,600.00,1000.00,1400.00,M,-RA,KSNC 010915Z AUTO 04012KT 3SM -RA SCT006 BKN010 OVC014 02/02 A2966 RMK AO2
SNC,2017-04-01 09:35,-72.5059,41.3839,35.60,35.60,100.00,30.00,11.00,0.00,29.66,M,2.00,16.00,FEW,BKN,OVC,M,400.00,800.00,1300.00,M,-RA,KSNC 010935Z AUTO 03011G16KT 2SM -RA FEW004 BKN008 OVC013 02/02 A2966 RMK AO2
SNC,2017-04-01 09:55,-72.5059,41.3839,35.60,35.60,100.00,30.00,11.00,0.00,29.66,M,2.00,18.00,FEW,BKN,OVC,M,100.00,600.00,1000.00,M,-RA,KSNC 010955Z AUTO 03011G18KT 2SM -RA FEW001 BKN006 OVC010 02/02 A2966 RMK AO2
SNC,2017-04-01 10:15,-72.5059,41.3839,35.60,35.60,100.00,20.00,10.00,0.00,29.66,M,3.00,16.00,BKN,BKN,OVC,M,600.00,900.00,1200.00,M,-RA,KSNC 011015Z AUTO 02010G16KT 3SM -RA BKN006 BKN009 OVC012 02/02 A2966 RMK AO2
SNC,2017-04-01 10:35,-72.5059,41.3839,35.60,35.60,100.00,30.00,12.00,0.00,29.67,M,4.00,M,BKN,BKN,OVC,M,600.00,1200.00,1700.00,M,BR,KSNC 011035Z AUTO 03012KT 4SM BR BKN006 BKN012 OVC017 02/02 A2967 RMK AO2
SNC,2017-04-01 10:55,-72.5059,41.3839,35.60,35.60,100.00,10.00,11.00,0.00,29.67,M,1.25,17.00,SCT,BKN,OVC,M,100.00,700.00,1200.00,M,-RA,KSNC 011055Z AUTO 01011G17KT 1 1/4SM -RA SCT001 BKN007 OVC012 02/02 A2967 RMK AO2
SNC,2017-04-01 11:15,-72.5059,41.3839,35.60,35.60,100.00,20.00,11.00,0.00,29.67,M,1.25,22.00,SCT,BKN,OVC,M,100.00,700.00,1100.00,M,-RA,KSNC 011115Z AUTO 02011G22KT 1 1/4SM -RA SCT001 BKN007 OVC011 02/02 A2967 RMK AO2
SNC,2017-04-01 11:35,-72.5059,41.3839,35.60,35.60,100.00,10.00,12.00,0.00,29.67,M,1.50,20.00,FEW,BKN,OVC,M,100.00,600.00,1300.00,M,-RA,KSNC 011135Z AUTO 01012G20KT 1 1/2SM -RA FEW001 BKN006 OVC013 02/02 A2967 RMK AO2
SNC,2017-04-01 11:55,-72.5059,41.3839,35.60,35.60,100.00,20.00,10.00,0.00,29.68,M,1.25,21.00,SCT,BKN,OVC,M,100.00,800.00,1300.00,M,+UP,KSNC 011155Z AUTO 02010G21KT 1 1/4SM +UP SCT001 BKN008 OVC013 02/02 A2968 RMK AO2
SNC,2017-04-01 12:15,-72.5059,41.3839,35.60,35.60,100.00,10.00,13.00,0.00,29.68,M,1.50,21.00,SCT,OVC,M,M,100.00,800.00,M,M,-RA,KSNC 011215Z AUTO 01013G21KT 330V030 1 1/2SM -RA SCT001 OVC008 02/02 A2968 RMK AO2
SNC,2017-04-01 12:35,-72.5059,41.3839,35.60,35.60,100.00,10.00,11.00,0.00,29.69,M,1.75,19.00,SCT,BKN,OVC,M,100.00,800.00,1700.00,M,-RA,KSNC 011235Z AUTO 01011G19KT 1 3/4SM -RA SCT001 BKN008 OVC017 02/02 A2969 RMK AO2
SNC,2017-04-01 12:55,-72.5059,41.3839,37.40,35.60,93.14,10.00,14.00,0.00,29.69,M,1.75,22.00,BKN,OVC,M,M,800.00,1600.00,M,M,-RA,KSNC 011255Z AUTO 01014G22KT 1 3/4SM -RA BKN008 OVC016 03/02 A2969 RMK AO2
SNC,2017-04-01 13:15,-72.5059,41.3839,37.40,35.60,93.14,10.00,17.00,0.00,29.69,M,1.75,25.00,OVC,M,M,M,1100.00,M,M,M,-RA,KSNC 011315Z AUTO 01017G25KT 340V040 1 3/4SM -RA OVC011 03/02 A2969 RMK AO2
SNC,2017-04-01 13:35,-72.5059,41.3839,37.40,35.60,93.14,10.00,14.00,0.00,29.70,M,2.00,21.00,SCT,BKN,OVC,M,700.00,1300.00,8500.00,M,-RA,KSNC 011335Z AUTO 01014G21KT 2SM -RA SCT007 BKN013 OVC085 03/02 A2970 RMK AO2
SNC,2017-04-01 13:55,-72.5059,41.3839,37.40,35.60,93.14,10.00,11.00,0.00,29.70,M,2.00,20.00,BKN,OVC,M,M,900.00,1500.00,M,M,-RA,KSNC 011355Z AUTO 01011G20KT 2SM -RA BKN009 OVC015 03/02 A2970 RMK AO2
SNC,2017-04-01 14:15,-72.5059,41.3839,37.40,35.60,93.14,20.00,15.00,0.00,29.71,M,2.50,25.00,SCT,BKN,OVC,M,700.00,1300.00,5000.00,M,-RA,KSNC 011415Z AUTO 02015G25KT 2 1/2SM -RA SCT007 BKN013 OVC050 03/02 A2971 RMK AO2
SNC,2017-04-01 14:35,-72.5059,41.3839,39.20,35.60,86.79,10.00,13.00,0.00,29.72,M,9.00,27.00,SCT,BKN,OVC,M,1100.00,1600.00,6500.00,M,M,KSNC 011435Z AUTO 01013G27KT 9SM SCT011 BKN016 OVC065 04/02 A2972 RMK AO2
SNC,2017-04-01 14:55,-72.5059,41.3839,39.20,35.60,86.79,20.00,14.00,0.00,29.72,M,10.00,23.00,BKN,OVC,M,M,1500.00,4700.00,M,M,M,KSNC 011455Z AUTO 02014G23KT 10SM BKN015 OVC047 04/02 A2972 RMK AO2
SNC,2017-04-01 15:15,-72.5059,41.3839,39.20,35.60,86.79,10.00,13.00,0.00,29.73,M,9.00,27.00,M,M,M,M,M,M,M,M,M,KSNC 011515Z AUTO 01013G27KT 9SM 04/02 A2973 RMK AO2
SNC,2017-04-01 15:35,-72.5059,41.3839,39.20,35.60,86.79,20.00,12.00,0.00,29.73,M,10.00,22.00,M,M,M,M,M,M,M,M,-UP,KSNC 011535Z AUTO 02012G22KT 10SM -UP 04/02 A2973 RMK AO2
SNC,2017-04-01 15:55,-72.5059,41.3839,39.20,35.60,86.79,10.00,15.00,0.00,29.74,M,10.00,21.00,SCT,BKN,OVC,M,1200.00,1600.00,2700.00,M,-RA,KSNC 011555Z AUTO 01015G21KT 10SM -RA SCT012 BKN016 OVC027 04/02 A2974 RMK AO2
SNC,2017-04-01 16:15,-72.5059,41.3839,37.40,35.60,93.14,10.00,16.00,0.00,29.74,M,6.00,24.00,BKN,BKN,OVC,M,900.00,1600.00,2200.00,M,-RA,KSNC 011615Z AUTO 01016G24KT 6SM -RA BKN009 BKN016 OVC022 03/02 A2974 RMK AO2
SNC,2017-04-01 16:35,-72.5059,41.3839,37.40,35.60,93.14,10.00,13.00,0.00,29.75,M,3.00,19.00,BKN,OVC,M,M,800.00,1500.00,M,M,-RA,KSNC 011635Z AUTO 01013G19KT 3SM -RA BKN008 OVC015 03/02 A2975 RMK AO2
SNC,2017-04-01 16:55,-72.5059,41.3839,37.40,35.60,93.14,360.00,10.00,0.00,29.75,M,3.00,15.00,BKN,OVC,M,M,700.00,1300.00,M,M,-SN,KSNC 011655Z AUTO 36010G15KT 3SM -SN BKN007 OVC013 03/02 A2975 RMK AO2
SNC,2017-04-01 17:15,-72.5059,41.3839,37.40,35.60,93.14,360.00,13.00,0.00,29.75,M,5.00,19.00,BKN,BKN,OVC,M,1000.00,1600.00,2100.00,M,BR,KSNC 011715Z AUTO 36013G19KT 330V040 5SM BR BKN010 BKN016 OVC021 03/02 A2975 RMK AO2
SNC,2017-04-01 17:35,-72.5059,41.3839,37.40,35.60,93.14,10.00,12.00,0.00,29.76,M,9.00,18.00,SCT,BKN,OVC,M,1000.00,1500.00,2100.00,M,M,KSNC 011735Z AUTO 01012G18KT 9SM SCT010 BKN015 OVC021 03/02 A2976 RMK AO2
SNC,2017-04-01 17:55,-72.5059,41.3839,39.20,35.60,86.79,350.00,11.00,0.00,29.77,M,8.00,16.00,BKN,OVC,M,M,1400.00,2000.00,M,M,M,KSNC 011755Z AUTO 35011G16KT 320V020 8SM BKN014 OVC020 04/02 A2977 RMK AO2
