#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SUN,2017-04-01 00:47,-114.2956,43.5038,53.60,30.20,40.54,330.00,10.00,0.00,30.00,M,10.00,15.00,FEW,M,M,M,11000.00,M,M,M,M,KSUN 010047Z 33010G15KT 10SM FEW110 12/M01 A3000
SUN,2017-04-01 02:55,-114.2956,43.5038,46.40,30.20,53.00,310.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010255Z 31005KT 10SM SKC 08/M01 A3006
SUN,2017-04-01 03:55,-114.2956,43.5038,42.80,30.20,60.79,310.00,5.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010355Z 31005KT 10SM SKC 06/M01 A3008
SUN,2017-04-01 05:15,-114.2956,43.5038,39.20,30.20,69.88,300.00,7.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010515Z AUTO 30007KT 10SM CLR 04/M01 A3011 RMK AO2
SUN,2017-04-01 05:35,-114.2956,43.5038,37.40,30.20,74.98,300.00,8.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010535Z AUTO 30008KT 10SM CLR 03/M01 A3010 RMK AO2
SUN,2017-04-01 05:55,-114.2956,43.5038,39.20,30.20,69.88,290.00,8.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010555Z AUTO 29008KT 10SM CLR 04/M01 A3011 RMK AO2
SUN,2017-04-01 06:15,-114.2956,43.5038,37.40,30.20,74.98,300.00,10.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010615Z AUTO 30010KT 10SM CLR 03/M01 A3011 RMK AO2
SUN,2017-04-01 06:35,-114.2956,43.5038,37.40,30.20,74.98,290.00,9.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010635Z AUTO 29009KT 10SM CLR 03/M01 A3011 RMK AO2
SUN,2017-04-01 06:55,-114.2956,43.5038,37.40,30.20,74.98,300.00,10.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010655Z AUTO 30010KT 10SM CLR 03/M01 A3012 RMK AO2
SUN,2017-04-01 07:15,-114.2956,43.5038,37.40,30.20,74.98,300.00,10.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUN 010715Z AUTO 30010KT 10SM CLR 03/M01 A3012 RMK AO2
