#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SUX,2017-04-01 00:00,-96.3795,42.3917,M,M,M,40.00,10.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010000Z AUTO 04010KT 10SM CLR A3003 RMK MADISHF
SUX,2017-04-01 00:05,-96.3795,42.3917,M,M,M,40.00,11.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010005Z AUTO 04011KT 10SM CLR A3003 RMK MADISHF
SUX,2017-04-01 00:10,-96.3795,42.3917,M,M,M,50.00,11.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010010Z AUTO 05011KT 10SM CLR A3003 RMK MADISHF
SUX,2017-04-01 00:15,-96.3795,42.3917,M,M,M,50.00,9.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010015Z AUTO 05009KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:20,-96.3795,42.3917,M,M,M,50.00,10.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010020Z AUTO 05010KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:30,-96.3795,42.3917,M,M,M,50.00,9.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010030Z AUTO 05009KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:35,-96.3795,42.3917,M,M,M,50.00,8.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010035Z AUTO 05008KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:40,-96.3795,42.3917,M,M,M,40.00,8.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010040Z AUTO 04008KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:45,-96.3795,42.3917,M,M,M,50.00,7.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010045Z AUTO 05007KT 10SM CLR A3004 RMK MADISHF
SUX,2017-04-01 00:50,-96.3795,42.3917,M,M,M,40.00,8.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010050Z AUTO 04008KT 10SM CLR A3005 RMK MADISHF
SUX,2017-04-01 00:52,-96.3795,42.3917,51.10,37.00,58.36,40.00,7.00,0.00,30.05,1018.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010052Z 04007KT 10SM CLR 11/03 A3005 RMK AO2 SLP180 T01060028
SUX,2017-04-01 00:55,-96.3795,42.3917,M,M,M,40.00,8.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010055Z AUTO 04008KT 10SM CLR A3005 RMK MADISHF
SUX,2017-04-01 01:00,-96.3795,42.3917,M,M,M,40.00,10.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010100Z AUTO 04010KT 10SM CLR A3005 RMK MADISHF
SUX,2017-04-01 01:05,-96.3795,42.3917,M,M,M,40.00,9.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010105Z AUTO 04009KT 10SM CLR A3005 RMK MADISHF
SUX,2017-04-01 01:10,-96.3795,42.3917,M,M,M,40.00,10.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010110Z AUTO 04010KT 10SM CLR A3006 RMK MADISHF
SUX,2017-04-01 01:20,-96.3795,42.3917,M,M,M,50.00,10.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010120Z AUTO 05010KT 10SM CLR A3006 RMK MADISHF
SUX,2017-04-01 01:25,-96.3795,42.3917,M,M,M,50.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010125Z AUTO 05009KT 10SM CLR A3007 RMK MADISHF
SUX,2017-04-01 01:30,-96.3795,42.3917,M,M,M,50.00,9.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010130Z AUTO 05009KT 10SM CLR A3006 RMK MADISHF
SUX,2017-04-01 01:35,-96.3795,42.3917,M,M,M,60.00,12.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010135Z AUTO 06012KT 10SM CLR A3007 RMK MADISHF
SUX,2017-04-01 01:40,-96.3795,42.3917,M,M,M,60.00,12.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010140Z AUTO 06012KT 10SM CLR A3008 RMK MADISHF
SUX,2017-04-01 01:45,-96.3795,42.3917,M,M,M,50.00,9.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KSUX 010145Z AUTO 05009KT 10SM CLR A3008 RMK MADISHF
