#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
SYM,2017-04-01 00:10,-83.5874,38.2150,51.80,48.20,87.47,250.00,7.00,0.00,29.85,M,10.00,15.00,BKN,BKN,OVC,M,1100.00,1800.00,2300.00,M,M,KSYM 010010Z AUTO 25007G15KT 10SM BKN011 BKN018 OVC023 11/09 A2985 RMK AO2
SYM,2017-04-01 00:30,-83.5874,38.2150,51.80,48.20,87.47,240.00,8.00,0.00,29.86,M,10.00,M,BKN,OVC,M,M,1200.00,1700.00,M,M,M,KSYM 010030Z AUTO 24008KT 10SM BKN012 OVC017 11/09 A2986 RMK AO2
SYM,2017-04-01 00:50,-83.5874,38.2150,51.80,46.40,81.74,M,5.00,0.00,29.88,M,10.00,18.00,BKN,OVC,M,M,1200.00,1800.00,M,M,M,KSYM 010050Z AUTO VRB05G18KT 10SM BKN012 OVC018 11/08 A2988 RMK AO2
SYM,2017-04-01 01:10,-83.5874,38.2150,51.80,46.40,81.74,M,4.00,0.00,29.89,M,10.00,15.00,BKN,OVC,M,M,1300.00,1800.00,M,M,M,KSYM 010110Z AUTO VRB04G15KT 10SM BKN013 OVC018 11/08 A2989 RMK AO2
SYM,2017-04-01 01:30,-83.5874,38.2150,51.80,46.40,81.74,290.00,7.00,0.00,29.90,M,10.00,M,SCT,BKN,OVC,M,1400.00,2300.00,2800.00,M,M,KSYM 010130Z AUTO 29007KT 10SM SCT014 BKN023 OVC028 11/08 A2990 RMK AO2
SYM,2017-04-01 01:50,-83.5874,38.2150,51.80,44.60,76.34,270.00,5.00,0.00,29.90,M,10.00,M,FEW,BKN,OVC,M,1700.00,2900.00,3500.00,M,M,KSYM 010150Z AUTO 27005KT 10SM FEW017 BKN029 OVC035 11/07 A2990 RMK AO2
SYM,2017-04-01 02:10,-83.5874,38.2150,51.80,44.60,76.34,M,5.00,0.00,29.91,M,10.00,12.00,SCT,SCT,OVC,M,1600.00,2000.00,3200.00,M,M,KSYM 010210Z AUTO VRB05G12KT 10SM SCT016 SCT020 OVC032 11/07 A2991 RMK AO2
SYM,2017-04-01 02:30,-83.5874,38.2150,50.00,44.60,81.61,M,6.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KSYM 010230Z AUTO VRB06KT 10SM OVC015 10/07 A2992 RMK AO2
SYM,2017-04-01 02:50,-83.5874,38.2150,50.00,44.60,81.61,M,5.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KSYM 010250Z AUTO VRB05KT 10SM OVC014 10/07 A2992 RMK AO2
SYM,2017-04-01 03:10,-83.5874,38.2150,50.00,44.60,81.61,290.00,7.00,0.00,29.93,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KSYM 010310Z AUTO 29007KT 10SM OVC013 10/07 A2993 RMK AO2
SYM,2017-04-01 03:30,-83.5874,38.2150,50.00,44.60,81.61,280.00,5.00,0.00,29.93,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KSYM 010330Z AUTO 28005KT 10SM OVC013 10/07 A2993 RMK AO2
SYM,2017-04-01 03:50,-83.5874,38.2150,50.00,44.60,81.61,300.00,6.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KSYM 010350Z AUTO 30006KT 10SM OVC012 10/07 A2994 RMK AO2
SYM,2017-04-01 04:10,-83.5874,38.2150,50.00,44.60,81.61,290.00,5.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KSYM 010410Z AUTO 29005KT 10SM OVC011 10/07 A2994 RMK AO2
SYM,2017-04-01 04:30,-83.5874,38.2150,50.00,44.60,81.61,240.00,7.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KSYM 010430Z AUTO 24007KT 10SM OVC010 10/07 A2994 RMK AO2
SYM,2017-04-01 04:50,-83.5874,38.2150,48.20,44.60,87.28,270.00,6.00,0.00,29.95,M,10.00,11.00,OVC,M,M,M,1000.00,M,M,M,M,KSYM 010450Z AUTO 27006G11KT 10SM OVC010 09/07 A2995 RMK AO2
SYM,2017-04-01 05:10,-83.5874,38.2150,48.20,44.60,87.28,300.00,7.00,0.00,29.96,M,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KSYM 010510Z AUTO 30007KT 8SM OVC007 09/07 A2996 RMK AO2
SYM,2017-04-01 05:30,-83.5874,38.2150,48.20,44.60,87.28,M,6.00,0.00,29.97,M,6.00,13.00,OVC,M,M,M,600.00,M,M,M,BR,KSYM 010530Z AUTO VRB06G13KT 6SM BR OVC006 09/07 A2997 RMK AO2
SYM,2017-04-01 05:50,-83.5874,38.2150,48.20,44.60,87.28,310.00,10.00,0.00,29.97,M,4.00,M,OVC,M,M,M,500.00,M,M,M,BR,KSYM 010550Z AUTO 31010KT 4SM BR OVC005 09/07 A2997 RMK AO2
SYM,2017-04-01 06:10,-83.5874,38.2150,46.40,44.60,93.40,310.00,9.00,0.00,29.98,M,2.50,16.00,OVC,M,M,M,400.00,M,M,M,-RA,KSYM 010610Z AUTO 31009G16KT 2 1/2SM -RA OVC004 08/07 A2998 RMK AO2
SYM,2017-04-01 06:30,-83.5874,38.2150,46.40,42.80,87.19,310.00,15.00,0.00,29.98,M,2.00,M,OVC,M,M,M,300.00,M,M,M,-RA,KSYM 010630Z AUTO 31015KT 2SM -RA OVC003 08/06 A2998 RMK AO2
SYM,2017-04-01 06:50,-83.5874,38.2150,44.60,42.80,93.35,310.00,13.00,0.00,29.99,M,2.00,19.00,OVC,M,M,M,400.00,M,M,M,-RA,KSYM 010650Z AUTO 31013G19KT 2SM -RA OVC004 07/06 A2999 RMK AO2
SYM,2017-04-01 07:10,-83.5874,38.2150,44.60,42.80,93.35,310.00,10.00,0.00,29.99,M,2.50,15.00,OVC,M,M,M,400.00,M,M,M,BR,KSYM 010710Z AUTO 31010G15KT 2 1/2SM BR OVC004 07/06 A2999 RMK AO2
SYM,2017-04-01 07:30,-83.5874,38.2150,44.60,42.80,93.35,300.00,11.00,0.00,30.00,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KSYM 010730Z AUTO 30011KT 5SM BR OVC005 07/06 A3000 RMK AO2
SYM,2017-04-01 07:50,-83.5874,38.2150,44.60,41.00,87.09,300.00,11.00,0.00,30.01,M,10.00,16.00,BKN,OVC,M,M,700.00,1200.00,M,M,M,KSYM 010750Z AUTO 30011G16KT 10SM BKN007 OVC012 07/05 A3001 RMK AO2
SYM,2017-04-01 08:10,-83.5874,38.2150,44.60,41.00,87.09,320.00,11.00,0.00,30.01,M,10.00,16.00,BKN,OVC,M,M,1200.00,1700.00,M,M,M,KSYM 010810Z AUTO 32011G16KT 10SM BKN012 OVC017 07/05 A3001 RMK AO2
