#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
TRI,2017-04-01 00:00,-82.4074,36.4752,M,M,M,290.00,6.00,M,29.85,M,10.00,M,SCT,OVC,M,M,3800.00,5500.00,M,M,M,KTRI 010000Z AUTO 29006KT 10SM SCT038 OVC055 A2985 RMK MADISHF
TRI,2017-04-01 00:05,-82.4074,36.4752,M,M,M,270.00,8.00,M,29.86,M,10.00,M,FEW,SCT,OVC,M,3000.00,3800.00,5500.00,M,M,KTRI 010005Z AUTO 27008KT 10SM FEW030 SCT038 OVC055 A2986 RMK MADISHF
TRI,2017-04-01 00:10,-82.4074,36.4752,M,M,M,270.00,7.00,M,29.86,M,10.00,M,FEW,SCT,OVC,M,2900.00,4600.00,5500.00,M,M,KTRI 010010Z AUTO 27007KT 10SM FEW029 SCT046 OVC055 A2986 RMK MADISHF
TRI,2017-04-01 00:15,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.86,M,10.00,M,SCT,BKN,OVC,M,4300.00,5000.00,6500.00,M,M,KTRI 010015Z AUTO 26006KT 10SM SCT043 BKN050 OVC065 A2986 RMK MADISHF
TRI,2017-04-01 00:20,-82.4074,36.4752,M,M,M,270.00,8.00,M,29.87,M,10.00,M,FEW,BKN,OVC,M,2800.00,3900.00,6000.00,M,M,KTRI 010020Z AUTO 27008KT 10SM FEW028 BKN039 OVC060 A2987 RMK MADISHF
TRI,2017-04-01 00:25,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.87,M,10.00,M,FEW,BKN,OVC,M,3000.00,4100.00,6000.00,M,M,KTRI 010025Z AUTO 26006KT 10SM FEW030 BKN041 OVC060 A2987 RMK MADISHF
TRI,2017-04-01 00:30,-82.4074,36.4752,M,M,M,260.00,7.00,M,29.87,M,10.00,M,SCT,BKN,OVC,M,2800.00,3399.00,5000.00,M,M,KTRI 010030Z AUTO 26007KT 10SM SCT028 BKN033 OVC050 A2987 RMK MADISHF
TRI,2017-04-01 00:35,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.87,M,10.00,M,SCT,BKN,OVC,M,2800.00,3399.00,5000.00,M,M,KTRI 010035Z AUTO 26006KT 10SM SCT028 BKN033 OVC050 A2987 RMK MADISHF
TRI,2017-04-01 00:40,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.88,M,10.00,M,BKN,BKN,OVC,M,2700.00,3399.00,4100.00,M,M,KTRI 010040Z AUTO 26006KT 10SM BKN027 BKN033 OVC041 A2988 RMK MADISHF
TRI,2017-04-01 00:42,-82.4074,36.4752,53.10,45.00,73.89,260.00,7.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,2700.00,3400.00,4100.00,M,M,KTRI 010042Z 26007KT 10SM BKN027 BKN034 OVC041 12/07 A2988 RMK AO2 T01170072
TRI,2017-04-01 00:45,-82.4074,36.4752,M,M,M,270.00,6.00,M,29.88,M,10.00,M,BKN,OVC,M,M,2700.00,3399.00,M,M,M,KTRI 010045Z AUTO 27006KT 10SM BKN027 OVC033 A2988 RMK MADISHF
TRI,2017-04-01 00:50,-82.4074,36.4752,M,M,M,270.00,5.00,M,29.88,M,10.00,M,BKN,OVC,M,M,2700.00,3600.00,M,M,M,KTRI 010050Z AUTO 27005KT 10SM BKN027 OVC036 A2988 RMK MADISHF
TRI,2017-04-01 00:53,-82.4074,36.4752,53.10,45.00,73.89,270.00,5.00,0.00,29.88,1010.40,10.00,M,BKN,OVC,M,M,2700.00,3600.00,M,M,M,KTRI 010053Z 27005KT 10SM BKN027 OVC036 12/07 A2988 RMK AO2 SLP104 T01170072
TRI,2017-04-01 00:55,-82.4074,36.4752,M,M,M,260.00,7.00,M,29.88,M,10.00,M,BKN,OVC,M,M,2700.00,3600.00,M,M,M,KTRI 010055Z AUTO 26007KT 10SM BKN027 OVC036 A2988 RMK MADISHF
TRI,2017-04-01 01:00,-82.4074,36.4752,M,M,M,270.00,8.00,M,29.89,M,10.00,M,BKN,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010100Z AUTO 27008KT 10SM BKN027 OVC035 A2989 RMK MADISHF
TRI,2017-04-01 01:05,-82.4074,36.4752,M,M,M,270.00,7.00,M,29.89,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010105Z AUTO 27007KT 10SM SCT027 OVC035 A2989 RMK MADISHF
TRI,2017-04-01 01:07,-82.4074,36.4752,53.10,45.00,73.89,270.00,7.00,0.00,29.89,M,10.00,M,FEW,OVC,M,M,2700.00,3300.00,M,M,M,KTRI 010107Z 27007KT 10SM FEW027 OVC033 12/07 A2989 RMK AO2 T01170072
TRI,2017-04-01 01:10,-82.4074,36.4752,M,M,M,260.00,9.00,M,29.89,M,10.00,M,SCT,OVC,M,M,2700.00,3300.00,M,M,M,KTRI 010110Z AUTO 26009KT 10SM SCT027 OVC033 A2989 RMK MADISHF
TRI,2017-04-01 01:15,-82.4074,36.4752,M,M,M,260.00,7.00,M,29.89,M,10.00,M,SCT,OVC,M,M,2700.00,3300.00,M,M,M,KTRI 010115Z AUTO 26007KT 10SM SCT027 OVC033 A2989 RMK MADISHF
TRI,2017-04-01 01:20,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.90,M,10.00,M,SCT,BKN,OVC,M,2500.00,3000.00,3500.00,M,M,KTRI 010120Z AUTO 26006KT 10SM SCT025 BKN030 OVC035 A2990 RMK MADISHF
TRI,2017-04-01 01:25,-82.4074,36.4752,M,M,M,270.00,5.00,M,29.90,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010125Z AUTO 27005KT 10SM SCT027 OVC035 A2990 RMK MADISHF
TRI,2017-04-01 01:30,-82.4074,36.4752,M,M,M,270.00,7.00,M,29.90,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010130Z AUTO 27007KT 10SM SCT027 OVC035 A2990 RMK MADISHF
TRI,2017-04-01 01:35,-82.4074,36.4752,M,M,M,260.00,6.00,M,29.90,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010135Z AUTO 26006KT 10SM SCT027 OVC035 A2990 RMK MADISHF
TRI,2017-04-01 01:40,-82.4074,36.4752,M,M,M,260.00,8.00,M,29.90,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010140Z AUTO 26008KT 10SM SCT027 OVC035 A2990 RMK MADISHF
TRI,2017-04-01 01:45,-82.4074,36.4752,M,M,M,260.00,8.00,M,29.91,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010145Z AUTO 26008KT 10SM SCT027 OVC035 A2991 RMK MADISHF
TRI,2017-04-01 01:50,-82.4074,36.4752,M,M,M,260.00,9.00,M,29.91,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KTRI 010150Z AUTO 26009KT 10SM SCT027 OVC035 A2991 RMK MADISHF
TRI,2017-04-01 01:53,-82.4074,36.4752,53.10,45.00,73.89,270.00,6.00,0.00,29.91,1011.30,10.00,M,FEW,SCT,OVC,M,2200.00,2700.00,3300.00,M,M,KTRI 010153Z 27006KT 10SM FEW022 SCT027 OVC033 12/07 A2991 RMK AO2 SLP113 T01170072
TRI,2017-04-01 01:55,-82.4074,36.4752,M,M,M,270.00,7.00,M,29.91,M,10.00,M,FEW,BKN,OVC,M,1999.00,3300.00,5000.00,M,M,KTRI 010155Z AUTO 27007KT 10SM FEW019 BKN033 OVC050 A2991 RMK MADISHF
TRI,2017-04-01 02:00,-82.4074,36.4752,M,M,M,260.00,8.00,M,29.91,M,10.00,M,FEW,BKN,OVC,M,2400.00,3300.00,5500.00,M,M,KTRI 010200Z AUTO 26008KT 10SM FEW024 BKN033 OVC055 A2991 RMK MADISHF
TRI,2017-04-01 02:05,-82.4074,36.4752,M,M,M,260.00,8.00,M,29.91,M,10.00,M,FEW,SCT,OVC,M,2400.00,3300.00,5000.00,M,M,KTRI 010205Z AUTO 26008KT 10SM FEW024 SCT033 OVC050 A2991 RMK MADISHF
TRI,2017-04-01 02:10,-82.4074,36.4752,M,M,M,270.00,8.00,M,29.91,M,10.00,M,FEW,SCT,OVC,M,2200.00,3300.00,5000.00,M,M,KTRI 010210Z AUTO 27008KT 10SM FEW022 SCT033 OVC050 A2991 RMK MADISHF
TRI,2017-04-01 02:15,-82.4074,36.4752,M,M,M,260.00,8.00,M,29.91,M,10.00,M,FEW,FEW,OVC,M,2200.00,3300.00,5000.00,M,M,KTRI 010215Z AUTO 26008KT 10SM FEW022 FEW033 OVC050 A2991 RMK MADISHF
TRI,2017-04-01 02:20,-82.4074,36.4752,M,M,M,270.00,9.00,M,29.91,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KTRI 010220Z AUTO 27009KT 10SM OVC050 A2991 RMK MADISHF
