#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
TVK,2017-04-01 00:05,-92.8983,40.6832,41.00,39.20,93.24,0.00,0.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010005Z AUTO 00000KT 10SM OVC014 05/04 A3005 RMK AO2
TVK,2017-04-01 00:15,-92.8983,40.6832,41.00,37.40,86.89,350.00,8.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010015Z AUTO 35008KT 10SM OVC014 05/03 A3006 RMK AO2
TVK,2017-04-01 00:25,-92.8983,40.6832,41.00,37.40,86.89,350.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010025Z AUTO 35007KT 10SM OVC014 05/03 A3006 RMK AO2
TVK,2017-04-01 00:35,-92.8983,40.6832,41.00,37.40,86.89,360.00,4.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010035Z AUTO 36004KT 10SM OVC014 05/03 A3007 RMK AO2
TVK,2017-04-01 00:45,-92.8983,40.6832,41.00,39.20,93.24,0.00,0.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010045Z AUTO 00000KT 10SM OVC014 05/04 A3007 RMK AO2
TVK,2017-04-01 00:55,-92.8983,40.6832,41.00,37.40,86.89,360.00,6.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010055Z AUTO 36006KT 10SM OVC014 05/03 A3008 RMK AO2
TVK,2017-04-01 01:05,-92.8983,40.6832,41.00,37.40,86.89,360.00,8.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010105Z AUTO 36008KT 10SM OVC014 05/03 A3008 RMK AO2
TVK,2017-04-01 01:15,-92.8983,40.6832,41.00,37.40,86.89,20.00,8.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010115Z AUTO 02008KT 10SM OVC014 05/03 A3008 RMK AO2
TVK,2017-04-01 01:25,-92.8983,40.6832,41.00,37.40,86.89,40.00,9.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010125Z AUTO 04009KT 10SM OVC012 05/03 A3008 RMK AO2
TVK,2017-04-01 01:35,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010135Z AUTO 00000KT 10SM OVC012 04/03 A3009 RMK AO2
TVK,2017-04-01 01:45,-92.8983,40.6832,39.20,37.40,93.19,10.00,5.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010145Z AUTO 01005KT 10SM OVC012 04/03 A3009 RMK AO2
TVK,2017-04-01 01:55,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010155Z AUTO 00000KT 10SM OVC012 04/03 A3010 RMK AO2
TVK,2017-04-01 02:05,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010205Z AUTO 00000KT 10SM OVC012 04/03 A3011 RMK AO2
TVK,2017-04-01 02:15,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010215Z AUTO 00000KT 10SM OVC012 04/03 A3011 RMK AO2
TVK,2017-04-01 02:25,-92.8983,40.6832,39.20,37.40,93.19,10.00,3.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010225Z AUTO 01003KT 10SM OVC012 04/03 A3011 RMK AO2
TVK,2017-04-01 02:35,-92.8983,40.6832,39.20,37.40,93.19,20.00,4.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010235Z AUTO 02004KT 10SM OVC012 04/03 A3011 RMK AO2
TVK,2017-04-01 02:45,-92.8983,40.6832,39.20,37.40,93.19,30.00,3.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KTVK 010245Z AUTO 03003KT 10SM OVC012 04/03 A3011 RMK AO2
TVK,2017-04-01 02:55,-92.8983,40.6832,39.20,37.40,93.19,30.00,3.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010255Z AUTO 03003KT 10SM OVC014 04/03 A3010 RMK AO2
TVK,2017-04-01 03:05,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010305Z AUTO 00000KT 10SM OVC014 04/03 A3010 RMK AO2
TVK,2017-04-01 03:15,-92.8983,40.6832,39.20,37.40,93.19,30.00,3.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010315Z AUTO 03003KT 10SM OVC014 04/03 A3010 RMK AO2
TVK,2017-04-01 03:25,-92.8983,40.6832,41.00,37.40,86.89,40.00,3.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010325Z AUTO 04003KT 10SM OVC014 05/03 A3011 RMK AO2
TVK,2017-04-01 03:35,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010335Z AUTO 00000KT 10SM OVC014 05/03 A3012 RMK AO2
TVK,2017-04-01 03:45,-92.8983,40.6832,39.20,37.40,93.19,0.00,0.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010345Z AUTO 00000KT 10SM OVC014 04/03 A3011 RMK AO2
TVK,2017-04-01 03:55,-92.8983,40.6832,41.00,37.40,86.89,50.00,5.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010355Z AUTO 05005KT 10SM OVC014 05/03 A3011 RMK AO2
TVK,2017-04-01 04:05,-92.8983,40.6832,41.00,37.40,86.89,40.00,4.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010405Z AUTO 04004KT 10SM OVC014 05/03 A3012 RMK AO2
TVK,2017-04-01 04:15,-92.8983,40.6832,41.00,37.40,86.89,50.00,3.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010415Z AUTO 05003KT 10SM OVC014 05/03 A3012 RMK AO2
TVK,2017-04-01 04:25,-92.8983,40.6832,41.00,37.40,86.89,30.00,4.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010425Z AUTO 03004KT 10SM OVC014 05/03 A3012 RMK AO2
TVK,2017-04-01 04:35,-92.8983,40.6832,41.00,37.40,86.89,50.00,3.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010435Z AUTO 05003KT 10SM OVC014 05/03 A3013 RMK AO2
TVK,2017-04-01 04:45,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010445Z AUTO 00000KT 10SM OVC014 05/03 A3013 RMK AO2
TVK,2017-04-01 04:55,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.14,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010455Z AUTO 00000KT 10SM OVC014 05/03 A3014 RMK AO2
TVK,2017-04-01 05:05,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010505Z AUTO 00000KT 10SM OVC014 05/03 A3015 RMK AO2
TVK,2017-04-01 05:15,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010515Z AUTO 00000KT 10SM OVC014 05/03 A3015 RMK AO2
TVK,2017-04-01 05:25,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010525Z AUTO 00000KT 10SM OVC014 05/03 A3015 RMK AO2
TVK,2017-04-01 05:35,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010535Z AUTO 00000KT 10SM OVC014 05/03 A3015 RMK AO2
TVK,2017-04-01 05:45,-92.8983,40.6832,41.00,37.40,86.89,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KTVK 010545Z AUTO 00000KT 10SM OVC014 05/03 A3015 RMK AO2
