#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
UAO,2017-04-01 00:00,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010000Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
UAO,2017-04-01 00:05,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010005Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
UAO,2017-04-01 00:10,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010010Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
UAO,2017-04-01 00:15,-122.7700,45.2500,M,M,M,290.00,3.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010015Z AUTO 29003KT 10SM CLR A3029 RMK VRB03KT  MADISHF
UAO,2017-04-01 00:20,-122.7700,45.2500,M,M,M,300.00,4.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010020Z AUTO 30004KT 10SM CLR A3029 RMK MADISHF
UAO,2017-04-01 00:25,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010025Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
UAO,2017-04-01 00:30,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010030Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
UAO,2017-04-01 00:35,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010035Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
UAO,2017-04-01 00:40,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010040Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
UAO,2017-04-01 00:45,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010045Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
UAO,2017-04-01 00:50,-122.7700,45.2500,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUAO 010050Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
