#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
UBE,2017-04-01 00:15,-91.9811,45.5060,50.00,21.20,31.87,10.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010015Z AUTO 01004KT 10SM CLR 10/M06 A3004 RMK AO2
UBE,2017-04-01 00:35,-91.9811,45.5060,48.20,21.20,34.09,20.00,5.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010035Z AUTO 02005KT 10SM CLR 09/M06 A3004 RMK AO2
UBE,2017-04-01 00:55,-91.9811,45.5060,46.40,21.20,36.48,360.00,5.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010055Z AUTO 36005KT 10SM CLR 08/M06 A3004 RMK AO2
UBE,2017-04-01 01:15,-91.9811,45.5060,44.60,19.40,36.18,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010115Z AUTO 00000KT 10SM CLR 07/M07 A3005 RMK AO2
UBE,2017-04-01 01:35,-91.9811,45.5060,46.40,19.40,33.79,350.00,4.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010135Z AUTO 35004KT 10SM CLR 08/M07 A3006 RMK AO2
UBE,2017-04-01 01:55,-91.9811,45.5060,42.80,21.20,41.84,40.00,3.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010155Z AUTO 04003KT 10SM CLR 06/M06 A3007 RMK AO2
UBE,2017-04-01 02:15,-91.9811,45.5060,44.60,19.40,36.18,350.00,3.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010215Z AUTO 35003KT 10SM CLR 07/M07 A3008 RMK AO2
UBE,2017-04-01 02:35,-91.9811,45.5060,41.00,19.40,41.54,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010235Z AUTO 00000KT 10SM CLR 05/M07 A3008 RMK AO2
UBE,2017-04-01 02:55,-91.9811,45.5060,37.40,23.00,55.68,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010255Z AUTO 00000KT 10SM CLR 03/M05 A3009 RMK AO2
UBE,2017-04-01 03:15,-91.9811,45.5060,35.60,21.20,55.41,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010315Z AUTO 00000KT 10SM CLR 02/M06 A3010 RMK AO2
UBE,2017-04-01 03:35,-91.9811,45.5060,35.60,23.00,59.79,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010335Z AUTO 00000KT 10SM CLR 02/M05 A3010 RMK AO2
UBE,2017-04-01 03:55,-91.9811,45.5060,35.60,23.00,59.79,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010355Z AUTO 00000KT 10SM CLR 02/M05 A3010 RMK AO2
UBE,2017-04-01 04:15,-91.9811,45.5060,35.60,23.00,59.79,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010415Z AUTO 00000KT 10SM CLR 02/M05 A3011 RMK AO2
UBE,2017-04-01 04:35,-91.9811,45.5060,33.80,23.00,64.23,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KUBE 010435Z AUTO 00000KT 10SM CLR 01/M05 A3011 RMK AO2
