#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
UUU,2017-04-01 00:00,-71.2815,41.5324,M,M,M,90.00,13.00,0.02,29.99,M,6.00,M,BKN,OVC,M,M,1100.00,1999.00,M,M,-RA BR,KUUU 010000Z AUTO 09013KT 6SM -RA BR BKN011 OVC019 A2999 RMK P0002 WND 05V12  MADISHF
UUU,2017-04-01 00:05,-71.2815,41.5324,35.10,34.00,95.71,90.00,14.00,0.02,29.98,M,5.00,20.00,BKN,OVC,M,M,1100.00,2100.00,M,M,-RA BR,KUUU 010005Z AUTO 09014G20KT 5SM -RA BR BKN011 OVC021 02/01 A2998 RMK AO2 P0002 T00170011
UUU,2017-04-01 00:10,-71.2815,41.5324,M,M,M,90.00,13.00,0.03,29.98,M,6.00,M,BKN,BKN,OVC,M,1100.00,1600.00,2100.00,M,-RA BR,KUUU 010010Z AUTO 09013KT 6SM -RA BR BKN011 BKN016 OVC021 A2998 RMK P0003 MADISHF
UUU,2017-04-01 00:15,-71.2815,41.5324,M,M,M,90.00,13.00,0.03,29.98,M,6.00,M,BKN,OVC,M,M,1100.00,1800.00,M,M,-RA BR,KUUU 010015Z AUTO 09013KT 6SM -RA BR BKN011 OVC018 A2998 RMK P0003 MADISHF
UUU,2017-04-01 00:20,-71.2815,41.5324,M,M,M,90.00,15.00,0.04,29.98,M,6.00,M,BKN,OVC,M,M,1100.00,1800.00,M,M,RA BR,KUUU 010020Z AUTO 09015KT 6SM RA BR BKN011 OVC018 A2998 RMK P0004 MADISHF
UUU,2017-04-01 00:25,-71.2815,41.5324,M,M,M,90.00,15.00,0.05,29.98,M,6.00,20.00,BKN,OVC,M,M,1100.00,1900.00,M,M,-RA BR,KUUU 010025Z AUTO 09015G20KT 6SM -RA BR BKN011 OVC019 A2998 RMK P0005 MADISHF
UUU,2017-04-01 00:30,-71.2815,41.5324,M,M,M,90.00,13.00,0.06,29.98,M,6.00,M,BKN,OVC,M,M,1100.00,1900.00,M,M,-RA BR,KUUU 010030Z AUTO 09013KT 6SM -RA BR BKN011 OVC019 A2998 RMK P0006 MADISHF
UUU,2017-04-01 00:35,-71.2815,41.5324,M,M,M,80.00,14.00,0.06,29.98,M,5.00,M,BKN,OVC,M,M,1100.00,1900.00,M,M,-RA BR,KUUU 010035Z AUTO 08014KT 5SM -RA BR BKN011 OVC019 A2998 RMK P0006 MADISHF
UUU,2017-04-01 00:40,-71.2815,41.5324,M,M,M,80.00,13.00,0.07,29.98,M,6.00,M,BKN,OVC,M,M,1100.00,1900.00,M,M,-RA BR,KUUU 010040Z AUTO 08013KT 6SM -RA BR BKN011 OVC019 A2998 RMK P0007 MADISHF
UUU,2017-04-01 00:45,-71.2815,41.5324,M,M,M,90.00,16.00,0.07,29.98,M,5.00,M,BKN,OVC,M,M,1100.00,1900.00,M,M,-RA BR,KUUU 010045Z AUTO 09016KT 5SM -RA BR BKN011 OVC019 A2998 RMK P0007 MADISHF
