#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
VBT,2017-04-01 00:00,-94.2194,36.3457,M,M,M,50.00,7.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010000Z AUTO 05007KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:05,-94.2194,36.3457,M,M,M,50.00,8.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010005Z AUTO 05008KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:10,-94.2194,36.3457,M,M,M,40.00,8.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010010Z AUTO 04008KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:15,-94.2194,36.3457,57.20,44.60,62.69,40.00,9.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010015Z AUTO 04009KT 10SM CLR 14/07 A2991 RMK AO1
VBT,2017-04-01 00:20,-94.2194,36.3457,M,M,M,40.00,10.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010020Z AUTO 04010KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:25,-94.2194,36.3457,M,M,M,50.00,9.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010025Z AUTO 05009KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:30,-94.2194,36.3457,M,M,M,40.00,11.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010030Z AUTO 04011KT 10SM CLR A2991 RMK MADISHF
VBT,2017-04-01 00:35,-94.2194,36.3457,57.20,44.60,62.69,40.00,8.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010035Z AUTO 04008KT 10SM CLR 14/07 A2992 RMK AO1
VBT,2017-04-01 00:40,-94.2194,36.3457,M,M,M,40.00,7.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010040Z AUTO 04007KT 10SM CLR A2992 RMK MADISHF
VBT,2017-04-01 00:45,-94.2194,36.3457,M,M,M,40.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010045Z AUTO 04008KT 10SM CLR A2992 RMK MADISHF
VBT,2017-04-01 00:50,-94.2194,36.3457,M,M,M,40.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010050Z AUTO 04008KT 10SM CLR A2992 RMK MADISHF
VBT,2017-04-01 00:55,-94.2194,36.3457,55.40,44.60,66.91,30.00,8.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010055Z AUTO 03008KT 10SM CLR 13/07 A2993 RMK AO1
VBT,2017-04-01 01:00,-94.2194,36.3457,M,M,M,40.00,7.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010100Z AUTO 04007KT 10SM CLR A2993 RMK MADISHF
VBT,2017-04-01 01:05,-94.2194,36.3457,M,M,M,40.00,8.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010105Z AUTO 04008KT 10SM CLR A2993 RMK MADISHF
VBT,2017-04-01 01:10,-94.2194,36.3457,M,M,M,40.00,8.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010110Z AUTO 04008KT 10SM CLR A2993 RMK MADISHF
VBT,2017-04-01 01:15,-94.2194,36.3457,55.40,44.60,66.91,50.00,6.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010115Z AUTO 05006KT 10SM CLR 13/07 A2994 RMK AO1
VBT,2017-04-01 01:20,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010120Z AUTO 05006KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:25,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010125Z AUTO 05006KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:30,-94.2194,36.3457,M,M,M,50.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010130Z AUTO 05007KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:35,-94.2194,36.3457,53.60,44.60,71.45,50.00,6.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010135Z AUTO 05006KT 10SM CLR 12/07 A2994 RMK AO1
VBT,2017-04-01 01:40,-94.2194,36.3457,M,M,M,50.00,8.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010140Z AUTO 05008KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:45,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010145Z AUTO 05006KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:50,-94.2194,36.3457,M,M,M,50.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010150Z AUTO 05005KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 01:55,-94.2194,36.3457,53.60,44.60,71.45,50.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010155Z AUTO 05005KT 10SM CLR 12/07 A2994 RMK AO1
VBT,2017-04-01 02:00,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010200Z AUTO 05006KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 02:05,-94.2194,36.3457,M,M,M,50.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010205Z AUTO 05007KT 10SM CLR A2994 RMK MADISHF
VBT,2017-04-01 02:10,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010210Z AUTO 05006KT 10SM CLR A2995 RMK MADISHF
VBT,2017-04-01 02:15,-94.2194,36.3457,53.60,44.60,71.45,50.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010215Z AUTO 05006KT 10SM CLR 12/07 A2995 RMK AO1
VBT,2017-04-01 02:20,-94.2194,36.3457,M,M,M,40.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010220Z AUTO 04005KT 10SM CLR A2995 RMK MADISHF
VBT,2017-04-01 02:25,-94.2194,36.3457,M,M,M,50.00,7.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010225Z AUTO 05007KT 10SM CLR A2995 RMK MADISHF
VBT,2017-04-01 02:30,-94.2194,36.3457,M,M,M,50.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010230Z AUTO 05006KT 10SM CLR A2996 RMK MADISHF
VBT,2017-04-01 02:35,-94.2194,36.3457,51.80,44.60,76.34,50.00,6.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010235Z AUTO 05006KT 10SM CLR 11/07 A2996 RMK AO1
VBT,2017-04-01 02:45,-94.2194,36.3457,M,M,M,60.00,5.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010245Z AUTO 06005KT 10SM CLR A2996 RMK MADISHF
VBT,2017-04-01 02:55,-94.2194,36.3457,51.80,44.60,76.34,70.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010255Z AUTO 07005KT 10SM CLR 11/07 A2997 RMK AO1 52020
VBT,2017-04-01 03:05,-94.2194,36.3457,M,M,M,60.00,7.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010305Z AUTO 06007KT 10SM CLR A2998 RMK MADISHF
VBT,2017-04-01 03:10,-94.2194,36.3457,M,M,M,60.00,6.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010310Z AUTO 06006KT 10SM CLR A2997 RMK MADISHF
VBT,2017-04-01 03:15,-94.2194,36.3457,51.80,42.80,71.26,60.00,6.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KVBT 010315Z AUTO 06006KT 10SM CLR 11/06 A2998 RMK AO1
