#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
VER,2017-04-01 00:15,-92.6827,38.9467,47.50,39.70,74.20,20.00,4.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010015Z AUTO 02004KT 10SM OVC018 09/04 A3003 RMK AO2 T00860043
VER,2017-04-01 00:35,-92.6827,38.9467,47.50,39.60,73.91,40.00,6.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010035Z AUTO 04006KT 10SM OVC018 09/04 A3003 RMK AO2 T00860042
VER,2017-04-01 00:55,-92.6827,38.9467,47.50,39.70,74.20,360.00,3.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010055Z AUTO 36003KT 10SM OVC018 09/04 A3003 RMK AO2 T00860043
VER,2017-04-01 01:15,-92.6827,38.9467,47.30,40.50,77.12,350.00,3.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010115Z AUTO 35003KT 10SM OVC018 09/05 A3004 RMK AO2 T00850047
VER,2017-04-01 01:35,-92.6827,38.9467,47.30,40.50,77.12,10.00,5.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010135Z AUTO 01005KT 10SM OVC018 09/05 A3004 RMK AO2 T00850047
VER,2017-04-01 01:55,-92.6827,38.9467,47.50,40.60,76.84,30.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KVER 010155Z AUTO 03007KT 10SM OVC018 09/05 A3005 RMK AO2 T00860048
VER,2017-04-01 02:15,-92.6827,38.9467,47.30,40.10,75.93,40.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KVER 010215Z AUTO 04006KT 10SM OVC020 09/05 A3006 RMK AO2 T00850045
VER,2017-04-01 02:35,-92.6827,38.9467,47.30,39.70,74.76,40.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KVER 010235Z AUTO 04006KT 10SM OVC020 09/04 A3006 RMK AO2 T00850043
VER,2017-04-01 02:55,-92.6827,38.9467,46.90,39.70,75.89,50.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KVER 010255Z AUTO 05006KT 10SM OVC020 08/04 A3006 RMK AO2 T00830043
VER,2017-04-01 03:15,-92.6827,38.9467,46.80,39.60,75.88,50.00,7.00,0.00,30.08,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KVER 010315Z AUTO 05007KT 10SM OVC020 08/04 A3008 RMK AO2 T00820042
