#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
W63,2017-04-01 00:15,-78.5601,36.5958,57.20,57.20,100.00,290.00,3.00,0.00,29.66,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,M,KW63 010015Z AUTO 29003KT 10SM BKN060 OVC075 14/14 A2966 RMK AO1
W63,2017-04-01 00:35,-78.5601,36.5958,57.20,57.20,100.00,0.00,0.00,0.00,29.67,M,10.00,M,SCT,BKN,OVC,M,5500.00,7500.00,9000.00,M,M,KW63 010035Z AUTO 00000KT 10SM SCT055 BKN075 OVC090 14/14 A2967 RMK AO1
W63,2017-04-01 00:55,-78.5601,36.5958,57.20,57.20,100.00,280.00,3.00,0.00,29.68,M,10.00,M,BKN,OVC,M,M,7500.00,9000.00,M,M,M,KW63 010055Z AUTO 28003KT 10SM BKN075 OVC090 14/14 A2968 RMK AO1
W63,2017-04-01 01:15,-78.5601,36.5958,57.20,57.20,100.00,260.00,4.00,0.00,29.69,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KW63 010115Z AUTO 26004KT 10SM OVC090 14/14 A2969 RMK AO1
W63,2017-04-01 01:35,-78.5601,36.5958,57.20,57.20,100.00,290.00,6.00,0.00,29.71,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,KW63 010135Z AUTO 29006KT 10SM BKN100 14/14 A2971 RMK AO1
W63,2017-04-01 01:55,-78.5601,36.5958,55.40,55.40,100.00,300.00,4.00,0.00,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010155Z AUTO 30004KT 10SM CLR 13/13 A2972 RMK AO1
W63,2017-04-01 02:15,-78.5601,36.5958,55.40,55.40,100.00,300.00,4.00,0.00,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010215Z AUTO 30004KT 10SM CLR 13/13 A2973 RMK AO1
W63,2017-04-01 02:35,-78.5601,36.5958,55.40,53.60,93.65,280.00,5.00,0.01,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010235Z AUTO 28005KT 10SM CLR 13/12 A2973 RMK AO1 P0001
W63,2017-04-01 02:55,-78.5601,36.5958,55.40,51.80,87.65,280.00,4.00,0.01,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010255Z AUTO 28004KT 10SM CLR 13/11 A2974 RMK AO1 P0001
W63,2017-04-01 03:15,-78.5601,36.5958,53.60,51.80,93.60,270.00,5.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010315Z AUTO 27005KT 10SM CLR 12/11 A2975 RMK AO1
W63,2017-04-01 03:35,-78.5601,36.5958,53.60,50.00,87.56,270.00,5.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010335Z AUTO 27005KT 10SM CLR 12/10 A2975 RMK AO1
W63,2017-04-01 03:55,-78.5601,36.5958,53.60,48.20,81.87,250.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010355Z AUTO 25004KT 10SM CLR 12/09 A2976 RMK AO1
W63,2017-04-01 04:15,-78.5601,36.5958,51.80,48.20,87.47,260.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010415Z AUTO 26004KT 10SM CLR 11/09 A2976 RMK AO1
W63,2017-04-01 04:35,-78.5601,36.5958,53.60,46.40,76.50,280.00,3.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010435Z AUTO 28003KT 10SM CLR 12/08 A2976 RMK AO1
W63,2017-04-01 04:55,-78.5601,36.5958,51.80,46.40,81.74,240.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010455Z AUTO 24004KT 10SM CLR 11/08 A2976 RMK AO1
W63,2017-04-01 05:15,-78.5601,36.5958,51.80,46.40,81.74,250.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010515Z AUTO 25004KT 10SM CLR 11/08 A2976 RMK AO1
W63,2017-04-01 05:35,-78.5601,36.5958,51.80,46.40,81.74,250.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010535Z AUTO 25005KT 10SM CLR 11/08 A2976 RMK AO1
W63,2017-04-01 05:55,-78.5601,36.5958,51.80,44.60,76.34,230.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010555Z AUTO 23004KT 10SM CLR 11/07 A2976 RMK AO1
W63,2017-04-01 06:15,-78.5601,36.5958,51.80,44.60,76.34,240.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010615Z AUTO 24005KT 10SM CLR 11/07 A2976 RMK AO1
W63,2017-04-01 06:35,-78.5601,36.5958,51.80,44.60,76.34,240.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010635Z AUTO 24005KT 10SM CLR 11/07 A2976 RMK AO1
W63,2017-04-01 06:55,-78.5601,36.5958,51.80,46.40,81.74,250.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010655Z AUTO 25005KT 10SM CLR 11/08 A2976 RMK AO1
W63,2017-04-01 07:15,-78.5601,36.5958,51.80,46.40,81.74,250.00,5.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010715Z AUTO 25005KT 10SM CLR 11/08 A2977 RMK AO1
W63,2017-04-01 07:35,-78.5601,36.5958,51.80,46.40,81.74,240.00,6.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010735Z AUTO 24006KT 10SM CLR 11/08 A2977 RMK AO1
W63,2017-04-01 07:55,-78.5601,36.5958,51.80,46.40,81.74,250.00,5.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010755Z AUTO 25005KT 10SM CLR 11/08 A2977 RMK AO1
W63,2017-04-01 08:15,-78.5601,36.5958,51.80,46.40,81.74,260.00,6.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010815Z AUTO 26006KT 10SM CLR 11/08 A2978 RMK AO1
W63,2017-04-01 08:35,-78.5601,36.5958,51.80,46.40,81.74,270.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010835Z AUTO 27005KT 10SM CLR 11/08 A2979 RMK AO1
W63,2017-04-01 08:55,-78.5601,36.5958,51.80,46.40,81.74,270.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010855Z AUTO 27005KT 10SM CLR 11/08 A2979 RMK AO1
W63,2017-04-01 09:15,-78.5601,36.5958,51.80,46.40,81.74,280.00,6.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010915Z AUTO 28006KT 10SM CLR 11/08 A2979 RMK AO1
W63,2017-04-01 09:35,-78.5601,36.5958,51.80,46.40,81.74,270.00,6.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010935Z AUTO 27006KT 10SM CLR 11/08 A2980 RMK AO1
W63,2017-04-01 09:55,-78.5601,36.5958,51.80,46.40,81.74,270.00,5.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 010955Z AUTO 27005KT 10SM CLR 11/08 A2981 RMK AO1
W63,2017-04-01 10:15,-78.5601,36.5958,51.80,46.40,81.74,270.00,5.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KW63 011015Z AUTO 27005KT 10SM CLR 11/08 A2981 RMK AO1
