#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
WRI,2017-04-01 00:08,-74.5917,40.0156,46.40,44.60,93.40,40.00,9.00,0.00,29.63,M,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KWRI 010008Z 04009KT 5SM R06/5000FT -RA BR OVC004 08/07 A2963 RMK AO2A TWR VIS 2
WRI,2017-04-01 00:15,-74.5917,40.0156,46.40,44.60,93.40,40.00,8.00,0.00,29.63,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KWRI 010015Z 04008KT 8SM R06/5500FT -RA OVC004 08/07 A2963 RMK AO2A TWR VIS 2
WRI,2017-04-01 00:25,-74.5917,40.0156,46.40,44.60,93.40,50.00,10.00,0.00,29.63,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KWRI 010025Z 05010KT 6SM R06/5000FT -RA BR OVC004 08/07 A2963 RMK AO2A TWR VIS 2
WRI,2017-04-01 00:30,-74.5917,40.0156,46.40,46.40,100.00,40.00,9.00,0.00,29.63,M,9.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KWRI 010030Z 04009KT 9SM R06/5500FT -RA OVC004 08/08 A2963 RMK AO2A TWR VIS 3
WRI,2017-04-01 00:44,-74.5917,40.0156,46.40,46.40,100.00,40.00,9.00,0.00,29.64,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KWRI 010044Z AUTO 04009KT 6SM R06/5000FT -RA BR OVC004 08/08 A2964 RMK AO2 RAE34RAB41
WRI,2017-04-01 00:49,-74.5917,40.0156,46.40,46.40,100.00,40.00,8.00,0.00,29.64,M,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KWRI 010049Z AUTO 04008KT 5SM R06/4500FT -RA BR OVC004 08/08 A2964 RMK AO2 RAE34RAB41
WRI,2017-04-01 00:51,-74.5917,40.0156,46.40,46.40,100.00,40.00,7.00,0.00,29.63,M,5.00,M,OVC,M,M,M,400.00,M,M,M,BR,KWRI 010051Z AUTO 04007KT 5SM R06/4500FT BR OVC004 08/08 A2963 RMK AO2 RAE34RAB41E51
WRI,2017-04-01 00:58,-74.5917,40.0156,46.40,46.40,100.00,30.00,8.00,0.02,29.63,1003.40,5.00,M,OVC,M,M,M,300.00,M,M,M,BR,KWRI 010058Z AUTO 03008KT 5SM R06/4500FT BR OVC003 08/08 A2963 RMK AO2 RAE33RAB41E51 SLP034 P0002
WRI,2017-04-01 01:09,-74.5917,40.0156,46.40,46.40,100.00,30.00,9.00,0.00,29.63,M,4.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KWRI 010109Z 03009KT 4SM R06/4500FT -RA BR OVC003 08/08 A2963 RMK AO2A TWR VIS 3 RAB09
WRI,2017-04-01 01:31,-74.5917,40.0156,46.40,44.60,93.40,30.00,9.00,0.00,29.62,M,5.00,M,OVC,M,M,M,300.00,M,M,M,BR,KWRI 010131Z AUTO 03009KT 5SM R06/4500FT BR OVC003 08/07 A2962 RMK AO2 RAB09E10DZB10E12RAB12E23DZB23E25
