#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
WST,2017-04-01 00:00,-71.7989,41.3497,M,M,M,70.00,15.00,0.01,29.96,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KWST 010000Z AUTO 07015KT 5SM RA BR OVC011 A2996 RMK P0001 MADISHF
WST,2017-04-01 00:05,-71.7989,41.3497,M,M,M,80.00,14.00,0.02,29.96,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KWST 010005Z AUTO 08014KT 5SM -RA BR OVC011 A2996 RMK P0002 MADISHF
WST,2017-04-01 00:10,-71.7989,41.3497,M,M,M,70.00,17.00,0.02,29.96,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KWST 010010Z AUTO 07017KT 5SM RA BR OVC011 A2996 RMK P0002 CIG 7V13  MADISHF
WST,2017-04-01 00:11,-71.7989,41.3497,37.00,35.10,92.76,70.00,16.00,0.02,29.96,M,5.00,22.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KWST 010011Z AUTO 07016G22KT 5SM -RA BR OVC011 03/02 A2996 RMK AO2 CIG 007V013 P0002 T00280017
WST,2017-04-01 00:15,-71.7989,41.3497,M,M,M,80.00,15.00,0.03,29.96,M,5.00,M,BKN,OVC,M,M,900.00,1600.00,M,M,-RA BR,KWST 010015Z AUTO 08015KT 5SM -RA BR BKN009 OVC016 A2996 RMK P0003 CIG 7V13  MADISHF
WST,2017-04-01 00:19,-71.7989,41.3497,37.00,35.10,92.76,80.00,14.00,0.03,29.96,M,5.00,23.00,BKN,OVC,M,M,900.00,1400.00,M,M,-RA BR,KWST 010019Z AUTO 08014G23KT 5SM -RA BR BKN009 OVC014 03/02 A2996 RMK AO2 P0003 T00280017
WST,2017-04-01 00:20,-71.7989,41.3497,M,M,M,80.00,16.00,0.03,29.96,M,5.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-RA BR,KWST 010020Z AUTO 08016KT 5SM -RA BR BKN009 OVC014 A2996 RMK P0003 MADISHF
WST,2017-04-01 00:25,-71.7989,41.3497,M,M,M,90.00,17.00,0.04,29.96,M,5.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-RA BR,KWST 010025Z AUTO 09017KT 5SM -RA BR BKN009 OVC014 A2996 RMK P0004 MADISHF
WST,2017-04-01 00:30,-71.7989,41.3497,M,M,M,80.00,17.00,0.05,29.95,M,5.00,M,BKN,BKN,OVC,M,900.00,1600.00,2300.00,M,RA BR,KWST 010030Z AUTO 08017KT 5SM RA BR BKN009 BKN016 OVC023 A2995 RMK P0005 MADISHF
WST,2017-04-01 00:35,-71.7989,41.3497,M,M,M,80.00,16.00,0.05,29.95,M,5.00,M,BKN,BKN,OVC,M,900.00,1600.00,2300.00,M,-RA BR,KWST 010035Z AUTO 08016KT 5SM -RA BR BKN009 BKN016 OVC023 A2995 RMK P0005 MADISHF
