#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
XLL,2017-04-01 00:15,-75.4883,40.5703,41.00,39.20,93.24,20.00,8.00,0.01,29.72,M,7.00,M,OVC,M,M,M,700.00,M,M,M,DZ,KXLL 010015Z AUTO 02008KT 7SM DZ OVC007 05/04 A2972 RMK AO2 P0001
XLL,2017-04-01 00:35,-75.4883,40.5703,41.00,39.20,93.24,30.00,10.00,0.03,29.72,M,7.00,M,OVC,M,M,M,700.00,M,M,M,DZ,KXLL 010035Z AUTO 03010KT 7SM DZ OVC007 05/04 A2972 RMK AO2 P0003
XLL,2017-04-01 00:55,-75.4883,40.5703,39.20,37.40,93.19,30.00,8.00,0.03,29.72,M,7.00,M,OVC,M,M,M,700.00,M,M,M,-DZ,KXLL 010055Z AUTO 03008KT 7SM -DZ OVC007 04/03 A2972 RMK AO2 P0003
XLL,2017-04-01 01:15,-75.4883,40.5703,39.20,37.40,93.19,40.00,8.00,0.01,29.72,M,5.00,M,OVC,M,M,M,500.00,M,M,M,DZ,KXLL 010115Z AUTO 04008KT 5SM DZ OVC005 04/03 A2972 RMK AO2 P0001
XLL,2017-04-01 01:35,-75.4883,40.5703,39.20,37.40,93.19,50.00,10.00,0.01,29.72,M,5.00,M,OVC,M,M,M,500.00,M,M,M,-DZ,KXLL 010135Z AUTO 05010KT 5SM -DZ OVC005 04/03 A2972 RMK AO2 P0001
XLL,2017-04-01 01:55,-75.4883,40.5703,39.20,37.40,93.19,40.00,9.00,0.01,29.71,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010155Z AUTO 04009KT 5SM BR OVC005 04/03 A2971 RMK AO2 P0001
XLL,2017-04-01 02:15,-75.4883,40.5703,39.20,37.40,93.19,40.00,10.00,0.00,29.69,M,7.00,M,OVC,M,M,M,500.00,M,M,M,M,KXLL 010215Z AUTO 04010KT 7SM OVC005 04/03 A2969 RMK AO2
XLL,2017-04-01 02:35,-75.4883,40.5703,37.40,37.40,100.00,30.00,10.00,0.00,29.70,M,7.00,M,OVC,M,M,M,500.00,M,M,M,M,KXLL 010235Z AUTO 03010KT 7SM OVC005 03/03 A2970 RMK AO2
XLL,2017-04-01 02:55,-75.4883,40.5703,37.40,37.40,100.00,40.00,10.00,0.00,29.69,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KXLL 010255Z AUTO 04010KT 10SM OVC005 03/03 A2969 RMK AO2
XLL,2017-04-01 03:15,-75.4883,40.5703,37.40,37.40,100.00,30.00,6.00,0.00,29.70,M,7.00,M,OVC,M,M,M,500.00,M,M,M,M,KXLL 010315Z AUTO 03006KT 7SM OVC005 03/03 A2970 RMK AO2
XLL,2017-04-01 03:35,-75.4883,40.5703,37.40,37.40,100.00,30.00,8.00,0.00,29.69,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010335Z AUTO 03008KT 5SM BR OVC005 03/03 A2969 RMK AO2
XLL,2017-04-01 03:55,-75.4883,40.5703,37.40,37.40,100.00,10.00,5.00,0.00,29.70,M,4.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010355Z AUTO 01005KT 4SM BR OVC005 03/03 A2970 RMK AO2
XLL,2017-04-01 04:15,-75.4883,40.5703,37.40,37.40,100.00,20.00,8.00,0.01,29.69,M,3.00,M,OVC,M,M,M,500.00,M,M,M,-DZ,KXLL 010415Z AUTO 02008KT 3SM -DZ OVC005 03/03 A2969 RMK AO2 P0001
XLL,2017-04-01 04:35,-75.4883,40.5703,37.40,37.40,100.00,20.00,6.00,0.01,29.69,M,4.00,M,OVC,M,M,M,500.00,M,M,M,-DZ,KXLL 010435Z AUTO 02006KT 4SM -DZ OVC005 03/03 A2969 RMK AO2 P0001
XLL,2017-04-01 04:55,-75.4883,40.5703,37.40,37.40,100.00,20.00,10.00,0.01,29.69,M,3.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010455Z AUTO 02010KT 3SM BR OVC005 03/03 A2969 RMK AO2 P0001
XLL,2017-04-01 05:15,-75.4883,40.5703,37.40,37.40,100.00,20.00,7.00,0.00,29.70,M,4.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010515Z AUTO 02007KT 4SM BR OVC005 03/03 A2970 RMK AO2
XLL,2017-04-01 05:35,-75.4883,40.5703,37.40,37.40,100.00,30.00,9.00,0.00,29.69,M,3.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010535Z AUTO 03009KT 3SM BR OVC005 03/03 A2969 RMK AO2
XLL,2017-04-01 05:55,-75.4883,40.5703,37.40,37.40,100.00,20.00,8.00,0.00,29.69,M,4.00,14.00,OVC,M,M,M,500.00,M,M,M,-DZ,KXLL 010555Z AUTO 02008G14KT 4SM -DZ OVC005 03/03 A2969 RMK AO2
XLL,2017-04-01 06:15,-75.4883,40.5703,37.40,35.60,93.14,30.00,8.00,0.01,29.69,M,4.00,M,OVC,M,M,M,500.00,M,M,M,-DZ,KXLL 010615Z AUTO 03008KT 4SM -DZ OVC005 03/02 A2969 RMK AO2 P0001
XLL,2017-04-01 06:35,-75.4883,40.5703,37.40,35.60,93.14,20.00,8.00,0.01,29.70,M,4.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010635Z AUTO 02008KT 4SM BR OVC005 03/02 A2970 RMK AO2 P0001
XLL,2017-04-01 06:55,-75.4883,40.5703,37.40,35.60,93.14,20.00,7.00,0.01,29.70,M,3.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010655Z AUTO 02007KT 3SM BR OVC005 03/02 A2970 RMK AO2 P0001
XLL,2017-04-01 07:15,-75.4883,40.5703,37.40,35.60,93.14,10.00,7.00,0.00,29.71,M,4.00,M,OVC,M,M,M,500.00,M,M,M,BR,KXLL 010715Z AUTO 01007KT 4SM BR OVC005 03/02 A2971 RMK AO2
XLL,2017-04-01 07:35,-75.4883,40.5703,37.40,35.60,93.14,10.00,9.00,0.00,29.71,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KXLL 010735Z AUTO 01009KT 10SM OVC007 03/02 A2971 RMK AO2
XLL,2017-04-01 07:55,-75.4883,40.5703,35.60,35.60,100.00,20.00,8.00,0.00,29.72,M,10.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,M,KXLL 010755Z AUTO 02008KT 10SM BKN009 OVC014 02/02 A2972 RMK AO2
XLL,2017-04-01 08:15,-75.4883,40.5703,35.60,35.60,100.00,20.00,8.00,0.00,29.73,M,7.00,M,BKN,OVC,M,M,1000.00,1300.00,M,M,M,KXLL 010815Z AUTO 02008KT 7SM BKN010 OVC013 02/02 A2973 RMK AO2
XLL,2017-04-01 08:35,-75.4883,40.5703,35.60,35.60,100.00,360.00,7.00,0.00,29.74,M,7.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KXLL 010835Z AUTO 36007KT 7SM BKN008 OVC013 02/02 A2974 RMK AO2
XLL,2017-04-01 08:55,-75.4883,40.5703,35.60,35.60,100.00,350.00,6.00,0.00,29.75,M,5.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,BR,KXLL 010855Z AUTO 35006KT 5SM BR BKN008 OVC013 02/02 A2975 RMK AO2
XLL,2017-04-01 09:15,-75.4883,40.5703,35.60,35.60,100.00,340.00,7.00,0.00,29.76,M,4.00,M,BKN,OVC,M,M,600.00,1100.00,M,M,BR,KXLL 010915Z AUTO 34007KT 4SM BR BKN006 OVC011 02/02 A2976 RMK AO2
XLL,2017-04-01 09:35,-75.4883,40.5703,35.60,35.60,100.00,350.00,5.00,0.00,29.76,M,7.00,M,BKN,OVC,M,M,600.00,1800.00,M,M,M,KXLL 010935Z AUTO 35005KT 7SM BKN006 OVC018 02/02 A2976 RMK AO2
XLL,2017-04-01 09:55,-75.4883,40.5703,35.60,35.60,100.00,340.00,4.00,0.00,29.77,M,10.00,M,BKN,BKN,OVC,M,800.00,1400.00,2000.00,M,M,KXLL 010955Z AUTO 34004KT 10SM BKN008 BKN014 OVC020 02/02 A2977 RMK AO2
XLL,2017-04-01 10:15,-75.4883,40.5703,35.60,35.60,100.00,340.00,4.00,0.00,29.78,M,10.00,M,SCT,OVC,M,M,800.00,2200.00,M,M,M,KXLL 011015Z AUTO 34004KT 10SM SCT008 OVC022 02/02 A2978 RMK AO2
XLL,2017-04-01 10:35,-75.4883,40.5703,35.60,35.60,100.00,330.00,3.00,0.00,29.79,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KXLL 011035Z AUTO 33003KT 10SM OVC024 02/02 A2979 RMK AO2
XLL,2017-04-01 10:55,-75.4883,40.5703,35.60,35.60,100.00,340.00,3.00,0.00,29.79,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KXLL 011055Z AUTO 34003KT 10SM OVC026 02/02 A2979 RMK AO2
XLL,2017-04-01 11:15,-75.4883,40.5703,35.60,35.60,100.00,340.00,3.00,0.00,29.80,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KXLL 011115Z AUTO 34003KT 10SM OVC026 02/02 A2980 RMK AO2
XLL,2017-04-01 11:35,-75.4883,40.5703,37.40,35.60,93.14,330.00,3.00,0.00,29.81,M,10.00,M,BKN,OVC,M,M,2600.00,3300.00,M,M,M,KXLL 011135Z AUTO 33003KT 10SM BKN026 OVC033 03/02 A2981 RMK AO2
XLL,2017-04-01 11:55,-75.4883,40.5703,37.40,35.60,93.14,320.00,4.00,0.00,29.82,M,10.00,M,SCT,OVC,M,M,2600.00,3300.00,M,M,M,KXLL 011155Z AUTO 32004KT 10SM SCT026 OVC033 03/02 A2982 RMK AO2
XLL,2017-04-01 12:15,-75.4883,40.5703,37.40,37.40,100.00,330.00,6.00,0.00,29.83,M,10.00,M,BKN,OVC,M,M,3300.00,7500.00,M,M,M,KXLL 011215Z AUTO 33006KT 10SM BKN033 OVC075 03/03 A2983 RMK AO2
XLL,2017-04-01 12:35,-75.4883,40.5703,39.20,37.40,93.19,330.00,7.00,0.00,29.83,M,10.00,M,BKN,OVC,M,M,3300.00,7500.00,M,M,M,KXLL 011235Z AUTO 33007KT 10SM BKN033 OVC075 04/03 A2983 RMK AO2
